subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
"Manuscripts, Persian--New Jersey--Princeton",a--z--z,0,,,,,"Manuscripts, Persian;New Jersey--Princeton",http://id.worldcat.org/fast/1008462;http://id.worldcat.org/fast/1204939,Q255;Q11460
Mughal Empire--Kings and rulers--Biography,a--x--v,0,http://id.loc.gov/authorities/subjects/sh2008115921,India--Mughal Empire;Kings and rulers;Biographies,http://id.worldcat.org/fast/1240293;http://id.worldcat.org/fast/987694;http://id.worldcat.org/fast/1919896,Q48762;Q305;Q3051,,,
Mughal Empire--History,a--x,0,http://id.loc.gov/authorities/subjects/sh2008115920,India--Mughal Empire;History,http://id.worldcat.org/fast/1240293;http://id.worldcat.org/fast/958235,Q48762;Q6879,,,
Mysore (India)--History--Sources,a--x--v,0,,India--Mysore;History;Sources,http://id.worldcat.org/fast/1209339;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1423900,Q48763;Q6879;Q2769,,,
Arabic poetry--Early works to 1800,a--v,0,,,,,Arabic poetry;Early works,http://id.worldcat.org/fast/812533;http://id.worldcat.org/fast/1411636,Q2960;Q300
Islam--Prayers and devotions--Early works to 1800,a--v--v,0,,,,,Islam--Prayers and devotions;Prayers and devotions;Early works,http://id.worldcat.org/fast/979821;http://id.worldcat.org/fast/1423909;http://id.worldcat.org/fast/1411636,Q3036;Q3052;Q300
Persian poetry--Early works to 1800,a--v,0,,,,,Persian poetry;Early works,http://id.worldcat.org/fast/1058542;http://id.worldcat.org/fast/1411636,Q3582;Q300
Sufism--Doctrines--Early works to 1800,a--x--v,0,http://id.loc.gov/authorities/subjects/sh2010115027,,,,Sufism--Doctrines;Early works,http://id.worldcat.org/fast/1137260;http://id.worldcat.org/fast/1411636,Q11235;Q300
"Manuscripts, Arabic--New Jersey--Princeton",a--z--z,0,,,,,"Manuscripts, Arabic;New Jersey--Princeton",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1204939,Q256;Q11460
Urdu language--Grammar,a--x,0,http://id.loc.gov/authorities/subjects/sh2008113145--(uri) http://id.loc.gov/authorities/subjects/sh2008113145,Urdu language--Grammar,http://id.worldcat.org/fast/1162779,Q48764,,,
"Manuscripts, Persian--New Jersey--Princeton",a--z--z,0,(uri) http://id.loc.gov/authorities/subjects/sh85080754,,,,"Manuscripts, Persian;New Jersey--Princeton",http://id.worldcat.org/fast/1008462;http://id.worldcat.org/fast/1204939,Q255;Q11460
"Manuscripts, Urdu--New Jersey--Princeton",a--z--z,0,(uri) http://id.loc.gov/authorities/subjects/sh85080778,"Manuscripts, Urdu;New Jersey--Princeton",http://id.worldcat.org/fast/1008525;http://id.worldcat.org/fast/1204939,Q48717;Q11460,,,
"Calendar, Iranian--Tables",a--v,0,,"Calendar, Iranian;Tables",http://id.worldcat.org/fast/844198;http://id.worldcat.org/fast/1423914,Q48765;Q18329,,,
Mysticism--Islam--Early works to 1800,a--x--v,0,,Mysticism--Islam;Early works,http://id.worldcat.org/fast/1031643;http://id.worldcat.org/fast/1411636,Q27457;Q300,,,
Islam--Doctrines,a--x,0,http://id.loc.gov/authorities/subjects/sh85068396,,,,Islam--Doctrines,http://id.worldcat.org/fast/979787,Q11301
Islamic law,a,0,http://id.loc.gov/authorities/subjects/sh85068454,,,,Islamic law,http://id.worldcat.org/fast/979949,Q3605
Sufism--Doctrines--Early works to 1800,a--x--v,0,,,,,Sufism--Doctrines;Early works,http://id.worldcat.org/fast/1137260;http://id.worldcat.org/fast/1411636,Q11235;Q300
Chishtīyah--Early works to 1800,a--v,0,,Chishtīyah;Early works,http://id.worldcat.org/fast/857976;http://id.worldcat.org/fast/1411636,Q48766;Q300,,,
Chishtīyah--Customs and practices--Early works to 1800,a--x--v,0,,Chishtīyah;Sufism--Customs and practices;Early works,http://id.worldcat.org/fast/857976;http://id.worldcat.org/fast/1137259;http://id.worldcat.org/fast/1411636,Q48766;Q48767;Q300,,,
Sufism--Customs and practices--Early works to 1800,a--x--v,0,,Sufism--Customs and practices;Early works,http://id.worldcat.org/fast/1137259;http://id.worldcat.org/fast/1411636,Q48767;Q300,,,
Muslim scholars--Certification--Early works to 1800,a--x--v,0,,Muslim scholars;Early works,http://id.worldcat.org/fast/1731774;http://id.worldcat.org/fast/1411636,Q11224;Q300,,,
"Manuscripts, Arabic",a,fast,(OCoLC)fst01008278,,,,"Manuscripts, Arabic",http://id.worldcat.org/fast/1008278,Q256
"Manuscripts, Persian",a,fast,(OCoLC)fst01008462,,,,"Manuscripts, Persian",http://id.worldcat.org/fast/1008462,Q255
New Jersey--Princeton,a--z,fast,(OCoLC)fst01204939,,,,New Jersey--Princeton,http://id.worldcat.org/fast/1204939,Q11460
God (Islam)--Early works to 1800,a--v,0,,,,,God (Islam);Early works,http://id.worldcat.org/fast/944142;http://id.worldcat.org/fast/1411636,Q11509;Q300
Vedanta--Early works to 1800,a--v,0,,,,,Vedanta;Early works,http://id.worldcat.org/fast/1164683;http://id.worldcat.org/fast/1411636,Q27086;Q300
Soul--Islam--Early works to 1800,a--x--v,0,,,,,Soul--Islam;Islam;Early works,http://id.worldcat.org/fast/1126918;http://id.worldcat.org/fast/979776;http://id.worldcat.org/fast/1411636,Q11550;Q3549;Q300
Poverty--Early works to 1800,a--v,0,,Poverty;Early works,http://id.worldcat.org/fast/1074093;http://id.worldcat.org/fast/1411636,Q48768;Q300,,,
Sufism--Early works to 1800,a--v,0,,,,,Sufism;Early works,http://id.worldcat.org/fast/1137257;http://id.worldcat.org/fast/1411636,Q11239;Q300
Sufism,a,fast,(OCoLC)fst01137257,,,,Sufism,http://id.worldcat.org/fast/1137257,Q11239
Sufis--Early works to 1800,a--v,0,,,,,Sufis;Early works,http://id.worldcat.org/fast/1137253;http://id.worldcat.org/fast/1411636,Q11475;Q300
Sufism--Early works to 1800,a--v,0,http://id.loc.gov/authorities/subjects/sh2008112367,,,,Sufism;Early works,http://id.worldcat.org/fast/1137257;http://id.worldcat.org/fast/1411636,Q11239;Q300
Islam--Customs and practices,a--x,0,http://id.loc.gov/authorities/subjects/sh87005732,Islam--Customs and practices,http://id.worldcat.org/fast/979785,Q11380,,,
Islamic ethics--Early works to 1800,a--v,0,http://id.loc.gov/authorities/subjects/sh2008104964,,,,Islamic ethics;Early works,http://id.worldcat.org/fast/979936;http://id.worldcat.org/fast/1411636,Q11320;Q300
Muslims--Conduct of life--Early works to 1800,a--x--v,0,http://id.loc.gov/authorities/subjects/sh2010102967,,,,Muslims--Conduct of life;Conduct of life;Early works,http://id.worldcat.org/fast/1031037;http://id.worldcat.org/fast/874563;http://id.worldcat.org/fast/1411636,Q11347;Q4792;Q300
Religious life--Islam--Early works to 1800,a--x--v,0,http://id.loc.gov/authorities/subjects/sh86008165,,,,Religious life--Islam;Islam;Early works,http://id.worldcat.org/fast/1094119;http://id.worldcat.org/fast/979776;http://id.worldcat.org/fast/1411636,Q3634;Q3549;Q300
Education of princes--Early works to 1800,a--v,0,,,,,Education of princes;Early works,http://id.worldcat.org/fast/902875;http://id.worldcat.org/fast/1411636,Q3071;Q300
Political ethics--Early works to 1800,a--v,0,,,,,Political ethics;Early works,http://id.worldcat.org/fast/1069286;http://id.worldcat.org/fast/1411636,Q3019;Q300
Medicine--India,a--z,0,,,,,Medicine;India,http://id.worldcat.org/fast/1014893;http://id.worldcat.org/fast/1210276,Q234;Q26595
Persian poetry,a,0,,,,,Persian poetry,http://id.worldcat.org/fast/1058542,Q3582
Urdu poetry,a,0,,Urdu poetry,http://id.worldcat.org/fast/1162838,Q48769,,,
"Manuscripts, Urdu--New Jersey--Princeton",a--z--z,0,,"Manuscripts, Urdu;New Jersey--Princeton",http://id.worldcat.org/fast/1008525;http://id.worldcat.org/fast/1204939,Q48717;Q11460,,,
Médecine--Inde,a--z,6,,Medicine;India,http://id.worldcat.org/fast/1014893;http://id.worldcat.org/fast/1210276,Q234;Q26595,,,
Poésie persane,a,6,,,,,Persian poetry,http://id.worldcat.org/fast/1058542,Q3582
Poésie ourdoue,a,6,,Urdu poetry,http://id.worldcat.org/fast/1162838,Q48769,,,
Manuscrits persans--New Jersey--Princeton,a--z--z,6,,,,,"Manuscripts, Persian;New Jersey--Princeton",http://id.worldcat.org/fast/1008462;http://id.worldcat.org/fast/1204939,Q255;Q11460
"Manuscripts, Persian",a,fast,,,,,"Manuscripts, Persian",http://id.worldcat.org/fast/1008462,Q255
"Manuscripts, Urdu",a,fast,,"Manuscripts, Urdu",http://id.worldcat.org/fast/1008525,Q48717,,,
Medicine,a,fast,,,,,Medicine,http://id.worldcat.org/fast/1014893,Q234
Persian poetry,a,fast,,,,,Persian poetry,http://id.worldcat.org/fast/1058542,Q3582
Urdu poetry,a,fast,,Urdu poetry,http://id.worldcat.org/fast/1162838,Q48769,,,
India,a,fast,,,,,India,http://id.worldcat.org/fast/1210276,Q26595
New Jersey--Princeton,a--z,fast,,,,,New Jersey--Princeton,http://id.worldcat.org/fast/1204939,Q11460
Abbasids--Early works to 1800,a--v,0,,Abbasids;Early works,http://id.worldcat.org/fast/794211;http://id.worldcat.org/fast/1411636,Q11371;Q300,,,
Chishtīyah members--India--Biography--Early works to 1800,a--z--v--v,0,,Chishtīyah members;India;Biographies;Early works,http://id.worldcat.org/fast/857978;http://id.worldcat.org/fast/1210276;http://id.worldcat.org/fast/1919896;http://id.worldcat.org/fast/1411636,Q48770;Q26595;Q3051;Q300,,,
Islam--Early works to 1800,a--v,0,,,,,Islam;Early works,http://id.worldcat.org/fast/979776;http://id.worldcat.org/fast/1411636,Q3549;Q300
Persian letters--Early works to 1800,a--v,0,,Persian letters;Early works,http://id.worldcat.org/fast/1058523;http://id.worldcat.org/fast/1411636,Q48771;Q300,,,
God (Islam)--Name--Early works to 1800,a--x--v,0,,God (Islam)--Name;Early works,http://id.worldcat.org/fast/944149;http://id.worldcat.org/fast/1411636,Q11248;Q300,,,
Islamic etiquette--Early works to 1800,a--v,0,,,,,Islamic etiquette;Early works,http://id.worldcat.org/fast/979940;http://id.worldcat.org/fast/1411636,Q11344;Q300
Shat̤t̤ārīyah--Early works to 1800,a--v,0,,Shat̤t̤ārīyah;Early works,http://id.worldcat.org/fast/1115412;http://id.worldcat.org/fast/1411636,Q48772;Q300,,,
Islam--Prières et dévotions--Ouvrages avant 1800,a--v--v,6,,Islam--Prayers and devotions;Early works,http://id.worldcat.org/fast/979821;http://id.worldcat.org/fast/1411636,Q3036;Q300,,,
Poésie persane--Ouvrages avant 1800,a--v,6,,Persian poetry;Early works,http://id.worldcat.org/fast/1058542;http://id.worldcat.org/fast/1411636,Q3582;Q300,,,
Soufisme--Ouvrages avant 1800,a--v,6,,,,,Sufism;Early works,http://id.worldcat.org/fast/1137257;http://id.worldcat.org/fast/1411636,Q11239;Q300
Islam,a,fast,(OCoLC)fst00979776,,,,Islam,http://id.worldcat.org/fast/979776,Q3549
Persian poetry,a,fast,(OCoLC)fst01058542,,,,Persian poetry,http://id.worldcat.org/fast/1058542,Q3582
Shat̤t̤ārīyah,a,fast,(OCoLC)fst01115412,Shat̤t̤ārīyah,http://id.worldcat.org/fast/1115412,Q48772,,,
Mysticism--Islam--Early works to 1800,a--x--v,0,(uri) http://id.loc.gov/authorities/subjects/sh85089345,Mysticism--Islam;Early works,http://id.worldcat.org/fast/1031643;http://id.worldcat.org/fast/1411636,Q27457;Q300,,,
Prayer--Islam--Early works to 1800,a--x--v,0,http://id.loc.gov/authorities/subjects/sh2010108002--(uri) http://id.loc.gov/authorities/subjects/sh2010108002,,,,Prayer--Islam;Islam;Early works,http://id.worldcat.org/fast/1074698;http://id.worldcat.org/fast/979776;http://id.worldcat.org/fast/1411636,Q11135;Q3549;Q300
Salat--Early works to 1800,a--v,0,(uri) http://id.loc.gov/authorities/subjects/sh00008529,,,,Salat;Early works,http://id.worldcat.org/fast/1103765;http://id.worldcat.org/fast/1411636,Q39075;Q300
