language_as_recorded,language_code,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
ita,,,,,Italian,Q652,Q116
Text in Latin,,,,,Latin,Q397,Q113
In Latin,,,,,Latin,Q397,Q113
Text in Latin; Italian on ff. 67r-v,,Latin;Italian,Q397;Q652,Q113;Q116,,,
Text in Latin and Middle French,,Latin;Middle French,Q397;Q1473289,Q113;Q110,,,
In Dutch,,,,,Dutch,Q7411,Q793
In Latin; Gothic Textura script,,Latin,Q397,Q113,,,
"Collection material in various languages, including Latin, French, German, Spanish, Dutch, and Hebrew",,Latin;French;German;Spanish;Dutch;Hebrew,Q397;Q150;Q188;Q1321;Q7411;Q9288,Q113;Q111;Q112;Q114;Q793;Q117,,,
Text in Middle French,,Middle French,Q1473289,Q110,,,
In Latin and Old French,,Latin;Old French,Q397;Q35222,Q113;Q3106,,,
In French,,,,,French,Q150,Q111
In Greek,,,,,Greek,Q9129,Q1318
lat,,,,,Latin,Q397,Q113
Text in Latin. Several folios (145r-149r) contain German text,,Latin;German,Q397;Q188,Q113;Q112,,,
cop,,,,,Coptic,Q36155,Q4335
In Arabic and Ottoman Turkish; written in nastaʻlīq script,,Arabic;Ottoman Turkish,Q13955;Q36730,Q118;Q3104,,,
In Spanish,,,,,Spanish,Q1321,Q114
Text in Middle English,,Middle English,Q36395,Q119,,,
In Latin; Carolingian script,,Latin,Q397,Q113,,,
In Italian,,,,,Italian,Q652,Q116
frelat,,French;Latin,Q150;Q397,Q111;Q113,,,
"In Latin; Gothic script, with annotations and first page (preceding text) in humanistic script",,Latin,Q397,Q113,,,
In Arabic,,,,,Arabic,Q13955,Q118
In Hebrew,,,,,Hebrew,Q9288,Q117
In Latin?,,,,,Latin,Q397,Q113
In Middle High German,,Middle High German,Q837985,Q115,,,
"In Latin and French; numerous scripts, including Textualis Formata, Gothico-Antiqua, and Hybrida Libraria",,Latin;French,Q397;Q150,Q113;Q111,,,
Latin,,,,,Latin,Q397,Q113
Text in Latin. Several folios also contain German text,,Latin;German,Q397;Q188,Q113;Q112,,,
In Latin; Textualis Formata (Quadratus) script,,Latin,Q397,Q113,,,
In Old French; Gothic script,,Old French,Q35222,Q3106,,,
In Anglo-Norman,,Anglo-Norman,Q35214,Q1315,,,
In Middle High German; Cursiva script,,Middle High German,Q837985,Q115,,,
