subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
"Bible. Deuteronomy--Criticism, interpretation, etc",0,a;p--x,,"Bible. Deuteronomy;Criticism, interpretation, etc.",http://id.worldcat.org/fast/1808024;http://id.worldcat.org/fast/1411635,Q20462;Q177,,,
"Peter Lombard, Bishop of Paris, approximately 1100-1160. Sententiarum libri IV",0,a;c;d;t,,,,,"Sententiarum libri IV (Peter Lombard, Bishop of Paris)",http://id.worldcat.org/fast/1356925,Q4783
"Sententiarum libri IV (Peter Lombard, Bishop of Paris)",fast,a,(OCoLC)fst01356925,,,,"Sententiarum libri IV (Peter Lombard, Bishop of Paris)",http://id.worldcat.org/fast/1356925,Q4783
Bible. Psalms.--Latin.--Commentaries--Early works to 1800,0,a;p--l--v--v,,Bible. Psalms;Latin language;Commentaries;Early works,http://id.worldcat.org/fast/1808097;http://id.worldcat.org/fast/993125;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411636,Q4257;Q4170;Q2812;Q300,,,
Bible. Psalms,fast,a;p,(OCoLC)fst01808097,,,,Bible. Psalms,http://id.worldcat.org/fast/1808097,Q4257
"John, the Apostle, Saint--Art",0,a;c--v,,,,,"John, the Apostle, Saint;Art",http://id.worldcat.org/fast/36704;http://id.worldcat.org/fast/815177,Q7193;Q184
"John, the Apostle, Saint",fast,a;c,(OCoLC)fst00036704,,,,"John, the Apostle, Saint",http://id.worldcat.org/fast/36704,Q7193
Catholic Church--Liturgy--Manuscripts,0,a--x--x,,Catholic Church;Liturgics;Manuscripts,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1000579;http://id.worldcat.org/fast/1008230,Q310;Q207;Q38609,,,
Catholic Church--Liturgy,0,a--x,,,,,Catholic Church;Liturgics,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1000579,Q310;Q207
Prester John (Legendary character),0,a;c,,Prester John (Legendary character),http://id.worldcat.org/fast/1076039,Q48408,,,
"Mary, Blessed Virgin, Saint--Apparitions and miracles",0,a;c--x,,"Mary, Blessed Virgin, Saint;Apparitions;Miracles",http://id.worldcat.org/fast/68107;http://id.worldcat.org/fast/811524;http://id.worldcat.org/fast/1023535,Q244;Q48125;Q48126,,,
