subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Latin essays,0,a,,Latin essays,http://id.worldcat.org/fast/993118,Q39648,,,
Ethics,0,a,,,,,Ethics,http://id.worldcat.org/fast/915833,Q312
Old age,0,a,,Old age,http://id.worldcat.org/fast/1045272,Q4961,,,
Friendship,0,a,,,,,Friendship,http://id.worldcat.org/fast/935174,Q7117
Ethics,fast,a,(OCoLC)fst00915833,,,,Ethics,http://id.worldcat.org/fast/915833,Q312
Friendship,fast,a,(OCoLC)fst00935174,,,,Friendship,http://id.worldcat.org/fast/935174,Q7117
Latin essays,fast,a,(OCoLC)fst00993118,Latin essays,http://id.worldcat.org/fast/993118,Q39648,,,
Old age,fast,a,(OCoLC)fst01045272,,,,Old age,http://id.worldcat.org/fast/1045272,Q4961
Philosophy,0,a,,Philosophy,http://id.worldcat.org/fast/1060777,Q5883,,,
Philosophy,fast,a,(OCoLC)fst01060777,,,,Philosophy,http://id.worldcat.org/fast/1060777,Q5883
Theology--Early works to 1800,0,a--v,,,,,Theology;Early works,http://id.worldcat.org/fast/1149559;http://id.worldcat.org/fast/1411636,Q4290;Q300
Theology,fast,a,(OCoLC)fst01149559,,,,Theology,http://id.worldcat.org/fast/1149559,Q4290
Divine office,0,a,,,,,Divine office,http://id.worldcat.org/fast/895757,Q5881
Divine office,fast,a,(OCoLC)fst00895757,,,,Divine office,http://id.worldcat.org/fast/895757,Q5881
Books of hours,0,a,,Books of hours,http://id.worldcat.org/fast/836484,Q5889,,,
Books of hours,fast,a,(OCoLC)fst00836484,,,,Books of hours,http://id.worldcat.org/fast/836484,Q5889
Theology--Early works to 1800,0,a--x,,,,,Theology;Early works,http://id.worldcat.org/fast/1149559;http://id.worldcat.org/fast/1411636,Q4290;Q300
Sermons,0,a,,Sermons,http://id.worldcat.org/fast/1113216,Q38598,,,
Sermons,fast,a,(OCoLC)fst01113216,,,,Sermons,http://id.worldcat.org/fast/1113216,Q38598
Homiliaries,0,a,,Homiliaries,http://id.worldcat.org/fast/935118,Q16286,,,
Antichrist,0,a,,Antichrist,http://id.worldcat.org/fast/810461,Q4796,,,
Antichrist,fast,a,(OCoLC)fst00810461,,,,Antichrist,http://id.worldcat.org/fast/810461,Q4796
Homiliaries,fast,a,(OCoLC)fst00959694,Homiliaries,http://id.worldcat.org/fast/935118,Q16286,,,
Mysticism,0,a,,,,,Mysticism,http://id.worldcat.org/fast/1031629,Q6869
Quaestiones disputatae,0,a,,,,,,,
Mysticism,fast,a,(OCoLC)fst01031629,,,,Mysticism,http://id.worldcat.org/fast/1031629,Q6869
Natural history--Pre-Linnean works,0,a--v,,,,,Natural history,http://id.worldcat.org/fast/1034268,Q157
Latin literature--Natural history,0,a--x,,Latin literature;Natural history,http://id.worldcat.org/fast/993331;http://id.worldcat.org/fast/1034268,Q2820;Q157,,,
Natural history,fast,a,(OCoLC)fst01034268,,,,Natural history,http://id.worldcat.org/fast/1034268,Q157
Sacred vocal music--Spain--15th century,0,a--z--y,,Sacred vocal music;Spain;Fifteenth century,http://id.worldcat.org/fast/1103213;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/923962,Q26678;Q343;Q154,,,
