title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
"Purgatorio: Canto 31, lines 45-145, and Canto 32, lines 1-90",,Purgatorio,,Purgatorio,Q39945,,
Paradoxa ; De senectute ; De amicitia,,Opera philosophica. Selections,,Paradoxa Stoicorum;Cato maior de senectute;Laelius de amicitia,Q39998;Q48604;Q20003,,
Tusculanarum Quaestionum Libri [Quinque,,Tusculan Disputations,,Tusculanae disputationes,Q1404,,
Mutilated bifolium with commentary on Deuteronomy 27 and 32,,,,Bible commentary;Commentary on Deuteronomy,Q1433;Q39941,,
"Sermones quadrigesimales de legibus fidei, spei, et caritatis",,,,Sermons,Q1400,,
"Leaf from a breviary with decorative initial ""C""",,,,Breviary;Initial,Q657;Q20384,,
"Richard of Middleton, commentary on the Sentences of Peter Lombard",,,,Commentary on Sentences,Q7516,,
Antiphonarium,,Antiphonal,,,,Antiphonary,Q654
Horae Beatae Mariae Virginis,,Book of Hours (Use of Le Mans),,Hours of the Virgin;Book of hours,Q8278;Q795,,
Excerpta sermonum / Bernard of Clairvaux,,,,Sermons,Q1400,,
Sermones de tempore et de Sanctis,,,,Sermones de tempore et de sanctis,Q39771,,
Quodlibeta] / James of Viterbo [...et al,,,,Quodlibeta,Q27592,,
Naturalis Historia,,,,,,Naturalis historia,Q39634
Leaf from a gradual with musical notation and decorated initials,,,,Gradual,Q1121,,
"Leaf from the Acta Martyrii, including the martyrs of Sebaste",,,,Acts of the Martyrs,Q16432,,
Liber Sancti Petri in Erffordia,,Miscellany,,Miscellany,Q3673,,
"Initial ""E"" with Adoration of the Magi, from a choir book, from northern Italy",,,,Initial;Choir book,Q20384;Q1449,,
"Initial ""E"" with Adoration of the Magi taken from a choir book",,,,Initial;Choir book,Q20384;Q1449,,
Leaf from Italian service book with illustration of Saint John with the Lamb,,,,Service book,Q40008,,
"Leaf from an antiphonal with historiated ""A"" initial of a female saint preaching",,,,Antiphonary,Q654,,
Leaf from a missal,,,,Missal,Q662,,
"Mutilated bifolium of Old Testament capitula and Augustine's Hipponiensis episcopi Epistulae from chapter 21, De libro Ezechielis",,Bible,,Bible;Old testament;Letters of Augustine;Book of Ezekiel,Q661;Q664;Q39372;Q1342,,
Single folio on vellum from a decorative breviary,,,,Breviary,Q657,,
"Leaf possibly from an illuminated psalter, including Psalm 19 and decorative line fillers",,Bible,,Psalter,Q660,,
Meditationes piissime de cognitione humane conditionis] / [Pseudo-]Bernard of Clairvaux [...et al,,Miscellany,,Meditationes piissimae de cognitione humanae conditionis,Q40005,,
"Mutilated bifolium from a glossed Vulgate Bible, Psalms 39 and 41",,Bible,,Bible;Psalms,Q661;Q5972,,
Leaf from a gradual with musical notation,,,,Gradual,Q1121,,
Two leaves from a Book of Hours from France,,,,Book of hours,Q795,,
Homeliarium Quadragesimale [...et al,,Miscellany,,Homiliary,Q1338,,
"Leaf from a highly decorated Book of Hours in Dutch, with illuminated initial ""H"" with crucified Christ",,,,Book of hours,Q795,,
Psalterium cum commento,,,,Psalter,Q660,,
"Initial ""S"" from a gradual from Germany or Bohemia",,,,Initial;Gradual,Q20384;Q1121,,
Mutilated bifolium from a liturgical manuscript containing Psalm XIII (and XIV?) with diastematic neumes,,Bible,,Liturgical text;Bible;Psalms,Q10839;Q661;Q5972,,
Saturae / D. Iuni Iuvenalis et A. Persi Flacci,,,,Satires,Q1364,,
Commentaria in Obadiam prophetam,,,,Bible commentary;Commentary on Obadiah,Q1433;Q12122,,
Ordo manualis [Ferrariensis Ecclesiae,,Ordinal,,Ordinal,Q40011,,
"Bifolium from statute book of a city in Northern Italy, possibly Lucca",,,,Statutes,Q1320,,
Medieval manuscript fragments,,,,Medieval manuscript fragment,Q20459,,
Computus Cirometralis,,Ars computistica,,,,Ars computistica,Q39262
De sacra religione / Bernardinus de Senis [...et al.,,Miscellany,,De sacra religione,Q12791,,
Rhetorica ad Herennium,,,,,,Rhetorica ad Herennium,Q816
Leaf from a hymnal with musical notation,,,,Hymnal,Q666,,
Two leaves from a music book with musical notation,,,,Music book,Q3714,,
Ly romans de vraye amour ; [Le pleur de sainte am̂e,,,,Le roman de vrai amour;Le pleur de sainte âme,Q39976;Q40009,,
De consolatione philosophiae] / Boetius,,De consolatione philosohiae,,De consolatione philosophiae,Q2832,,
"Two bifolia from the so-called Psalter of St. Mary, with 15 verses of rhyming devotional poetry",,,,Psalter,Q660,,
"Illuminated leaf from ""Les grandes chroniques royales"" Compostela",,Grandes chroniques de France,,Grandes chroniques de France,Q39979,,
Dialogi / Gregory the Great,,,,Dialogues,Q1348,,
"Latin Bible, with prologues attributed to St. Jerome and the interpretation of Hebrew names",,,,,,Bible;Prologues;Interpretation of Hebrew names,Q661;Q38401;Q38400
Leaf from a Book of Hours with pen drawing of God the Father with crucified Christ,,,,Book of hours,Q795,,
Compendium of Italian manuscripts,,,,Italian manuscript,Q12038,,
"Binding strip containing text from the Vulgate Bible, Luke 2",,Bible,,Bible;Gospel of Luke,Q661;Q1437,,
"Fragment from the Gospel of Matthew 21:1-19, describing the entrance of Jesus into Jerusalem",,Bible,,Bible;Gospel of Matthew,Q661;Q1389,,
"Leaf from Titus Livius, Historiae (Book 3.4-7)",,Ab urbe condita,,History of Rome,Q1324,,
Leaf from Thomas of Breslau's Practica medicinalis,,Practica medicinalis,,Practica medicinalis,Q5952,,
"Fragment of Isidore's Etymologies, VIII 5.39-6.3",,Etymologiae,,Etymologiae,Q359,,
Book of hours with a miniature of Saint Barbara,,Book of Hours,,Book of hours,Q795,,
Benedicturus aquam cappam vel superpellicium induat et stolam desuper,,,,Benedictional,Q39910,,
Damaged document with very faded script,,,,Document,Q8301,,
Tractatus de confessione [...et al,,Miscellany,,Tractatus de confessione,Q39935,,
Two fragments from a glossed book,,,,Medieval manuscript fragment,Q20459,,
"Two leaves from a book, probably of canon law",,,,Canon law text,Q1415,,
Sahidic Coptic text fragment,,,,Coptic text,Q40019,,
Donatus minor s. de octo partibus orationis,,Ars minor,,Ars minor;De octo partibus orationis,Q40013;Q27520,,
Hadhā lughat-i muntakhab,,,,Lughat-i muntakhab,Q40026,,
M. Tulii Ciceronis De oratore,,De oratore,,De oratore,Q10841,,
Aqui comienca el lib[r]o De secreto secretorum; el qual compuso el güt philosofo Aristotiles por mandamiento et ruego del gran ray Alesandre,,Secretum secretorum,,Secretum secretorum,Q3153,,
Sententiae,,,,,,Sentences,Q1119
"Two leaves from Cicero, Oratio pro Milone",,Oratio pro Milone,,Pro Milone,Q39955,,
Horae Beatae Mariae Virginis,,Book of Hours (Use of Auxerre),,Hours of the Virgin;Book of hours,Q8278;Q795,,
"Leaf on vellum from a breviary, Flanders",,,,Breviary,Q657,,
Expositiones vocabulorum totius Biblie / [Guillelmus Brito,,Summa Britonis,,Expositiones vocabulorum biblie,Q39973,,
"Leaf from a psalter, with human faces in the margin",,,,Psalter,Q660,,
"Leaf from the Digests of Justinian, 27.1.45 - 27.3.2",,Digesta,,Digest,Q39344,,
Sermones,,Miscellany,,,,Sermons,Q1400
Vita Petrarchae,,,,Life of Petrarch,Q39872,,
"Leaf, possibly from a service book",,,,Service book,Q40008,,
Latin Bible,,,,,,Bible,Q661
"Three nested bifolia of Statuta criminalia from Lucca, Italy",,,,Statutes,Q1320,,
The Mirrour of the Blessed Lyf of Jesu Christi / Nicholas Love,,The Mirrour of the Blessed Lyf of Jesu Christi,,Mirror of the Blessed Life of Jesus Christ,Q18369,,
Fragment from a Byzantine patristic manuscript,,,,Patristic text,Q38382,,
Leaf from Bruni's translation of Nichomachean ethics,,Nichomachean ethics,,Nicomachean ethics,Q369,,
Mutilated bifolium from a lectionary including readings from Acts 3:9-10,,,,Lectionary;Acts of the Apostles,Q663;Q6009,,
Dialogus inter corpus et animam,,,,Dialogus inter corpus et animam,Q39349,,
"Leaf from Leo Magnus' Tractatus, 75, 76",,Tractatus contra heresim Eutychetis,,Tractatus contra heresim Eutychetis,Q27654,,
Secretum,,Works,,Secretum;Works of Petrarch,Q40027;Q12048,,
"Leaf from antiphonal with decorated initial ""E"" with blue wolves",,,,Antiphonary,Q654,,
Canto quinto de la prima canticha ; Incipit cantus xxi Purgatorii Dantis Allegherii,,Divina commedia,,Divine Comedy;Purgatorio,Q17595;Q39945,,
Book of hours (Usage of Paris),,Book of hours (Paris),,Book of hours,Q795,,
Mutilated bifolium from the Speculum doctrinale by Vincent of Beauvais,,Speculum doctrinale,,Speculum doctrinale,Q39190,,
"Manuale in investionibus, professionibus, et iubileis monialium necessarium, ad usum prioris monasterii Rubee vallis",,Manual,,,,Manual,Q7272
Pro instruendis curandisq[ue] iuvenib[us] utilis doctrina Francisci Petrache [sic] cuiusdam etiam adolescentis ad magistrum suum recommendacio,,Epistolae familiares,,Epistolae familiares,Q20458,,
De vera sapientia,,Spurious and doubtful works,,De vera sapientia,Q39986,,
Music fragment from a hymnal with pre-square notation,,,,Hymnal,Q666,,
Two leaves from a legal document,,,,Legal document,Q3666,,
"Leaf, possibly from a service book, with decorated initials ""D"" and ""C""",,,,Service book,Q40008,,
Three philosophical works relating to Thomas Aquinas and Aristotle,,,,Philosophical texts,Q20482,,
"Two single leaves from the Qurʼan, probably Mamelukian",,Qurʼan,,Qurʼan,Q3697,,
"Fragments recovered from binding, containing sermons by Jacques de Lausanne",,,,Sermons,Q1400,,
"Mutilated bifolium containing Haimo of Auxerre's Homiliae de tempore, 81",,Homiliae de tempore,,Homiliae de tempore,Q39984,,
"Bifolium from a psalter, from northern Italy",,Bible,,Psalter,Q660,,
Bifolium containing Avicenna's Liber Canonis I,,Qānūn fī al-ṭibb,,Canon of Medicine,Q2826,,
"Notarial act (codicil to a will) from Piacenza, Emilia-Romagna, Italy",,,,Notarial document,Q5065,,
"Leaf from the Bible, Book of Zachariah",,Bible,,Bible;Book of Zachariah,Q661;Q20430,,
"Two leaves, probably from the same gradual from Northern Italy, with musical notation and decorated initials",,,,Gradual,Q1121,,
"Fragment of a leaf with music for Epiphany, with pre-square notation",,,,Music,Q20017,,
Two mutilated bifolia from an inset gloss textbook,,,,Textbook,Q39997,,
De officiis ; De amicitia ; De senectute ; Paradoxa,,Opera philosophica. Selections,,De officiis;Laelius de amicitia;Cato maior de senectute;Paradoxa Stoicorum,Q10836;Q20003;Q48604;Q39998,,
Account document from England,,,,Document,Q8301,,
Dyalogus exemplorum de vita sancti Bernardi,,Miracula Sancti Bernardi,,Life of Saint Bernard,Q39993,,
Sermones,,,,,,Sermons,Q1400
Fragment from a glossed textbook,,,,Textbook,Q39997,,
"Leaf from a Rabbinic legal commentary, probably from Spain",,,,Rabbinic legal text,Q40001,,
Hymnal leaf (or antiphonary?) with diastematic neumes,,,,Hymnal,Q666,,
Thirteen mutilated bifolia and three fragments from a Latin manuscript,,,,Latin manuscript,Q12751,,
"Two leaves featuring the offices of saints Leo, Peter and Paul, James, Nazarius and Celsus, Abdon and Seunen",,,,Offices,Q40010,,
Expositio super epistolam Pauli ad Romanos,,Commentary on the Epistle to the Romans,,,,Bible commentary;Commentary on Romans,Q1433;Q20445
Bisected bifolium of Heroides from a manuscript with decorated initial,,Heroides,,Heroides,Q39961,,
Fragment taken from a binding,,,,Binding fragment,Q10843,,
"Decorated leaf from a psalter, probably from Northern France",,,,Psalter,Q660,,
Book of hours; use of Rome,,Book of Hours (Use of Rome),,,,Book of hours,Q795
"Epistles of St. Paul, with commentary",,Bible,,,,Pauline Epistles,Q38384
"Leaf with commentary on Luke 7:36, probably from Germany",,,,Bible commentary;Commentary on Luke,Q1433;Q1345,,
Fragment from a binding,,,,Binding fragment,Q10843,,
"Binding strip probably from a Bible, containing Jerome, Matthew 3.21.1-11, and Zacharias 9.9.9",,Bible,,Bible;Works of Jerome;Gospel of Matthew;Book of Zachariah,Q661;Q38391;Q1389;Q20430,,
"Fragment from a glossed manuscript containing the Digests of Justinian, 36.1/3.1-2",,Digesta,,Digest,Q39344,,
"Mutilated bifolium of a glossed Digest of Justinian, Liber XLV",,Digesta,,Digest,Q39344,,
Manuscript Old Testament,,Bible,,Bible;Old testament,Q661;Q664,,
Horae Beatae Mariae Virginis,,Book of hours (Rome),,Hours of the Virgin;Book of hours,Q8278;Q795,,
Three bifolia from an antiphonary from Northern Italy with musical notation and decorated initials,,,,Antiphonary,Q654,,
Leaf containing Marian prayers in German,,,,Prayers,Q798,,
Fragment from an unidentified book,,,,Unidentified,Q38408,,
Otia imperialia,,Otia imperialia,,,,Otia imperialia,Q39664
"A doctor with two amputees, illuminated miniature from Le Livre des Propriétés des choses",,,,Livre des propriétés des choses,Q40033,,
"Remnant of a Book of Hours, annotated in the following centuries, with eight leaves (including three bifolia) in an eighteenth century binding",,,,Book of hours,Q795,,
Passiones sanctorum martyrorum,,,,Acts of the Martyrs,Q16432,,
Single folio of Sententiae with wide margins,,Sententiarum libri IV,,Sentences,Q1119,,
Dante Collection,,,,Works of Dante,Q27841,,
Parva institutio monastica [...et al,,Miscellany,,Parva institutio monastica,Q4355,,
Three binding strips from an unidentified manuscript,,,,Binding fragment,Q10843,,
Factorum et dictorum memorabilium libri IX [...et al,,,,Factorum et dictorum memorabilium libri IX,Q1469,,
Vita beati Francisci [...et al,,Lives of the Saints,,Lives of the saints,Q1483,,
Fragment from a book taken from a binding,,,,Binding fragment,Q10843,,
"Leaf from Alexander Bonini de Alexandria, in Duodecim Aristotelis Metaphysicae expositio, 1300s",,,,Commentary on Aristotle,Q3120,,
Initial E depicting the Massacre of the Innocents,,,,Initial,Q20384,,
"Fragment from a manuscript, probably a Bible",,,,Bible,Q661,,
Leaf from Old French translation of Pseudo-Bonaventure's Stimulus amoris,,Stimulus amoris,,Stimulus amoris,Q20491,,
Fragment taken from the binding of an unidentified book,,,,Binding fragment,Q10843,,
"Algorismus, cum glosa / John of Sacro Bosco",,,,,,Algorismus,Q352
Two leaves from a Bible containing the Books of Ezra/ Nehemiah and Judith,,Bible,,Bible;Book of Ezra;Book of Nehemiah;Book of Judith,Q661;Q20502;Q20423;Q20493,,
Tratado de la comunidad,,,,Tratado de la comunidad,Q12754,,
De patriarchis,,,,,,De patriarchis,Q39313
"Fragment of a border, and cut-out initial ""M"" from a choir book",,,,Initial;Choir book,Q20384;Q1449,,
Rime e Trionfi,,Rime,,Il Canzoniere;Triumphs,Q20397;Q19996,,
"Fragment from a codex by Justinian, with historiated initials",,,,Code of Justinian,Q39278,,
Fragment from the bottom border of a medieval book with a number of later hands,,,,Medieval manuscript fragment,Q20459,,
"Fragment from St. Augustine, Expositio in evangelium Iohannis",,In Evangelium Iohannis tractatus,,Tractates on the Gospel of John,Q1440,,
"Fragment from the Codex Justinius, Book VIII",,Codex Justinius,,Code of Justinian,Q39278,,
One mutilated bifolium and three fragments from a breviary with diastematic neumes,,,,Breviary,Q657,,
Leaf from Augustine's De doctrina christiana (ii. 38-40 incomplete),,De doctrina christiana,,De doctrina Christiana,Q39966,,
"Fragment from Gregory of Nicomedia, Sermo in S. Mariam assistentem cruci, probably from a homiliary",,,,Homiliary,Q1338,,
Leaf from Lauda (song) book,,,,Song book,Q39996,,
"Marriage contract between Thomas de Nevill and John de Chaumont, 1345",,,,Marriage contract,Q40004,,
Three leaves from Bede's Homilia,,Homilia evangelii,,Homilia evangelii,Q40030,,
"Two mutilated bifolia from a missal containing parts of Matthew 9 and 18, and Ephesians 4, with some diastematic neumes",,Bible,,Missal;Bible;Gospel of Matthew;Epistle to the Ephesians,Q662;Q661;Q1389;Q39948,,
De oratore ; Orator ; Brutus,,Opera rhetorica. Selections,,De oratore;Orator ad Brutum,Q10841;Q20483,,
Framed document featuring wax seal of an abbess,,,,Document,Q8301,,
Six leaves from a Tours Bible,,Bible,,Bible,Q661,,
"Foliate initial ""C"" from a choir book, from Italy",,,,Initial;Choir book,Q20384;Q1449,,
Leaf from Persian manuscript,,,,Persian manuscript,Q20453,,
Leaf from an English manuscript pocket Bible,,Bible,,Bible,Q661,,
Bifolium probably from Aristotle's Metaphysics,,Metaphysics,,Metaphysics (Aristotle),Q361,,
Leaf containing capitula for 1. Corinthians 3:16-4:17 on recto and Bible fragment on verso,,Bible,,Bible;First Epistle to the Corinthians,Q661;Q12760,,
Document with seal in Middle High German,,,,Document,Q8301,,
