subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
"ʻIṣām al-Asfarāyīnī, Ibrāhīm ibn Muḥammad, 1468 or 1469-1538 or 1539. Sharḥ al-Risālah al-Samarqandīyah",0,a;d;t,,,,,,,
"Samarqandī, Abū al-Qāsim ibn Abī Bakr, active 15th century. Risālah al-Samarqandīyah fī al-istiʻārāt",0,a;d;t,,,,,,,
"Qūshjī, ʻAlī ibn Muḥammad, -1474 or 1475. Sharḥ al-Waḍʻīyah",0,a;d;t,,,,,,,
"Ījī, ʻAḍud al-Dīn ʻAbd al-Raḥmān ibn Aḥmad, -1355? Risālah al-waḍʻīyah",0,a;d;t,,,,,,,
"Ḥarīrī, 1054-1122. Mulḥat al-iʻrāb",0,a;d;t,http://id.loc.gov/authorities/names/no2015083029,,,,Mulḥat al-iʻrāb (Ḥarīrī),http://id.worldcat.org/fast/1938007,Q38671
"Matīṭī, ʻAlī ibn ʻAbd Allāh, -1104. Kitāb al-Tabṣirah",0,a;d;t,,,,,,,
"Jurjānī, ʻAlī ibn Muḥammad, al-Sayyid al-Sharīf, 1340-1413. Risālah al-kubrá fī al-manṭiq",0,a;c;d;t,,,,,,,
"Ibn Ājurrūm, Muḥammad ibn Muḥammad, 1273 or 1274-1323. Ajurrūmīyah",0,a;d;t,,,,,"Ajurrūmīyah (Ibn Ājurrūm, Muḥammad ibn Muḥammad)",http://id.worldcat.org/fast/1911422,Q11197
"Ṭūsī, Naṣīr al-Dīn Muḥammad ibn Muḥammad, 1201-1274. Tajrīd al-iʻtiqād",0,a;d;t,,,,,"Tajrīd al-iʻtiqād (Ṭūsī, Naṣīr al-Dīn Muḥammad ibn Muḥammad)",http://id.worldcat.org/fast/1377889,Q11208
"Fāṭimah, -632 or 633--Early works to 1800",0,a;d--v,,,,,"Fāṭimah, -632 or 633;Early works",http://id.worldcat.org/fast/1818087;http://id.worldcat.org/fast/1411636,Q11590;Q300
"Ḥamīdī, Qarah Sayyidī, -1507 or 1508. Works.--Selections",0,a;d;t--k,,,,,,,
"Jurjānī, ʻAlī ibn Muḥammad, al-Sayyid al-Sharīf, 1340-1413. Miṣbāḥ fī sharḥ al-Miftāḥ",0,a;c;d;t,,,,,,,
"Sakkākī, Yūsuf ibn Abī Bakr, 1160- Miftāḥ al-ʻulūm",0,a;d;t,,,,,"Miftāḥ al-ʻulūm (Sakkākī, Yūsuf ibn Abī Bakr)",http://id.worldcat.org/fast/1915402,Q11425
"Mullawī, Aḥmad ibn ʻAbd al-Fattāḥ, 1677-1767. Sharḥ al-Samarqandīyah fī al-balāghah",0,a;d;t,,"Sharḥ al-Samarqandīyah fī al-balāghah (Mullawī, Aḥmad ibn ʻAbd al-Fattāḥ)",http://id.worldcat.org/fast/2058619,Q38338,,,
"Ismāʻīl ibn ʻAbd Allāh, 1792 or 1793-1863",0,a;d,,,,,,,
"Jaʻfar Pāshā, Governor of Sudan--Poetry",0,a;c--v,,Poetry,http://id.worldcat.org/fast/1423828,Q247,,,
"Muḥammad, Prophet, -632--Birth--Early works to 1800",0,a;c;d--x--v,,,,,"Muḥammad, Prophet, -632;Birth of a person;Early works",http://id.worldcat.org/fast/1836298;http://id.worldcat.org/fast/1185270;http://id.worldcat.org/fast/1411636,Q3639;Q11147;Q300
"Muḥammad, Prophet, -632--Poetry--Early works to 1800",0,a;c;d--v--v,,,,,"Muḥammad, Prophet, -632;Poetry;Early works",http://id.worldcat.org/fast/1836298;http://id.worldcat.org/fast/1423828;http://id.worldcat.org/fast/1411636,Q3639;Q247;Q300
"Muḥammad, Prophet, -632",fast,a;c;d,,,,,"Muḥammad, Prophet, -632",http://id.worldcat.org/fast/1836298,Q3639
"Athīr al-Dīn al-Abharī, al-Mufaḍḍal ibn ʻUmar, -1265. Īsāghūjī",0,a;d;t,,,,,"Īsāghūjī (Athīr al-Dīn al-Abharī, al-Mufaḍḍal ibn ʻUmar)",http://id.worldcat.org/fast/1918514,Q11372
"Samarqandī, Abū al-Qāsim ibn Abī Bakr, active 15th century. Risālah al-Samarqandīyah",0,a;d;t,,,,,,,
Shihāb al-Dīn Aḥmad ibn Maḥmūd. Farāʼiḍ Shihāb al-Dīn,0,a;t,,,,,,,
Masjid al-Nabawī al-Sharīf--Early works to 1800,0,a--v,,Masjid al-Nabawī al-Sharīf;Early works,http://id.worldcat.org/fast/730865;http://id.worldcat.org/fast/1411636,Q12742;Q300,,,
"Farāhī, Masʻūd ibn Abī Bakr, -1242. Niṣāb al-ṣibyān",0,a;d;t,,,,,,,
"ʻĀmilī, Bahāʾ al-Dīn Muḥammad ibn Ḥusayn, 1547-1621. Khulāṣat al-ḥisāb",0,a;d;t,,,,,"Khulāṣat al-ḥisāb (ʻĀmilī, Bahāʼ al-Dīn Muḥammad ibn Ḥusayn)",http://id.worldcat.org/fast/1378728,Q11510
"Qāḍīʹzādah, Mūsá ibn Muḥammad, -approximately 1436. Sharḥ Ashkāl al-taʼsīs",0,a;d;t,,,,,,,
"Samarqandī, Muḥammad ibn Ashraf, active 13th century. Ashkāl al-taʼsīs",0,a;d;t,,,,,,,
"Laqānī, Ibrāhīm ibn Ibrāhīm, -1631 or 1632. Jawharat al-tawḥīd",0,a;d;t,,"Jawharat al-tawḥīd (Laqānī, Ibrāhīm ibn Ibrāhīm)",http://id.worldcat.org/fast/2057821,Q26581,,,
"Sujāʻī, Aḥmad ibn Aḥmad, -1783? Jawāhir al-muntaẓimāt fi ʻUqūd al-maqūlāt",0,a;d;t,,,,,,,
