row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
1,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.021407Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.611842Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.690744Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.137144Z","ʻAbd al-Bāqī, Būtū",former owner,عبد الباقي، بوتو,,Būtū ʻAbd al-Bāqī,human,Q129951447,DSNAME6485,Q54116,,,,
2,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.030123Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.612644Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.697519Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.144103Z","Ibn al-Muqrī, Ismāʻīl ibn Abī Bakr, 1354-1433 or 1434",author,ابن المقري، اسماعيل بن ابي بكر,,Ismāʻīl ibn Abī Bakr Ibn al-Muqrī,human,Q28753992,DSNAME6486,Q54117,,,,
3,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.031999Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.612658Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.697733Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.144669Z","Suyūṭī, 1445-1505",author,سيوطي، 1445-1505,http://id.loc.gov/authorities/names/n80081636,,,,,,human,Jalal al-Din al-Suyuti,Q468432,Q10868
4,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032010Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.612945Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.697738Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.145673Z","Rushdī, Ismāʻīl, active 19th century",scribe,رشدي، اسماعيل، active 19th century,,Ismāʻīl Rushdī,human,Q129951449,DSNAME6487,Q54118,,,,
5,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032016Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.612954Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.697742Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.145685Z","Dimyāṭī, Aḥmad ibn Futūḥ, active 18th century",scribe,دمياطي، احمد بن فتوح، active 18th century,,Aḥmad ibn Futūḥ Dimyāṭī,human,Q129951452,DSNAME6488,Q54119,,,,
6,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032030Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.612960Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.697753Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.145690Z","Ibrāhīm, Muḥammad Fatḥī, active 19th century",scribe,ابراهيم، محمد فتحي، active 19th century,,Muḥammad Fatḥī Ibrāhīm,human,Q129951454,DSNAME6489,Q54120,,,,
7,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032035Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.612970Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698021Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.145699Z","Muṭarrizī, Nāṣir ibn ʻAbd al-Sayyid, 1144-1213",author,مطرزي، ناصر بن عبد السيد,,Abu al-Fath al-Mutarrizi,human,Q20393522,DSNAME6490,Q54121,,,,
8,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032041Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.612977Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698025Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.145706Z","Ibn ʻAbd al-Riḍá, Aḥmad, active 17th century",author,ابن عبد الرضى، احمد,,Ibn ʻAbd al-Riḍá,human,Q124743543,DSNAME6491,Q54122,,,,
9,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032049Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.612983Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698143Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.145730Z","Ibn al-Ḥājib, ʻUthmān ibn ʻUmar, 1175-1249",author,,,,,,,,human,Ibn al-Ḥājib,Q6533412,Q12364
10,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-26T15:12:44.032054Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-26T15:13:20.612993Z | NAME RECON STEP 6: START ORG RECON 2024-08-28T16:37:37.698148Z | NAME RECON STEP 9: FINALIZED 2024-08-28T16:38:03.145736Z","Jārbardī, Fakhr al-Dīn Aḥmad ibn al-Ḥasan, -1345",author,,,,,,,,human,Fakhr al-Dīn Aḥmad ibn al-Ḥasan Jārbardī,Q120752948,Q12365
