subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
"Jāmī, 1414-1492. Bahāristān--Criticism, Textual",0,a;d;t--x,,"Bahāristān (Jāmī);Criticism, Textual",http://id.worldcat.org/fast/1392675;http://id.worldcat.org/fast/883762,Q26812;Q4282,,,
"Jāmī, 1414-1492. Haft awrang.--Selections--Criticism, Textual",0,a;d;t--k--x,,"Haft awrang (Jāmī);Excerpts;Criticism, Textual",http://id.worldcat.org/fast/1379352;http://id.worldcat.org/fast/1692837;http://id.worldcat.org/fast/883762,Q6963;Q3547;Q4282,,,
"Shāhī, Āqā Malik ibn Jamāl al-Dīn, d. 1453. Dīvān--Criticism, Textual",0,a;d;t--x,,"Criticism, Textual",http://id.worldcat.org/fast/883762,Q4282,,,
Būstān (Saʻdī),fast,a,,Būstān (Saʻdī),http://id.worldcat.org/fast/1366471,Q48957,,,
"Saʻdī. Būstān--Criticism, Textual",0,a;t--x,,"Būstān (Saʻdī);Criticism, Textual",http://id.worldcat.org/fast/1366471;http://id.worldcat.org/fast/883762,Q48957;Q4282,,,
"Ḥāfiẓ, 14th cent. Dīvān--Criticism, Textual",0,a;d;t--x,,"Dīvān (Ḥāfiẓ);Criticism, Textual",http://id.worldcat.org/fast/1365498;http://id.worldcat.org/fast/883762,Q48952;Q4282,,,
"Muḥammad, Prophet, -632--Biography--Early works to 1800",0,a;c;d--v--v,,,,,"Muḥammad, Prophet, -632;Biographies;Early works",http://id.worldcat.org/fast/1836298;http://id.worldcat.org/fast/1919896;http://id.worldcat.org/fast/1411636,Q3639;Q3051;Q300
Abraham (Biblical patriarch)--Early works to 1800,0,a;c--v,,Abraham (Biblical patriarch);Early works,http://id.worldcat.org/fast/37599;http://id.worldcat.org/fast/1411636,Q12595;Q300,,,
Abraham (Biblical patriarch),fast,a;c,,Abraham (Biblical patriarch),http://id.worldcat.org/fast/37599,Q12595,,,
"Muḥammad, Prophet, -632--Poetry--Early works to 1800",0,a;c;d--v--v,,,,,"Muḥammad, Prophet, -632;Poetry;Early works",http://id.worldcat.org/fast/1836298;http://id.worldcat.org/fast/1423828;http://id.worldcat.org/fast/1411636,Q3639;Q247;Q300
"Abū Bakr, Caliph, -634--Poetry--Early works to 1800",0,a;c;d--v--v,,"Abū Bakr, Caliph, -634;Poetry;Early works",http://id.worldcat.org/fast/1803225;http://id.worldcat.org/fast/1423828;http://id.worldcat.org/fast/1411636,Q8365;Q247;Q300,,,
"ʻUmar ibn al-Khaṭṭāb, Caliph, -644--Poetry--Early works to 1800",0,a;c;d--v--v,,"ʻUmar ibn al-Khaṭṭāb, Caliph, -644;Poetry;Early works",http://id.worldcat.org/fast/1852177;http://id.worldcat.org/fast/1423828;http://id.worldcat.org/fast/1411636,Q7953;Q247;Q300,,,
"ʻUthmān ibn ʻAffān, Caliph, -656--Poetry--Early works to 1800",0,a;c;d--v--v,,"ʻUthmān ibn ʻAffān, Caliph, -656;Poetry;Early works",http://id.worldcat.org/fast/1855282;http://id.worldcat.org/fast/1423828;http://id.worldcat.org/fast/1411636,Q27391;Q247;Q300,,,
"ʻAlī ibn Abī Ṭālib, Caliph, approximately 600-661--Poetry--Early works to 1800",0,a;c;d--v--v,,,,,"ʻAlī ibn Abī Ṭālib, Caliph, approximately 600-661;Poetry;Early works",http://id.worldcat.org/fast/1804105;http://id.worldcat.org/fast/1423828;http://id.worldcat.org/fast/1411636,Q11345;Q247;Q300
"Abū Bakr, Caliph, -634",fast,a;c;d,,"Abū Bakr, Caliph, -634",http://id.worldcat.org/fast/1803225,Q8365,,,
"ʻAlī ibn Abī Ṭālib, Caliph, approximately 600-661",fast,a;c;d,,,,,"ʻAlī ibn Abī Ṭālib, Caliph, approximately 600-661",http://id.worldcat.org/fast/1804105,Q11345
"Muḥammad, Prophet, -632",fast,a;c;d,,,,,"Muḥammad, Prophet, -632",http://id.worldcat.org/fast/1836298,Q3639
"ʻUmar ibn al-Khaṭṭāb, Caliph, -644",fast,a;c;d,,"ʻUmar ibn al-Khaṭṭāb, Caliph, -644",http://id.worldcat.org/fast/1852177,Q7953,,,
"ʻUthmān ibn ʻAffān, Caliph, -656",fast,a;c;d,,"ʻUthmān ibn ʻAffān, Caliph, -656",http://id.worldcat.org/fast/1855282,Q27391,,,
"ʻAṭṭār, Farīd al-Dīn, -approximately 1230. Pandnāmah",0,a;d;t,,"Pandnāmah (ʻAṭṭār, Farīd al-Dīn)",http://id.worldcat.org/fast/1374416,Q11601,,,
"Pandnāmah (ʻAṭṭār, Farīd al-Dīn)",fast,a,,"Pandnāmah (ʻAṭṭār, Farīd al-Dīn)",http://id.worldcat.org/fast/1374416,Q11601,,,
"Şahidî İbrahim Dede, 1470-1550. Tuhfe-yi Şahidî",0,a;d;t,,,,,,,
"Nabi, 1641 or 1642-1712--Correspondence",0,a;d--v,,"Nabi, 1641 or 1642-1712;Correspondence",http://id.worldcat.org/fast/1836668;http://id.worldcat.org/fast/2003288,Q11424;Q5829,,,
"Nabi, 1641 or 1642-1712",fast,a;d,,"Nabi, 1641 or 1642-1712",http://id.worldcat.org/fast/1836668,Q11424,,,
"Muḥammad, Prophet, -632",0,a;c;d,,,,,"Muḥammad, Prophet, -632",http://id.worldcat.org/fast/1836298,Q3639
Qurʼan. Sūrat al-ʻĀdiyāt--Commentaries,0,a;p--v,,Qurʼan;Commentaries,http://id.worldcat.org/fast/1842877;http://id.worldcat.org/fast/1423723,Q11441;Q2812,,,
