language_as_recorded,language_code,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
In Ottoman Turkish,,,,,Ottoman Turkish,Q36730,Q3104
In Ottoman Turkish and Arabic,,Ottoman Turkish;Arabic,Q36730;Q13955,Q3104;Q118,,,
In Ottoman Turkish and Persian,,Ottoman Turkish;Persian,Q36730;Q9168,Q3104;Q120,,,
Ottoman Turkish,,,,,Ottoman Turkish,Q36730,Q3104
In Ottoman Turkish (titlepage and preliminary sections of texts in Arabic),,Ottoman Turkish;Arabic,Q36730;Q13955,Q3104;Q118,,,
ota,,,,,Ottoman Turkish,Q36730,Q3104
Turkish with a few sections in Arabic,,Turkish;Arabic,Q256;Q13955,Q4337;Q118,,,
Turkish,,Turkish,Q256,Q4337,,,
"In Ottoman Turkish, with some short sections in Arabic",,Ottoman Turkish;Arabic,Q36730;Q13955,Q3104;Q118,,,
"In Ottoman Turkish, except for texts 4 and 7, which are in Persian",,Ottoman Turkish;Persian,Q36730;Q9168,Q3104;Q120,,,
Ottoman Turkish and Arabic,,,,,Ottoman Turkish;Arabic,Q36730;Q13955,Q3104;Q118
Turkish in Arabic script,,,,,Turkish;Arabic,Q256;Q13955,Q4337;Q118
ara,,,,,Arabic,Q13955,Q118
"Turkish in Arabic script, Persian and Arabic",,,,,Turkish;Arabic;Persian,Q256;Q13955;Q9168,Q4337;Q118;Q120
Turkish and Persian,,Turkish;Persian,Q256;Q9168,Q4337;Q120,,,
Turkish in Arabic script and Arabic,,Turkish;Arabic,Q256;Q13955,Q4337;Q118,,,
"Intro. and entries in Arabic, definitions in Ottoman Turkish",,Arabic;Ottoman Turkish,Q13955;Q36730,Q118;Q3104,,,
"In Ottoman Turkish, with few sections in Persian",,Ottoman Turkish;Persian,Q36730;Q9168,Q3104;Q120,,,
Ottoman Turkish and Persian,,,,,Ottoman Turkish;Persian,Q36730;Q9168,Q3104;Q120
In Ottoman Turkish (title and beginning of text in Arabic),,Ottoman Turkish;Arabic,Q36730;Q13955,Q3104;Q118,,,
"Chiefly in Ottoman Turkish, with some shorter sections in Arabic",,Ottoman Turkish;Arabic,Q36730;Q13955,Q3104;Q118,,,
"Chiefly in Ottoman Turkish, with two works in Arabic",,Ottoman Turkish;Arabic,Q36730;Q13955,Q3104;Q118,,,
"In Ottoman Turkish, Arabic, and Persian",,Ottoman Turkish;Arabic;Persian,Q36730;Q13955;Q9168,Q3104;Q118;Q120,,,
"Ottoman Turkish, Arabic, and Persian",,Ottoman Turkish;Arabic;Persian,Q36730;Q13955;Q9168,Q3104;Q118;Q120,,,
Turkish in Arabic script and Persian,,Turkish;Arabic;Persian,Q256;Q13955;Q9168,Q4337;Q118;Q120,,,
tur,,Turkish,Q256,Q4337,,,
Arabic,,,,,Arabic,Q13955,Q118
"In Ottoman Turkish, with one text in Arabic (text 8)",,Ottoman Turkish;Arabic,Q36730;Q13955,Q3104;Q118,,,
"Chiefly in Ottoman Turkish, with text 1 in Persian",,Ottoman Turkish;Persian,Q36730;Q9168,Q3104;Q120,,,
Ottoman Turkish and Hebrew,,Ottoman Turkish;Hebrew,Q36730;Q9288,Q3104;Q117,,,
Arabic and Ottoman Turkish,,,,,Arabic;Ottoman Turkish,Q13955;Q36730,Q118;Q3104
"In Ottoman Turkish, with some Arabic",,Ottoman Turkish;Arabic,Q36730;Q13955,Q3104;Q118,,,
"In Ottoman Turkish, with sections in Arabic",,Ottoman Turkish;Arabic,Q36730;Q13955,Q3104;Q118,,,
Turkish and Arabic,,Turkish;Arabic,Q256;Q13955,Q4337;Q118,,,
In Ottoman Turkish (introduction in Arabic),,Ottoman Turkish;Arabic,Q36730;Q13955,Q3104;Q118,,,
In Ottoman Turkish (with occasional small sections in Persian and Arabic),,Ottoman Turkish;Persian;Arabic,Q36730;Q9168;Q13955,Q3104;Q120;Q118,,,
In Ottoman Turkish (with marginal annotations in Arabic),,Ottoman Turkish;Arabic,Q36730;Q13955,Q3104;Q118,,,
"All texts are in Ottoman Turkish (including those whose titles are given in Arabic), with the exception of small sections in Arabic in cases of excerpts from Futūḥāt al-Makkīyah",,Ottoman Turkish;Arabic,Q36730;Q13955,Q3104;Q118,,,
"Chiefly in Ottoman Turkish, with some smaller sections in Arabic",,Ottoman Turkish;Arabic,Q36730;Q13955,Q3104;Q118,,,
Persian,,,,,Persian,Q9168,Q120
"In Ottoman Turkish, with a small section in Persian",,Ottoman Turkish;Persian,Q36730;Q9168,Q3104;Q120,,,
In Ottoman Turkish (with original text in Arabic),,Ottoman Turkish;Arabic,Q36730;Q13955,Q3104;Q118,,,
Turkish dialect of the Mamluk-Kipchak branch in Arabic script,,Turkish;Mamluk-Kipchak;Arabic,Q256;Q4279942;Q13955,Q4337;Q52676;Q118,,,
In Ottoman Turkish with original poem and hadiths in Arabic,,Ottoman Turkish;Arabic,Q36730;Q13955,Q3104;Q118,,,
