row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
1,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.933642Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.478378Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.688443Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.240463Z","Şemʻî, Prizrenli, -1529 or 1530",author,"شمعي شمع الله, پرزرينلي",,human,Prizrenli Şemʻî,Q130374919,DSNAME6711,Q54692,,,,
2,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.954740Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.495450Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.692726Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.265720Z","Şemʻî, Prizrenli, -1529 or 1530",author,"شمعي شمع الله, پرزرينلي",,human,Prizrenli Şemʻî,Q130374919,DSNAME6711,Q54692,,,,
3,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.979857Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.519838Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.693223Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.269884Z","Bosnavî Sudi, -1596 or 1597",author,بسنوي، سودي,,human,Ahmed Sudi,Q277154,DSNAME6712,Q54693,,,,
4,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.981705Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.519867Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.693263Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.269894Z","Ibn al-ʻArabī, 1165-1240",author,ابن العربي,http://id.loc.gov/authorities/names/n50082069,,,,,,human,Ibn Arabi,Q46420,Q40926
5,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.982341Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.519873Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.693275Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.269899Z","Fuzulî, 1495?-1556",author,فضولي,,human,Fuzuli,Q178379,DSNAME6713,Q54694,,,,
6,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.982357Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.519876Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.693288Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.269909Z","Veysî, 1561-1628",author,ويسي,,human,Veysî,Q6101477,DSNAME6714,Q54695,,,,
7,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.982367Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.519887Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.693298Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.269913Z","Nabi, 1641 or 1642-1712",author,نابي,,,,,,,human,Yusuf Nabi,Q2351863,Q41310
8,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.982403Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.519891Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.693307Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.269917Z","Hasan Çelebi, Kınalı-zade, 1546-1604",author,"حسن چلبي, قينالي زاده",,human,Kınalızâde Hasan Çelebi,Q23583764,DSNAME6715,Q54696,,,,
9,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.982416Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.519894Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.693323Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.269929Z","Ali Çelebi, Kınalızade, 1510-1571",author,"علي چلبي, قينالي زاده",,human,Ali Çelebi,Q6019580,DSNAME6716,Q54697,,,,
10,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-09-25T02:50:35.982426Z | NAME RECON STEP 3: START HUMAN RECON 2024-09-25T02:51:33.519899Z | NAME RECON STEP 6: START ORG RECON 2024-09-27T18:29:36.693333Z | NAME RECON STEP 9: FINALIZED 2024-09-27T18:29:54.269933Z","Ali Çelebi, Kınalızade, 1510-1571",author,"علي چلبي, قينالي زاده، 1510-1571",,human,Ali Çelebi,Q6019580,DSNAME6716,Q54697,,,,
