subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
"Sufi literature, Persian--Early works to 1800",0,a--v,,"Sufi literature, Persian;Early works",http://id.worldcat.org/fast/1740095;http://id.worldcat.org/fast/1411636,Q18335;Q300,,,
Sufi wit and humor--Early works to 1800,0,a--v,,Sufi wit and humor;Early works,http://id.worldcat.org/fast/1137252;http://id.worldcat.org/fast/1411636,Q54930;Q300,,,
Persian literature--747-1500,0,a--y,http://id.loc.gov/authorities/subjects/sh85100076,,,,Persian literature,http://id.worldcat.org/fast/1058528,"Q3612"
"Manuscripts, Turkish--New Jersey--Princeton",0,a--z--z,,,,,"Manuscripts, Turkish;New Jersey--Princeton",http://id.worldcat.org/fast/1008521;http://id.worldcat.org/fast/1204939,"Q3068;Q11460"
"Sufi poetry, Persian--Early works to 1800",0,a--v,,,,,"Sufi poetry, Persian;Early works",http://id.worldcat.org/fast/1137242;http://id.worldcat.org/fast/1411636,"Q48793;Q300"
Persian poetry--747-1500--Early works to 1800,0,a--y--v,,Persian poetry;Early works,http://id.worldcat.org/fast/1058542;http://id.worldcat.org/fast/1411636,Q3582;Q300,,,
"Didactic poetry, Persian--Early works to 1800",0,a--v,,Early works,http://id.worldcat.org/fast/1411636,Q300,,,
Poésie soufie persane--Ouvrages avant 1800,6,a--v,,"Sufi poetry, Persian;Early works",http://id.worldcat.org/fast/1137242;http://id.worldcat.org/fast/1411636,Q48793;Q300,,,
Manuscrits turcs--New Jersey--Princeton,6,a--z--z,,,,,"Manuscripts, Turkish;New Jersey--Princeton",http://id.worldcat.org/fast/1008521;http://id.worldcat.org/fast/1204939,"Q3068;Q11460"
"Manuscripts, Turkish",fast,a,,,,,"Manuscripts, Turkish",http://id.worldcat.org/fast/1008521,"Q3068"
"Sufi poetry, Persian",fast,a,,,,,"Sufi poetry, Persian",http://id.worldcat.org/fast/1137242,"Q48793"
New Jersey--Princeton,fast,a--z,,,,,New Jersey--Princeton,http://id.worldcat.org/fast/1204939,"Q11460"
Sufism--Doctrines--Early works to 1800,0,a--x--v,http://id.loc.gov/authorities/subjects/sh2010115027,,,,Sufism--Doctrines;Early works,http://id.worldcat.org/fast/1137260;http://id.worldcat.org/fast/1411636,"Q11235;Q300"
Sufism--Customs and practices--Early works to 1800,0,a--x--v,,,,,Sufism--Customs and practices;Early works,http://id.worldcat.org/fast/1137259;http://id.worldcat.org/fast/1411636,"Q48767;Q300"
Islam--Customs and practices--Early works to 1800,0,a--x--v,http://id.loc.gov/authorities/subjects/sh2008104961,,,,Islam--Customs and practices;Early works,http://id.worldcat.org/fast/979785;http://id.worldcat.org/fast/1411636,"Q11380;Q300"
Turkish poetry--Early works to 1800,0,a--v,,,,,Turkish poetry;Early works,http://id.worldcat.org/fast/1159504;http://id.worldcat.org/fast/1411636,"Q18296;Q300"
Hadith--Commentaries--Early works to 1800,0,a--v--v,http://id.loc.gov/authorities/subjects/sh2008121357,,,,Hadith;Commentaries;Early works,http://id.worldcat.org/fast/950112;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411636,"Q3581;Q2812;Q300"
"Poets, Turkish--Biography--Early works to 1800",0,a--v--v,,"Poets, Turkish;Biographies;Early works",http://id.worldcat.org/fast/1068062;http://id.worldcat.org/fast/1919896;http://id.worldcat.org/fast/1411636,Q27195;Q3051;Q300,,,
Poets--Islamic Empire--Biography--Early works to 1800,0,a--z--v--v,,,,,Poets;Islamic Empire;Biographies;Early works,http://id.worldcat.org/fast/1067778;http://id.worldcat.org/fast/1244134;http://id.worldcat.org/fast/1919896;http://id.worldcat.org/fast/1411636,"Q48817;Q11211;Q3051;Q300"
Islamic philosophy--Early works to 1800,0,a--v,http://id.loc.gov/authorities/subjects/sh2008109242,,,,Islamic philosophy;Early works,http://id.worldcat.org/fast/1730358;http://id.worldcat.org/fast/1411636,"Q3016;Q300"
Islamic ethics--Early works to 1800,0,a--v,http://id.loc.gov/authorities/subjects/sh2008104964,,,,Islamic ethics;Early works,http://id.worldcat.org/fast/979936;http://id.worldcat.org/fast/1411636,"Q11320;Q300"
Muslims--Conduct of life--Early works to 1800,0,a--x--v,http://id.loc.gov/authorities/subjects/sh2010102967,,,,Muslims--Conduct of life;Early works,http://id.worldcat.org/fast/1031037;http://id.worldcat.org/fast/1411636,"Q11347;Q300"
Islamic philosophy--Early works to 1800,0,a--v,,,,,Islamic philosophy;Early works,http://id.worldcat.org/fast/1730358;http://id.worldcat.org/fast/1411636,"Q3016;Q300"
