File,name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
20240903-names-indiana-mets-legacy.csv,"Gregory I, the Great.",author,,,,,,,,human,Gregory I,Q42827,Q889
20240903-names-indiana-mets-legacy.csv,"The ducal library of Arenberg, Brussels, probably acquired by Duc Engelbert-Auguste d'Arenberg (1824-1875); one of two leaves sold by the tenth duke, Engelbert-Charles d'Arenberg (1899-1974), Hauswedell, Hamburg, Auktion 52-53, April 1953, lot 7a; bought in February 1954 by George A. Poole from W.H. Schab, New York dealer, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,,,,human;human;human,"Engelbert, 8th Duke of Arenberg;Engelbert Charles, 10th Duke of Arenberg;George Amos Poole",Q72247;Q75384302;Q64683625,Q1522;Q1523;Q1524
20240903-names-indiana-mets-legacy.csv,Bede,author,,,,,,,,human,Bede,Q154938,Q1525
20240903-names-indiana-mets-legacy.csv,"Sir Thomas Phillips (1792-1872), part of his MS 22254; bought by Tregaskis at the Phillips sale, Sotheby's, 25 April 1911, lot 391; Tregaskis cat. 706 (1911), no. 17, and cat. 720 (1912), no 36; bought by C. L. Ricketts, and acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,,,,human;human,Thomas Phillipps;Coella Lindsay Ricketts,Q2147709;Q116771179,Q385;Q1527
20240903-names-indiana-mets-legacy.csv,Eugippius,author,,,,,,,,human,Eugippius,Q738491,Q1528
20240903-names-indiana-mets-legacy.csv,"C. L. Ricketts (bought in 1925 from Joseph Baer & Co., Frankfurt), and acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,,,,human;organization,Coella Lindsay Ricketts;Joseph Baer & Co.,Q116771179;Q83552608,Q1527;Q1529
20240903-names-indiana-mets-legacy.csv,Sulpicius Severus,author,,,,,,,,human,Sulpicius Severus,Q336704,Q1530
20240903-names-indiana-mets-legacy.csv,Gregory of Tours,author,,,,,,,,human,Gregory of Tours,Q67841,Q1531
20240903-names-indiana-mets-legacy.csv,Martin of Tours,author,,,,,,,,human,Martin of Tours,Q133704,Q1532
20240903-names-indiana-mets-legacy.csv,"St Emmeram, Regensburg, a Benedictine monastery founded in 739 and suppressed in 1802; Sir Thomas Phillips (1792-1872), his MS 6924, bought from the London bookseller Thomas Thorpe, c.1832; Messrs. W.H. Robinson, who bought the residue of the Phillips library in 1945-46; sold by them to George A. Poole in 1947, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,,,,organization;human;human,St. Emmeram's Abbey;Thomas Phillipps;George Amos Poole,Q260633;Q2147709;Q64683625,Q1533;Q385;Q1524
