File,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
20240901-titles-providence-mets-legacy.csv,Tabula aurea,,,,,,Tabula aurea,"Q796"
20240901-titles-providence-mets-legacy.csv,Claves sacre scripture,,,,,,Claves sacre scripture,"Q794"
20240901-titles-providence-mets-legacy.csv,Bible study guide,,,,,,Bible,"Q661"
20240901-titles-providence-mets-legacy.csv,Bible in mnemonic form,,,,,,Bible,"Q661"
20240901-titles-providence-mets-legacy.csv,Biblical genealogies,,,,,,Bible genealogies,"Q800"
20240901-titles-providence-mets-legacy.csv,List of Roman Emperors,,,,List,Q3116,,
20240901-titles-providence-mets-legacy.csv,Conclusiones,,,,Conclusions,Q39264,,
20240901-titles-providence-mets-legacy.csv,Incipiunt ethimologie et concordantie conclusionum per reverendissimum dominum magistrum petrum de pergamo,,,,,,"Etymologiae, seu Concordantiae conclusionum Thomae Aquinatis","Q797"
20240901-titles-providence-mets-legacy.csv,List of Holy Roman Emperors,,,,List,Q3116,,
20240901-titles-providence-mets-legacy.csv,"Conclusiones""",,,,Conclusions,Q39264,,
20240901-titles-providence-mets-legacy.csv,Orationes itinerantium,,,,,,Orationes,"Q799"
20240901-titles-providence-mets-legacy.csv,Prayers,,,,,,Prayers,"Q798"
20240901-titles-providence-mets-legacy.csv,Book of Hours,,,,,,Book of hours,"Q795"
20240901-titles-providence-mets-legacy.csv,"Bible, O. T.",,,,,,Bible;Old Testament,"Q661;Q664"
20240901-titles-providence-mets-legacy.csv,Lectionary,,,,,,Lectionary,"Q663"
20240902-titles-conception-mets-legacy.csv,"Bible, O.T.",,,,,,Bible;Old Testament,"Q661;Q664"
20240902-titles-conception-mets-legacy.csv,Sacramentary,,,,,,Sacramentary,"Q653"
20240902-titles-conception-mets-legacy.csv,"Decretals of Gregory IX, commentary on",,,,Commentary on Decretals of Gregory IX,Q42436,,
20240902-titles-conception-mets-legacy.csv,Meteorologica,,,,,,Meteorologica,"Q656"
20240902-titles-conception-mets-legacy.csv,Missal,,,,,,Missal,"Q662"
20240902-titles-conception-mets-legacy.csv,Breviary,,,,,,Breviary,"Q657"
20240902-titles-conception-mets-legacy.csv,Collectarium,,,,,,Collectarium,"Q658"
20240902-titles-conception-mets-legacy.csv,Psalter,,,,,,Psalter,"Q660"
20240902-titles-conception-mets-legacy.csv,Hymnary,,,,,,Hymnal,"Q666"
20240902-titles-conception-mets-legacy.csv,De vita contemplativa,,,,,,De vita contemplativa,"Q659"
20240902-titles-conception-mets-legacy.csv,Lectionary,,,,,,Lectionary,"Q663"
20240902-titles-conception-mets-legacy.csv,Monastic life,,,,Monastic text,Q18459,,
20240902-titles-conception-mets-legacy.csv,Document,,,,,,Document,"Q8301"
20240902-titles-conception-mets-legacy.csv,Choir psalter,,,,,,Psalter,"Q660"
20240902-titles-conception-mets-legacy.csv,Antiphonal,,,,,,Antiphonary,"Q654"
20240902-titles-conception-mets-legacy.csv,"Bible, N.T., John",,,,,,Bible;New Testament;Gospel of John,"Q661;Q655;Q665"
20240902-titles-grolier-mets-legacy.csv,Bible,,,,,,Bible,"Q661"
20240902-titles-grolier-mets-legacy.csv,Missal,,,,,,Missal,"Q662"
20240902-titles-grolier-mets-legacy.csv,Breviary,,,,,,Breviary,"Q657"
20240902-titles-grolier-mets-legacy.csv,Antiphonal,,,,,,Antiphonary,"Q654"
20240902-titles-grolier-mets-legacy.csv,"Book of hours, use of Paris",,,,,,Book of hours,"Q795"
20240902-titles-grolier-mets-legacy.csv,Book of hours,,,,,,Book of hours,"Q795"
20240902-titles-grolier-mets-legacy.csv,"Book of hours, use of Rouen",,,,,,Book of hours,"Q795"
20240902-titles-grolier-mets-legacy.csv,"Book of hours, use of Rome",,,,,,Book of hours,"Q795"
20240902-titles-grolier-mets-legacy.csv,Moralia in Job,,,,,,Moralia in Job,"Q863"
20240902-titles-grolier-mets-legacy.csv,Summary of the Moralia in Job,,,,,,Moralia in Job,"Q863"
20240902-titles-grolier-mets-legacy.csv,De duobus amantibus,,,,,,De duobus amantibus,"Q866"
20240902-titles-grolier-mets-legacy.csv,De miseriis curialium,,,,,,De miseriis curialium,"Q865"
20240902-titles-grolier-mets-legacy.csv,Invectiva ad indivum et detractorem,,,,,,Invectiva ad invidum et detractorem,"Q861"
20240902-titles-grolier-mets-legacy.csv,Sequitur invective Alani ad invidum et detractorem,,,,,,Invectiva ad invidum et detractorem,"Q861"
20240902-titles-grolier-mets-legacy.csv,Epistula ad Raymundum,,,,,,Epistula ad Raymundum,"Q862"
20240902-titles-grolier-mets-legacy.csv,Histoire de la mort de Henri IV,,,,Histoire de la mort de Henri IV,Q18501,,
20240902-titles-grolier-mets-legacy.csv,Excerpts regarding Josephus and Eusebius of Caesarea,,,,Josephus;Eusebius of Caesarea,Q18581;Q18553,,
20240902-titles-grolier-mets-legacy.csv,Contra Appionem,,,,,,Against Apion,"Q867"
20240902-titles-grolier-mets-legacy.csv,Historia ecclesiastica,,,,,,Historia ecclesiastica,"Q864"
20240902-titles-grolier-mets-legacy.csv,Chy commenchent les eures de la crois,,,,,,Book of hours,"Q795"
20240902-titles-grolier-mets-legacy.csv,Book of Hours,,,,,,Book of hours,"Q795"
20240902-titles-gts-mets-legacy.csv,"Book of Hours, use of Rome",,,,,,Book of hours,"Q795"
20240902-titles-gts-mets-legacy.csv,"Book of Hours, Sarum use",,,,,,Book of hours,"Q795"
20240902-titles-gts-mets-legacy.csv,Clemens PP. XII.,,,,Pope Clement XII,Q18429,,
20240902-titles-gts-mets-legacy.csv,Concession of nobility,,,,Concessions,Q39263,,
20240902-titles-gts-mets-legacy.csv,Gradual and Antiphonary,,,,,,Gradual;Antiphonary,"Q1121;Q654"
