place_as_recorded,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
"Palencia?, Spain",Palencia;Spain,http://vocab.getty.edu/tgn/7008231;http://vocab.getty.edu/tgn/1000095,Q7792;Q129,,,
Greece?,,,,Greece,http://vocab.getty.edu/tgn/1000074,Q16421
"Cairo, Egypt",Cairo;Egypt,http://vocab.getty.edu/tgn/7001215;http://vocab.getty.edu/tgn/7016833,Q3093;Q3086,,,
Northern Italy,,,,Northern Italy,http://vocab.getty.edu/tgn/4005363,Q7507
Italy,,,,Italy,http://vocab.getty.edu/tgn/1000080,Q134
"Valladolid, Spain",,,,Valladolid;Spain,http://vocab.getty.edu/tgn/7008771;http://vocab.getty.edu/tgn/1000095,Q6979;Q129
Northern France or Flanders,,,,Northern France;Flanders,http://vocab.getty.edu/tgn/4004036;http://vocab.getty.edu/tgn/7024097,Q1114;Q126
Florence,,,,Florence,http://vocab.getty.edu/tgn/7000457,Q3084
Germany,,,,Germany,http://vocab.getty.edu/tgn/7000084,Q131
"Granada, Spain",,,,Granada;Spain,http://vocab.getty.edu/tgn/7007703;http://vocab.getty.edu/tgn/1000095,Q3081;Q129
France,,,,France,http://vocab.getty.edu/tgn/1000070,Q122
Spain,,,,Spain,http://vocab.getty.edu/tgn/1000095,Q129
Paris or French Flanders,Paris;Westhoek,http://vocab.getty.edu/tgn/7008038;http://vocab.getty.edu/tgn/8060287,Q136;Q54678,,,
N. France (Arras?),Northern France;Arras,http://vocab.getty.edu/tgn/4004036;http://vocab.getty.edu/tgn/7008468,Q1114;Q7504,,,
N. France (Reims?),Northern France;Rheims,http://vocab.getty.edu/tgn/4004036;http://vocab.getty.edu/tgn/7011060,Q1114;Q8376,,,
Rouen,,,,Rouen,http://vocab.getty.edu/tgn/7008929,Q1244
