subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
"Manuscripts, Medieval",0,a,,,,,"Manuscripts, Medieval",http://id.worldcat.org/fast/1008422,Q325
"Manuscripts, Medieval--Kansas--Lawrence",0,a--z--z,,,,,"Manuscripts, Medieval;Kansas--Lawrence",http://id.worldcat.org/fast/1008422;http://id.worldcat.org/fast/1212060,Q325;Q5851
Manuscript fragments--Kansas--Lawrence,0,a--z--z,,,,,Manuscript fragments;Kansas--Lawrence,http://id.worldcat.org/fast/1938802;http://id.worldcat.org/fast/1212060,Q5809;Q5851
"Manuscripts, Latin",0,a,,,,,"Manuscripts, Latin",http://id.worldcat.org/fast/1008395,Q210
Books of hours--France--Early works to 1800,0,a--z--v,,,,,Books of hours;France;Early works,http://id.worldcat.org/fast/836484;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1411636,Q5889;Q152;Q300
"Manuscripts, French",0,a,,,,,"Manuscripts, French",http://id.worldcat.org/fast/1008338,Q319
"Manuscripts, Medieval.--Kansas--Lawrence",0,a--z--z,,,,,"Manuscripts, Medieval;Kansas--Lawrence",http://id.worldcat.org/fast/1008422;http://id.worldcat.org/fast/1212060,Q325;Q5851
"Manuscripts, Greek",0,a,,,,,"Manuscripts, Greek",http://id.worldcat.org/fast/1008349,Q3512
"Manuscripts, Italian",0,a,,,,,"Manuscripts, Italian",http://id.worldcat.org/fast/1008378,Q269
"Manuscripts, Dutch",0,a,,,,,"Manuscripts, Dutch",http://id.worldcat.org/fast/1008323,Q5931
Books of hours--Netherlands--Early works to 1800,0,a--z--v,,,,,Books of hours;Netherlands;Early works,http://id.worldcat.org/fast/836484;http://id.worldcat.org/fast/1204034;http://id.worldcat.org/fast/1411636,Q5889;Q5863;Q300
Benedictine monasteries--France--Early works to 1800,0,a--z--v,,,,,Benedictine monasteries;France;Early works,http://id.worldcat.org/fast/830310;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1411636,Q5854;Q152;Q300
Monasticism and religious orders--Rules--Early works to 1800,0,a--v--v,,,,,Monasticism and religious orders;Rules;Early works,http://id.worldcat.org/fast/1025128;http://id.worldcat.org/fast/1423857;http://id.worldcat.org/fast/1411636,Q4208;Q4910;Q300
Monastic and religious life--Early works to 1800,0,a--v,,,,,Monastic and religious life;Early works,http://id.worldcat.org/fast/1025101;http://id.worldcat.org/fast/1411636,Q2981;Q300
Spiritual life--Christianity--Early works to 1800,0,a--x--v,,,,,Spiritual life--Christianity;Early works,http://id.worldcat.org/fast/1130113;http://id.worldcat.org/fast/1411636,Q5882;Q300
Asceticism--Early works to 1800,0,a--v,,,,,Asceticism;Early works,http://id.worldcat.org/fast/818425;http://id.worldcat.org/fast/1411636,Q4243;Q300
Divine office,0,a,,,,,Divine office,http://id.worldcat.org/fast/895757,Q5881
"Latin language, Medieval and modern--Study and teaching--Early works to 1800",0,a--x--v,,,,,"Latin language, Medieval and modern--Study and teaching;Early works",http://id.worldcat.org/fast/1425786;http://id.worldcat.org/fast/1411636,Q5865;Q300
"Latin language, Medieval and modern--Grammar--Early works to 1800",0,a--x--v,,,,,"Latin language, Medieval and modern--Grammar;Early works",http://id.worldcat.org/fast/993287;http://id.worldcat.org/fast/1411636,Q5890;Q300
Italian language--Composition and exercises--Early works to 1800,0,a--x--v,,,,,Italian language--Composition and exercises;Early works,http://id.worldcat.org/fast/1425689;http://id.worldcat.org/fast/1411636,Q5837;Q300
Italian language--Grammar--Early works to 1800,0,a--x--v,,,,,Italian language--Grammar;Early works,http://id.worldcat.org/fast/980548;http://id.worldcat.org/fast/1411636,Q5906;Q300
Arithmetic--Study and teaching--Early works to 1800,0,a--x--v,,,,,Arithmetic--Study and teaching;Early works,http://id.worldcat.org/fast/814501;http://id.worldcat.org/fast/1411636,Q5908;Q300
Christian hagiography--Early works to 1800,0,a--v,,,,,Christian hagiography;Early works,http://id.worldcat.org/fast/859164;http://id.worldcat.org/fast/1411636,Q5913;Q300
Saints--Legends--Early works to 1800,0,a--v--v,,,,,Saints;Legends;Early works,http://id.worldcat.org/fast/1103658;http://id.worldcat.org/fast/1423803;http://id.worldcat.org/fast/1411636,Q5891;Q5895;Q300
Christian martyrs--Biography--Early works to 1800,0,a--v--v,,,,,Christian martyrs;Biographies;Early works,http://id.worldcat.org/fast/859342;http://id.worldcat.org/fast/1919896;http://id.worldcat.org/fast/1411636,Q5880;Q3051;Q300
Christian martyrs--Legends--Early works to 1800,0,a--v--v,,,,,Christian martyrs;Legends;Early works,http://id.worldcat.org/fast/859342;http://id.worldcat.org/fast/1423803;http://id.worldcat.org/fast/1411636,Q5880;Q5895;Q300
Theology--Early works to 1800,0,a--v,,,,,Theology;Early works,http://id.worldcat.org/fast/1149559;http://id.worldcat.org/fast/1411636,Q4290;Q300
"Theology, Doctrinal--Early works to 1800",0,a--v,,,,,"Theology, Doctrinal;Early works",http://id.worldcat.org/fast/1149617;http://id.worldcat.org/fast/1411636,Q3578;Q300
Voyages and travels--Early works to 1800,0,a--v,,,,,Voyages and travels;Early works,http://id.worldcat.org/fast/1169308;http://id.worldcat.org/fast/1411636,Q3600;Q300
Italy--Description and travel--Early works to 1800,0,a--x--v,,,,,Italy;Voyages and travels;Early works,http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1169308;http://id.worldcat.org/fast/1411636,Q249;Q3600;Q300
France--Description and travel--Early works to 1800,0,a--x--v,,,,,France;Voyages and travels;Early works,http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1169308;http://id.worldcat.org/fast/1411636,Q152;Q3600;Q300
Materia medica--Early works to 1800,0,a--v,,,,,Materia medica;Early works,http://id.worldcat.org/fast/1011707;http://id.worldcat.org/fast/1411636,Q140;Q300
Papacy--History--Early works to 1800,0,a--x--v,,,,,Papacy;History;Early works,http://id.worldcat.org/fast/1052284;https://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1411636,Q3620;Q38929;Q300
Emperors--Rome--Early works to 1800,0,a--z--v,,,,,Emperors;Rome (Empire);Early works,http://id.worldcat.org/fast/908898;http://id.worldcat.org/fast/1204885;http://id.worldcat.org/fast/1411636,Q5835;Q3038;Q300
World history--Early works to 1800,0,a--v,,,,,World history;Early works,http://id.worldcat.org/fast/1181345;http://id.worldcat.org/fast/1411636,Q189;Q300
"History, Ancient--Early works to 1800",0,a--v,,,,,"History, Ancient;Early works",http://id.worldcat.org/fast/958352;http://id.worldcat.org/fast/1411636,Q5904;Q300
Christianity--Early works to 1800,0,a--v,,,,,Christianity;Early works,http://id.worldcat.org/fast/859599;http://id.worldcat.org/fast/1411636,Q5915;Q300
"Manuscripts, German",0,a,,,,,"Manuscripts, German",http://id.worldcat.org/fast/1008346,Q142
Logic--Early works to 1800,0,a--v,,,,,Logic;Early works,http://id.worldcat.org/fast/1002014;http://id.worldcat.org/fast/1411636,Q308;Q300
Categories (Philosophy)--Early works to 1800,0,a--v,,,,,Categories (Philosophy);Early works,http://id.worldcat.org/fast/849003;http://id.worldcat.org/fast/1411636,Q5841;Q300
Language and languages--Philosophy--Early works to 1800,0,a--x--v,,,,,Language and languages--Philosophy;Early works,http://id.worldcat.org/fast/992193;http://id.worldcat.org/fast/1411636,Q5943;Q300
Cartularies,0,a,,,,,Cartularies,http://id.worldcat.org/fast/848097,Q4298
