title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Service book,,Benedictional (Manuscript Kenneth Spencer Research Library. MS 9/2:1),,,,Service book;Benedictional,Q40008;Q39910
Leaf from a book of hours,,Book of hours ((Manuscript Kenneth Spencer Research Library. MS 9/2:10),,,,Book of hours,Q795
"Gospel of John, incomplete",,Bible,,,,Bible;Gospel of John,Q661;Q665
Vocabularius rerum,,,,,,Vocabularius rerum,Q6058
Liber glossarum,,,,,,Liber glossarum,Q6020
Service-book,,Gradual (Manuscript Kenneth Spencer Research Library. MS 9/2:18),,,,Service book;Gradual,Q40008;Q1121
Service-book,,Missal (Manuscript Kenneth Spencer Research Library. MS 9/2:19),,,,Service book;Missal,Q40008;Q662
"Secrets and collects for the Proper of Saints, 9-4 Kalends of September",,Missal ((Manuscript Kenneth Spencer Research Library. MS 9/2:2),,,,Missal,Q662
Service-book,,Antiphonary (Manuscript Kenneth Spencer Research Library. MS 9/2:20),,,,Service book;Antiphonary,Q40008;Q654
Vita Sancti Eudecii,,,,,,Vita Sancti Eudecii,Q5985
"Compendium historiae in genealogia Christi, incomplete /",,,,,,Compendium historiae in genealogia Christi,Q5984
Leaf from a book of hours,,Book of hours (Manuscript Kenneth Spencer Research Library. MS 9/2:3),,,,Book of hours,Q795
Leaf containing the service of the first Tuesday in Lent. Missal,,Missal (Manuscript Kenneth Spencer Research Library. MS 9/2:30),,,,Missal,Q662
Book of hours,,Book of hours (Manuscript. Kenneth Spencer Research Library. MS 18E:1),,,,Book of hours,Q795
Transfer of goods,,,,,,Legal text,Q8041
Homeliae in Evangelia,,,,,,Homilies;Gospels,Q1246;Q6034
Glossary,,,,,,Glossary,Q1388
Glossary encyclopedia,,,,,,Glossary,Q1388
Quaestiones quodlibetales,,,,,,Quaestiones quodlibetales,Q5957
"Bible, N.T., Gospel of Matthew, glossed",,,,,,Bible;New Testament;Gospel of Matthew,Q661;Q655;Q1389
Theological material,,,,,,Theological text,Q5950
Book of hours,,Book of hours (Manuscript Kenneth Spencer Research Library. MS 9/1:A15),,,,Book of hours,Q795
Pontifical,,,,,,Pontifical,Q1375
Sermon material,,,,,,Sermons,Q1400
Philosophical text,,,,,,Philosophical text,Q5996
Lectionary of Epistle and Gospel readings,,,,,,Lectionary,Q663
Sermons (Manuscript Kenneth Spencer Research Library. MS 9/1:A21),,,,,,Sermons,Q1400
Historia Regum Britanniae,,,,,,History of the Kings of Britain,Q6056
Missal,,Missal (Manuscript Kenneth Spencer Research Library. MS 9/1:A24),,,,Missal,Q662
Sacramentary,,,,,,Sacramentary,Q653
Hexaemeron,,,,,,Hexameron,Q5995
Canon law summa,,,,,,Canon law text,Q1415
Breviary,,,,,,Breviary,Q657
Fragment of a homily written in the late 13th century,,,,,,Fragment,Q20461
Bible,,Bible,,,,Bible,Q661
Sermons,,,,,,Sermons,Q1400
Tabula Ethicorum Aristotelis,,,,,,Ethics,Q5031
Commentary on the Pauline Epistles,,,,,,Bible commentary;Commentary on Pauline Epistles,Q1433;Q5954
Scholastic work (Fragment Kenneth Spencer Research Libary. MS 9/1:B2),,,,,,Scholastic literature,Q5991
Missal,,Missal (Manuscript Kenneth Spencer Research Library. MS 9/1:B3),,,,Missal,Q662
Missal,,Missal (Manuscript Kenneth Spencer Research Library. MS 9/1:B4),,,,Missal,Q662
Missal,,Missal (Manuscript Kenneth Spencer Research Library. MS 9/1:B5),,,,Missal,Q662
Documents concernant les [...] Tronchiennes et autre [...,,,,Documents,Q5023,,
Dominica IIII [verso,,,,Missal,Q662,,
Sermons (Manuscript Kenneth Spencer Research Library. MS 9/1:B9),,,,,,Sermons,Q1400
Lectionary of the gospels,,,,,,Lectionary,Q663
Missal,,Missal (Manuscript Kenneth Spencer Research Library. MS 9/1:C3),,,,Missal,Q662
Book of hours (Manuscript Kenneth Spencer Research Library. MS 9/1:C4),,,,,,Book of hours,Q795
Pontifical (Fragment Kenneth Spencer Research Library. MS 9/2:28),,,,,,Pontifical,Q1375
Pantheon,,,,,,Pantheon,Q6017
Leaf apparently from a harmony of the Gospels,,Bible,,,,Bible;Gospels,Q661;Q6034
"Latin fragment ""gaudio""",,,,,,Gaudio,Q6051
Leaf from a book of hours containing Psalms 44 (45) and 45 (46),,Book of hours (Manuscript Kenneth Spencer Research Library. MS 9/2:4),,,,Book of hours,Q795
