subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
"Bible. Esther--Criticism, interpretation, etc",0,a;p--x,,"Bible. Esther;Criticism, interpretation, etc.",http://id.worldcat.org/fast/1892901;http://id.worldcat.org/fast/1411635,Q16347;Q177,,,
Mordecai (Biblical figure),0,a;c,,Mordecai (Biblical figure),http://id.worldcat.org/fast/321639,Q12541,,,
"De Alvarado, Juan, late 16th cent.--Biography",4,a;d--v,,Biographies,http://id.worldcat.org/fast/1919896,Q3051,,,
"Bible. Genesis--Commentaries, German",4,a;p--v,,Bible. Genesis;Commentaries;German language,http://id.worldcat.org/fast/1808046;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/941408,Q7130;Q2812;Q3023,,,
"Hassan I, Sultan of Morocco, 1831-1894",0,a;b;c;d,,"Hassan I, Sultan of Morocco, 1831-1894",http://id.worldcat.org/fast/280133,Q12561,,,
"Muḥammad IV, King of Morocco, 1859-1873",4,a;b;c;d,,,,,,,
"Anne (Mother of the Virgin Mary), Saint",0,a;c,,"Anne (Mother of the Virgin Mary), Saint",http://id.worldcat.org/fast/78132,Q6854,,,
"Henry II, King of England, 1133-1189",0,a;b;c;d,,"Henry II, King of England, 1133-1189",http://id.worldcat.org/fast/48076,Q8113,,,
"Manasseh ben Israel, 1604-1657--Correspondence",0,a;d--v,,"Manasseh ben Israel, 1604-1657;Correspondence",http://id.worldcat.org/fast/100440;http://id.worldcat.org/fast/2003288,Q19860;Q5829,,,
Ortiz Moreno family,0,a,,,,,,,
"Goodwin, Thomas, 1586 or 7-1642. Moses and Aaron.--Book iii-vi",0,a;d;t--n,,,,,,,
"Morelli, Joseph Aloysius",4,a,,,,,,,
"Cicero, Marcus Tullius. De re republica",0,a;t,,"De republica (Cicero, Marcus Tullius)",http://id.worldcat.org/fast/1358232,Q7426,,,
Jesus--Portrayals,4,a--x,,Jesus Christ,http://id.worldcat.org/fast/40116,Q338,,,
Holy Roman Empire. Emperor--Biography,0,a;b--v,,Holy Roman Empire. Emperor;Biographies,http://id.worldcat.org/fast/686131;http://id.worldcat.org/fast/1919896,Q4893;Q3051,,,
Armenian Church--Liturgy--Calendar--Early works to 1800,0,a--x--v--x,,Armenian Church;Liturgics;Calendars;Early works,http://id.worldcat.org/fast/510579;http://id.worldcat.org/fast/1000579;http://id.worldcat.org/fast/1423764;http://id.worldcat.org/fast/1411636,Q38574;Q207;Q5901;Q300,,,
"Steckelmacher, Moritz. Widerlegung des Sendschreibens des D. Hoffman",0,a;t,,,,,,,
"Hoffmann, David, 1843-1921 Zur Aufklärung über die Badische Gebetbuchreform",0,a;d;t,,,,,,,
Temple of Jerusalem (Jerusalem),0,a,,Temple of Jerusalem (Jerusalem),http://id.worldcat.org/fast/630855,Q38780,,,
"Olavide, Pablo de, 1725-1803",0,a;d,,"Olavide, Pablo de, 1725-1803",http://id.worldcat.org/fast/91005,Q16355,,,
"Spinoza, Benedictus de, 1632-1677",0,a;d,,"Spinoza, Benedictus de, 1632-1677",http://id.worldcat.org/fast/31382,Q7488,,,
"Spinoza, Benedictus de, 1632-1677--Sources",0,a;d--v,,"Spinoza, Benedictus de, 1632-1677;Sources",http://id.worldcat.org/fast/31382;http://id.worldcat.org/fast/1423900,Q7488;Q2769,,,
Bible. O.T.--Manuscripts,0,a;p--x,,Bible. Old Testament;Manuscripts,http://id.worldcat.org/fast/1808092;http://id.worldcat.org/fast/1008230,Q4202;Q38609,,,
Biblioteca ambrosiana,0,a,,Biblioteca ambrosiana,http://id.worldcat.org/fast/539209,Q7457,,,
"Torquemada, Tomás de, 1420-1498",0,a;d,,"Torquemada, Tomás de, 1420-1498",http://id.worldcat.org/fast/111055,Q8283,,,
"Friederike, Queen of Hanover, d. 1841",0,a;c;d,,"Friederike, Queen of Hanover, 1778-1841",http://id.worldcat.org/fast/1601583,Q26852,,,
Qurʼan--Texts,0,a--v,,Qurʼan;Texts,http://id.worldcat.org/fast/1842877;http://id.worldcat.org/fast/1423705,Q11441;Q3066,,,
Qurʼan--Manuscripts,0,a--v,,Qurʼan;Manuscripts,http://id.worldcat.org/fast/1842877;http://id.worldcat.org/fast/1424060,Q11441;Q331,,,
Koran--Manuscripts--Manuscripts,0,a--x--v,,Qurʼan;Manuscripts;Manuscripts,http://id.worldcat.org/fast/1842877;http://id.worldcat.org/fast/1008230;http://id.worldcat.org/fast/1424060,Q11441;Q38609;Q331,,,
Koran--Texts,0,a--v,,Qurʼan;Texts,http://id.worldcat.org/fast/1842877;http://id.worldcat.org/fast/1423705,Q11441;Q3066,,,
"Sayf, King of Yemen, approximately 516-approximately 574--Legends",0,a;c;d--v,,"Sayf, King of Yemen, approximately 516-approximately 574;Legends",http://id.worldcat.org/fast/1846133;http://id.worldcat.org/fast/1423803,Q5461;Q5895,,,
حريري، ‪1122-1054‬,0,a;d,,"Ḥarīrī, 1054-1122",http://id.worldcat.org/fast/103325,Q7420,,,
"Ḥarīrī, 1054-1122. Maqamat--Commentaries--Manuscripts",0,a;d;t--v--v,,Maqāmāt (Ḥarīrī);Commentaries;Manuscripts,http://id.worldcat.org/fast/1356801;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1424060,Q11134;Q2812;Q331,,,
"Najm al-Dīn Ayyūb, 1238 or 1239-1295",4,a,,,,,,,
"Jāmī, 1414-1492. Yūsuf va Zulaykhā",0,a;d;t,,Yūsuf va Zulaykhā (Jāmī),http://id.worldcat.org/fast/1373007,Q7408,,,
Joseph (Son of Jacob)--Fiction--Manuscripts,0,a;c--v--v,,Joseph (Son of Jacob);Fiction;Manuscripts,http://id.worldcat.org/fast/41708;http://id.worldcat.org/fast/1423787;http://id.worldcat.org/fast/1424060,Q3550;Q3039;Q331,,,
Potiphar's wife (Biblical figure)--Fiction--Manuscripts,0,a;c--v--v,,Potiphar's wife (Biblical figure);Fiction;Manuscripts,http://id.worldcat.org/fast/354483;http://id.worldcat.org/fast/1423787;http://id.worldcat.org/fast/1424060,Q3536;Q3039;Q331,,,
"Jiminez de Sotomayor, Diego",0,a,,,,,,,
"Carillo, Beatriz Saabedra y Cordoba",0,a,,,,,,,
Koran--Commentaries--Early works to 1800,0,a--v--v,,Qurʼan;Commentaries;Early works,http://id.worldcat.org/fast/1842877;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411636,Q11441;Q2812;Q300,,,
Koran--Commentaries--Manuscripts,0,a--v--v,,Qurʼan;Commentaries;Manuscripts,http://id.worldcat.org/fast/1842877;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1424060,Q11441;Q2812;Q331,,,
Catholic Church--Prayers and devotions--Latin,0,a--x--x,,Catholic Church;Prayers and devotions;Latin language,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1935484;http://id.worldcat.org/fast/993125,Q310;Q48394;Q4170,,,
