title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid,out of scope
"A letter to a friende, touching Mardochai his age; which helpeth much to holde the trueth, for that chiefe prophecie of our saluation, in Gabriels seuenties, which shew that most exactly 490. yeeres after the angels speech Christ the most holy should be killed to giue life. ...",,,,Letter,Q1454,,,
A Concent of Scripture,,,,A Concent of Scripture,Q7529,,,
Colleccao das noticias dos Autos da Fe ... nas Inquisicoes deste Reyno de Portugal ... Tomo I. Da Inquisicao de Lisboa ...,,,,Inquisition texts,Q55179,,,
Colleccao das noticias dos Autos da Fe ... nas Inquisicoes deste Reyno de Portugal ... Tomo II. Da Inquisicao de Coimbra,,,,Inquisition texts,Q55179,,,
Colleccao das noticias dos Autos da Fé ... nas Inquisicoes deste Reyno de Portugal ... Tomo III. Da Inquisicao de Evora,,,,Inquisition texts,Q55179,,,
Lista ... Coimbra,,,,Inquisition texts,Q55179,,,
Lista d[e] Auto da fee celebrado na san[t]a Iquisasão de Logroño e 29 de8bro del 1743,,,,Inquisition texts,Q55179,,,
Lista ... Lisboa,,,,Inquisition texts,Q55179,,,
Nos las ynquisidores contra la Heretica ...,,,,Inquisition texts,Q55179,,,
Relacion de las personas que salieron en el Auto ... dela Fe ... desla Ciudad de Sevilla ...,,,,Inquisition texts,Q55179,,,
Relacion de varios sucesos ... que hubo entre el Inquisidor general y el Com. de la Inquisicion desde 1698 hasta que vino Felipe V.,,,,Inquisition texts,Q55179,,,
Medical work,,,,Medical text,Q20372,,,
"Proceso de Juan Garcia que por otro nombre se llama Juan de Alvarado, natural de Mexico, por hereje y apostata",,,,Inquisition texts,Q55179,,,
Noticias varias de cosas acaecidas en esta Cui. de Granada desde su fundacion /,,,,History of Granada,Q63821,,,
"Documents dealing with the expulsion of the Jews from Cervera, 1492; copy /",,,,Inquisition texts,Q55179,,,
Lista das Pessoas que sahiram [D]o Acto da Fe publico ... Inquizissao d[e] Lisboa em 11 de Outbr. [de] 1778,,,,Inquisition texts,Q55179,,,
ò no Acto da fe ... 27 de Agto. de 1758,,,,Inquisition texts,Q55179,,,
Lista das Pessoas q. sahiram ... no Acto da Fé ... desta Cide. Lis[boa] a 27 de Agosto de 1758,,,,Inquisition texts,Q55179,,,
Lista a... Inquizicaô de Evora ... 12 de Mayo de 1747,,,,Inquisition texts,Q55179,,,
Lista das Pessoas q. sahiram ... Inquiz[is]saò de Lisla. em 20 de Setembro de 17[6]7,,,,Inquisition texts,Q55179,,,
Lista do auto particullar q. se fez na Salla do Santo officio em 20 de Novembro de 1742,,,,Inquisition texts,Q55179,,,
Lista das pessoas q. ... no Auto da Fé ... a 16 de Abril de 1720 ...,,,,Inquisition texts,Q55179,,,
Inform. hecha enla ciudad de Malaga contra los Inglessas Protestantes ... año 1652,,,,Inquisition texts,Q55179,,,
Booklist,,,,Book list,Q39470,,,
Lista dos Penitenciados ... que sahiram no Auto pûblico da Fè . . em Coimbra ... em 26 de Ag. de 1781,,,,Inquisition texts,Q55179,,,
Lista da pessoas ... desta Inq[ui]z[iç]̈äo de Ev[or]a,,,,Inquisition texts,Q55179,,,
Lista da pessoas que soräo prezas...nesta Inquiziçäo de Evora no anno de 1788...e das denuncias...desde oprincipio do anno de 1786 ate aoprezentemez de Março de 1789,,,,Inquisition texts,Q55179,,,
"Lista da pessoas q[ue] sahiram, condënafiôens q[ue] tiveram e sentensas q[ue] s[.] lêram no acto pûblico...desta cidade de Lisboa em [.] de Outubro de 1765",,,,Inquisition texts,Q55179,,,
Notary document,,,,Notarial document,Q5065,,,
Notice of confiscation of property of New Chrisitians found guilty and punished by the Inquisition in Córdoba,,,,Inquisition texts,Q55179,,,
De excidio urbis Hierosolymitanae,,,,De excidio urbis Hierosolymitanae,Q54435,,,
Notes and outline for a treatise on Christian Theology,,,,Theological text,Q5950,,,
Lectures on logic and the history of philosophy,,,,Text on logic,Q20450,,,
,,,,History of philosophy,Q63822,,,
Notes on Arabic language and literature,,,,Arabic linguistic texts,Q63823,,,
Succession to the effects of the deceased according to the laws of the Hebrews,,"De successionibus in bona defuncti, seu iure haereditario, ad leges Ebraeorum",,Legal text,Q8041,,,
Von dem Dasein Gottes die sebstredende Vernunft /,,,,Theological texts,Q822,,,
Prolegomena to the study of the Zohar,,,,Prolegomena,Q27642,,,
Fatāwá al-kubrá,,,,Fatāwá,Q12221,,,
"Interessen Tabelle zu 4, 5 und 6 pro Cent /",,,,,,,,out of scope
"Manuscript to 'Die Genesis, übersetzt, und schwierige Stellen derselben erklärt, Berlin, 1843' /",,,,,,,,out of scope
"Five fifteenth, sixteenth, and seventeenth century letters and documents in Spanish and German",,,,Letters,Q5068,,,
,,,,Documents,Q5023,,,
"Lista da p[es]soas que sairam, condënaçôens e sentensas q[ue] tiveram no acto publico...desta cidade de Lis[bo]a em 20 de Fbr. de 1761",,,,Inquisition texts,Q55179,,,
Ethical will,,,,,,,,out of scope
"Die Adresse von Moses Montefiore an den Sultan von Marokko, Januar 1864 oder Dec. 63",,,,Edicts,Q5083,,,
"Privileggi concedeuti alla nazione ebrea di Pisa e Livorno and other documents concerning the status of the Jews of Tuscany, 1593-1770",,,,Documents,Q5023,,,
La Sciance des esprits /,,,,,,,,out of scope
"Sacro passagio nella santa città di Gerusalemme, libro xiii-xviii",,Historia rerum in partibus transmarinis gestarum,,History of the Middle East,Q55197,,,
The History of Henry iid. King of England,,,,Biography of Henry II,Q63824,,,
Letter,,,,,,Letter,Q1454,
Ortiz Moreno family papers,,,,Ortiz Moreno family papers,Q63825,,,
Jewish antiquities,,,,Lectures,Q18420,,,
Basarate ab keddus,,N.T.,,Liturgical texts,Q6055,,,
"Oath of office as a notary of the Roman Curia, 1790 December 23, of Joseph Aloysius Morelli",,,,Oath of office,Q1322,,,
Businessman's record book,,,,Records,Q5066,,,
Dawit [Psalms,,Bible,,Bible,Q661,,,
,,,,Psalms,Q5972,,,
Ueber Cicero's Werk De Republica,,,,Commentary on Cicero,Q39254,,,
"Introductions and summaries for classical philosophy, Semitics with an emphasis on Hebrew, and natural history",,,,Philosophical texts,Q20482,,,
,,,,Hebrew linguistic texts,Q63826,,,
,,,,Natural history texts,Q63827,,,
Sermons,,,,,,Sermons,Q1400,
Schwabenspiegel,,,,,,Schwabenspiegel,Q20018,
Jacobite theology,,,,Jacobite theology,Q63828,,,
"Biographical essays on popes and Holy Roman emperors, 1658-1740",,,,Biographies,Q39912,,,
Voyages from England to Bengal,,,,Travel writings,Q48579,,,
Annual time table of sunset and the hour of sabbath terminating,,,,Calendar,Q1122,,,
Der Fromme Schäffer; das ist ein wunderbares geistliches Gespräch eines Schäffer Jungens so er mit einem frommen Priester gehalten. Bitterkeit der Sünde un Süsse der Busse / vorgestellt von dem verfasser P. Francisco Neumayer,,,,Theological texts,Q822,,,
Il Capitolo de'Frati,,,,Satirical poem,Q63829,,,
Collection des chansons espagnoles avec accompagnement de forte piano,,,,Music book,Q3714,,,
Hymnal with musical notation,,,,Hymnal,Q666,,,
Parzatomar tatarja,,Parzatomar,,Parzatumar,Q27811,,,
Dutch devotional tracts,,,,Devotional texts,Q5966,,,
"Gegen Moritz Steckelmacher, Widerlegung des Sendschreibens des D. Hoffman",,,,,,,,out of scope
"Extracts from decrees and treaties concerning relations between Spain and Protestant countries, especially England, 1602-1655",,,,Decrees,Q17558,,,
Printed and manuscript procedures and instructions for the Inquisition in Peru,,,,Inquisition texts,Q55179,,,
Lista de los Judios que se hallan festificados en esta s[an]to ofizio dela Inqu[izicio]n de Logroño,,,,Inquisition texts,Q55179,,,
Directives and instructions to Inquisitors,,,,Inquisition texts,Q55179,,,
"Auto da Fe at Rome, 15 Feb., 1583",,,,Inquisition texts,Q55179,,,
Tractatus de ritibus ceremonialibus Hebreorum,,,,Text on Jewish ceremonial practices,Q63830,,,
Inquisition document,,,,Inquisition texts,Q55179,,,
"Il Gioco astronomico, che al botto di tre dadi profeticamente si ricava la notizia di tutto quello si desidera sapere nelli 20 sequenti quesiti /",,,,Astronomical text,Q38381,,,
Orden y forma de actuar los Comissarios y Notarios del ... Officio de la Inquisicion ... /,,,,Inquisition texts,Q55179,,,
Dialogue entre un Chretien et un Juif qui s'est converti,,,,Polemics,Q18422,,,
Papeles de jurisdiction de la Inquisizion,,,,Inquisition texts,Q55179,,,
"Relacion del Auto publico dela Fee, que se mando publicar por los ... Inquisidores ... de la Ciudad de Cartaxena de las Indias en 21 de Diziembre de 1613 y se celebro dia ... 2. de Febrero de 1614",,,,Inquisition texts,Q55179,,,
"Descripcion y noticia del Auto general de fee que celebro el ... Inqqon. de Mallorca en la Plaza del Borne, el domingo 13 de Henero de 1675",,,,Inquisition texts,Q55179,,,
Alchemical fragments in Latin,,,,Alchemical texts,Q3132,,,
Relacion del Auto dela Fee que se celebro en Valladolid ... 21 de Mayo de 1558 anos,,,,Inquisition texts,Q55179,,,
Auto de fé,,,,Inquisition texts,Q55179,,,
Relazion de el auto general que se izo enla ciud[ad] de Cuenca en 29 delmejs de Junio de 1654,,,,Inquisition texts,Q55179,,,
Carta que Escribio Benardino de Escalante,,,,Inquisition texts,Q55179,,,
Relacion del Auto de fé de Pablo de Olavide (Peruano),,,,Inquisition texts,Q55179,,,
Expediente sobre facultades del Nuncio de S. Santidad e Inquisidor General en los Reinos de España en prohivicion de Libros ...,,,,Inquisition texts,Q55179,,,
Las Nuebas de Alemania,,,,Inquisition texts,Q55179,,,
"Legal and personal documents in Spanish and Latin from Nimes, Granada, and elsewhere",,,,Documents,Q5023,,,
Verdades Catholicas contra ficciones Judaicas,,,,Apologetic text,Q55028,,,
Relacain do Auto publico da Fé que se celebrou na Villa de Roma em 6 de Mayo de 1543 ...,,,,Inquisition texts,Q55179,,,
Notices and illustrations on Baruch Spinoza,,,,Texts on Spinoza,Q63831,,,
Documents on the Marranos,,,,Documents,Q5023,,,
Copia del Proceso ... dela Inqqon. de Mallorca ... contra Isabel Pomar,,,,Inquisition texts,Q55179,,,
Copia del Proceso ... dela Inqqon. de Mallorca ... contra Isabel Cortes Viuda de Raphael Joseph Cortes ...,,,,Inquisition texts,Q55179,,,
Dutch Devotional tracts,,Imitatio Christi Dutch,,De imitatione Christi,Q17565,,,
Collegium Scriptorum Archivii,,,,Collegium Scriptorum Archivii,Q63832,,,
Shāh-nāmah ḥakim (1 of 3),,Shāh-nāmah,,Shahnameh,Q18627,,,
Egysippus (1 of 2),,De bello judaico. Latin (St. Ambrose). 1300,,The Jewish War,Q356,,,
Shāh-nāmah ḥakim (2 of 3),,Shāh-nāmah,,Shahnameh,Q18627,,,
Akhlāq-i Muḥsinī,,,,,,Akhlāq-i Muḥsinī,Q11746,
Copia del Proceso ... dela Inqqon. de Mallorca ... contra Isabel Pomar Viuda de Raphael Marti del Arpa ...,,,,Inquisition texts,Q55179,,,
Instrumentos originales que continens seis piezas de autos seguidos en el Tribunal de la ... Ynqon. de Murcia ...,,,,Inquisition texts,Q55179,,,
Synopsis quinque disputationum /,,,,Tusculanae disputationes,Q1404,,,
Autos de fee que se han impreso des de el año de 1720 hac. el año de 1743; celebrados dos enlas Tribunales de las ... Inquisiciones de toda España /,,,,Inquisition texts,Q55179,,,
Spanish Inquisition documents,,,,Spanish inquisition,Q8054,,,
Spanish Inquisition document,,,,Spanish inquisition,Q8054,,,
Bull appointing Torquemada to be Inquisitor-General 1486,,,,Papal bull,Q1362,,,
Kochbuch,,,,Recipe book,Q7824,,,
La Clavicule magique et cabalistique du sage Roy Salomon,,Clavicula Salomonis,,Key of Solomon,Q20000,,,
"Die Unsterblichkeit Trauer; Predigt zum Gedächtniss der höchstseligen Königin, Friederike von Hannover, Gehalten in der Synagoge zu Hannover, am 10 Juli, 1841 /",,,,Sermons,Q1400,,,
Kitāb Bulūgh al-arab fī fann al-adab /,,,,Arabic grammatical text,Q25791,,,
Qurʼan,,Qurʼan,,Qurʼan,Q3697,,,
Kitab-ı inşa-ı marğup,,Inşa-ı marğup,,Ottoman texts,Q55116,,,
Selections from the Pandnāmah. Sufi treatise,,Two Sufi works,,Sufi texts,Q27797,,,
"Qurʼan, divison 30 (surah 78-114)",,Qurʼan,,Qurʼan,Q3697,,,
Kitāb al-Madu'ū madkhal al-'ibādah,,Introduction à la vie dévote,,Introduction to the Devout Life,Q55049,,,
"Sīrat al-Amīrah Dhāt al-Himmah, book 11",,,,Delhemma,Q63819,,,
"سيرة المجاهدين; Sīrat al-mujāhidīn , vol. 16",,,,Sīrat al-mujāhidīn,Q54340,,,
"سيرة المجاهدين; Sīrat al-mujāhidīn, vol. 15",,,,Sīrat al-mujāhidīn,Q54340,,,
سىرة عنتر; Sīrat ʻAntar,,,,Sīrat ʻAntar,Q63820,,,
Arabic manuscript,,,,Arabic text,Q38349,,,
سيرة سيف بن ذي يزن; Sīrat Sayf ibn Dhī Yazan,,,,Sirat Sayf ibn Dhi-Yazan,Q11847,,,
Commentary on the Magamat of al-Hariri,,,,Commentary on al-Hariri,Q63833,,,
Fourteen Arabic mathematical treatises,,,,Mathematical texts,Q38402,,,
Fragments of an Islamic theological work,,,,Theological text,Q5950,,,
Qurʼan manuscript,,Qurʼan,,Qurʼan,Q3697,,,
"Biography of al-Mālik, al-Ṣāliḥ Najm al-Dīn Ayyūb",,,,Biography of As-Salih Ayyub,Q63834,,,
Book of precepts of religious law,,,,Religious text,Q1465,,,
Quires from Sīrat al-Amīrah Dhāt al-Himmah,,Sīrat al-Amīrah Dhāt al-Himmah,,Delhemma,Q63819,,,
Kitāb Futūḥ al-Shām,,Futūḥ al-Sham,,Futūḥ al-Sham,Q18460,,,
Islamic prayers in Arabic with Turkish commentary,,,,Prayers,Q798,,,
Extracts from Persian poetry,,,,Persian poetry,Q18530,,,
Kitāb Ḥāyat al-ḥayawān al-kubrā,,Ḥāyat al-ḥayawān al-kubrā,,Ḥāyat al-ḥayawān al-kubrā,Q12099,,,
Kitāb al-aghānī,,Aghānī,,Kitāb al-Aghānī,Q12189,,,
Divan,,,,,,Diwan,Q11912,
Yūsuf va Zulaykhā,,,,,,Yūsuf va Zulaykhā,Q3708,
Days of the week with appropriate Arabic names for children born on each day,,,,Arabic text,Q38349,,,
Draft of a writing or an address,,,,Address,Q63835,,,
"Certificate of purity of blood and grant of privileges to Diego Jiminez de Sotomayor and his wife Beatriz Carrillo Saabedra y Cordoba issued by the Office of the Inquisition, Santiago y Alcantara, 21 May, 1642",,,,Inquisition texts,Q55179,,,
Quitclaim /,,,,Quitclaim,Q6018,,,
"Letter, 1504 July 6, Naples to Ferdinand and Isabella, King and Queen of Spain and Naples /",,,,Letter,Q1454,,,
Persian tales in Arabic,,,,Persian stories,Q63836,,,
Shāh-nāmah ḥakim,,Shāh-nāmah,,Shahnameh,Q18627,,,
Shifa,,,,Shifāʼ,Q11730,,,
Shams al-maʻārif,,شمس المعارف ولطائف العوارف.Shams al-maʻārif al-kubrá wa-laṭāʼif al-ʻawārif,,Shams al-Ma'arif,Q39959,,,
Chronology of rulers in the Islamic Middle East,,,,Chronology of rulers,Q63837,,,
Qur'ān,,Qur'ān,,Qurʼan,Q3697,,,
Psalter,,,,,,Psalter,Q660,
