subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
"Mary, Blessed Virgin, Saint--Poetry--Early works to 1800",0,a;c--v--v,,"Mary, Blessed Virgin, Saint;Poetry;Early works",http://id.worldcat.org/fast/68107;http://id.worldcat.org/fast/1423828;http://id.worldcat.org/fast/1411636,Q244;Q247;Q300,,,
"Mary, Blessed Virgin, Saint--Songs and music--Early works to 1800",0,a;c--v--v,,"Mary, Blessed Virgin, Saint;Songs and music;Early works",http://id.worldcat.org/fast/68107;http://id.worldcat.org/fast/1985328;http://id.worldcat.org/fast/1411636,Q244;Q55351;Q300,,,
"Mary, Blessed Virgin, Saint--Prayers and devotions--Early works to 1800",0,a;c--v--v,,,,,"Mary, Blessed Virgin, Saint;Prayers and devotions;Early works",http://id.worldcat.org/fast/68107;http://id.worldcat.org/fast/1423909;http://id.worldcat.org/fast/1411636,Q244;Q3052;Q300
Catholic Church--Hymns--Early works to 1800,0,a--v--v,,Catholic Church;Hymns;Early works,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1423701;http://id.worldcat.org/fast/1411636,Q310;Q6878;Q300,,,
Catholic Church--Prayers and devotions,0,a--v,,,,,Catholic Church;Prayers and devotions,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1423909,Q310;Q3052
"Mary, Blessed Virgin, Saint--Annunciation--Art--Early works to 1800",0,a;c--x--v--x,,Annunciation to the Blessed Virgin Mary;Art;Early works,http://id.worldcat.org/fast/1351679;http://id.worldcat.org/fast/1423702;http://id.worldcat.org/fast/1411636,Q302;Q38573;Q300,,,
"Mary, Blessed Virgin, Saint--Prayers and devotions--Texts--Early works to 1800",0,a;c--v--v--x,,"Mary, Blessed Virgin, Saint;Prayers and devotions;Texts;Early works",http://id.worldcat.org/fast/68107;http://id.worldcat.org/fast/1423909;http://id.worldcat.org/fast/1423705;http://id.worldcat.org/fast/1411636,Q244;Q3052;Q3066;Q300,,,
Catholic Church. Little office of the Blessed Virgin Mary,0,a;t,,Little office of the Blessed Virgin Mary (Catholic Church),http://id.worldcat.org/fast/1364470,Q55349,,,
Jesus Christ--Presentation--Art--Early works to 1800,0,a--x--v--x,,Presentation of Jesus Christ;Art;Early works,http://id.worldcat.org/fast/1354072;http://id.worldcat.org/fast/1423702;http://id.worldcat.org/fast/1411636,Q55350;Q38573;Q300,,,
Catholic Church--Prayers and devotions--Texts--Early works to 1800,0,a--v--v--x,,Catholic Church;Prayers and devotions;Texts;Early works,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1423909;http://id.worldcat.org/fast/1423705;http://id.worldcat.org/fast/1411636,Q310;Q3052;Q3066;Q300,,,
"Bible. Psalms, LVIX",0,a;p,,Bible. Psalms,http://id.worldcat.org/fast/1808097,Q4257,,,
"Bible. Psalms, VI",0,a;p,,Bible. Psalms,http://id.worldcat.org/fast/1808097,Q4257,,,
