material_as_recorded,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
paper,,,,paper,http://vocab.getty.edu/aat/300014109,Q31
"paper, illustration",,,,paper,http://vocab.getty.edu/aat/300014109,Q31
ill.,,,,,,
paper ; 201 x 140 (160 x 95) mm. bound to 202 x 140 mm,paper,http://vocab.getty.edu/aat/300014109,Q31,,,
paper ; 220 x 162 (195 x 125) mm. bound to 220 x 160 mm,paper,http://vocab.getty.edu/aat/300014109,Q31,,,
"paper, illustrations",,,,paper,http://vocab.getty.edu/aat/300014109,Q31
paper ; 210 x 152 (140 x 90) mm. bound to 208 x 160 mm,paper,http://vocab.getty.edu/aat/300014109,Q31,,,
all color illustrations,,,,,,
parchment,,,,parchment,http://vocab.getty.edu/aat/300011851,Q33
"parchment, illustrations",,,,parchment,http://vocab.getty.edu/aat/300011851,Q33
"parchment, paper",,,,parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,Q33;Q31
"parchment, illustration",,,,parchment,http://vocab.getty.edu/aat/300011851,Q33
papyrus,,,,papyrus,http://vocab.getty.edu/aat/300014127,Q32
Ostrakon,ceramic,http://vocab.getty.edu/aat/300235507,Q63761,,,
paper ; 205 x 145 (150-160 x 90) mm. bound to 204 x 152 mm,paper,http://vocab.getty.edu/aat/300014109,Q31,,,
paper ; 213 x 149 (138 x 60) mm. bound to 210 x 147 mm,paper,http://vocab.getty.edu/aat/300014109,Q31,,,
"paper, illustrations ; 202 x 142 (135-155 x 67-85) mm. bound to 201 x 138 mm",paper,http://vocab.getty.edu/aat/300014109,Q31,,,
paper ; 210 x 154 (150-170 x 92-120) mm bound to 214 x 155 mm,paper,http://vocab.getty.edu/aat/300014109,Q31,,,
paper ; 180 x 135 (123-135 x 86-105) mm,paper,http://vocab.getty.edu/aat/300014109,Q31,,,
"paper, color illustrations",,,,paper,http://vocab.getty.edu/aat/300014109,Q31
paper ; 216 x 159 (155 x 90) mm. bound to 214 x 167 mm,paper,http://vocab.getty.edu/aat/300014109,Q31,,,
"paper, charts",,,,paper,http://vocab.getty.edu/aat/300014109,Q31
"paper, illustrations.",,,,paper,http://vocab.getty.edu/aat/300014109,Q31
"parchment, illustrations, maps",,,,parchment,http://vocab.getty.edu/aat/300011851,Q33
ill. (metalcuts),,,,,,
color,,,,,,
chiefly color illustrations,,,,,,
paper ; 209 x 152 (163 x 115) mm. bound to 207 x 153 mm,paper,http://vocab.getty.edu/aat/300014109,Q31,,,
"parchment, ill., music",parchment,http://vocab.getty.edu/aat/300011851,Q33,,,
"paper, ill.",,,,paper,http://vocab.getty.edu/aat/300014109,Q31
"parchment, ill.",,,,parchment,http://vocab.getty.edu/aat/300011851,Q33
"ms., col.",,,,,,
col. ill.,,,,,,
