place_as_recorded,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Damascus,,,,Damascus,http://vocab.getty.edu/tgn/7002261,Q11626
,,,,undetermined,http://vocab.getty.edu/tgn/7544559,Q650
al-Khalīl,,,,Hebron,http://vocab.getty.edu/tgn/7029354,Q11621
Bahsanī,,,,,,
Baghdād,,,,Baghdad,http://vocab.getty.edu/tgn/7002482,Q11612
Salamīyah,,,,As-Salamīyah,http://vocab.getty.edu/tgn/1085102,Q11606
Tripoli,,,,Tripoli,http://vocab.getty.edu/tgn/7000630,Q11608
Aleppo,,,,Aleppo,http://vocab.getty.edu/tgn/7002252,Q3095
Najaf,,,,An-Najaf,http://vocab.getty.edu/tgn/1079401,Q11624
Khwārazm,,,,Khwārezm,http://vocab.getty.edu/tgn/8698237,Q11618
Istanbul,,,,Istanbul,http://vocab.getty.edu/tgn/7002473,Q11605
Brūsā,,,,Bursa,http://vocab.getty.edu/tgn/7002420,Q11629
Mecca?,,,,Mecca,http://vocab.getty.edu/tgn/7003870,Q11615
al-Qāhirah,,,,Cairo,http://vocab.getty.edu/tgn/7001215,Q3093
Dimashq,,,,Damascus,http://vocab.getty.edu/tgn/7002261,Q11626
Cairo,,,,Cairo,http://vocab.getty.edu/tgn/7001215,Q3093
Makkah,,,,Mecca,http://vocab.getty.edu/tgn/7003870,Q11615
Egypt,,,,Egypt,http://vocab.getty.edu/tgn/7016833,Q3086
"Oxford, England?",,,,Oxford;England,http://vocab.getty.edu/tgn/7011931;http://vocab.getty.edu/tgn/7002445,Q3654;Q133
Japan,,,,Japan,http://vocab.getty.edu/tgn/1000120,Q12707
"London, England",,,,London;England,http://vocab.getty.edu/tgn/7011781;http://vocab.getty.edu/tgn/7002445,Q3660;Q133
Germany,,,,Germany,http://vocab.getty.edu/tgn/7000084,Q131
France,,,,France,http://vocab.getty.edu/tgn/1000070,Q122
"Padua, Italy",,,,Padua;Italy,http://vocab.getty.edu/tgn/7003085;http://vocab.getty.edu/tgn/1000080,Q3091;Q134
"Regensburg, Germany",,,,Regensburg;Germany,http://vocab.getty.edu/tgn/7013496;http://vocab.getty.edu/tgn/7000084,Q5000;Q131
"Fulda, Germany",,,,Fulda;Germany,http://vocab.getty.edu/tgn/7005294;http://vocab.getty.edu/tgn/7000084,Q12704;Q131
"St. Albans, England",,,,Saint Albans;England,http://vocab.getty.edu/tgn/7011871;http://vocab.getty.edu/tgn/7002445,Q12700;Q133
Engand,,,,England,http://vocab.getty.edu/tgn/7002445,Q133
"Bologna, Italy",,,,Bologna;Italy,http://vocab.getty.edu/tgn/7004847;http://vocab.getty.edu/tgn/1000080,Q3087;Q134
