subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
"Manuscripts, Arabic--New Jersey--Princeton",0,a--z--z,(uri) http://id.loc.gov/authorities/subjects/sh85080687,,,,"Manuscripts, Arabic;New Jersey--Princeton",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1204939,Q256;Q11460
"Manuscripts, Arabic",fast,a,(OCoLC)fst01008278,,,,"Manuscripts, Arabic",http://id.worldcat.org/fast/1008278,Q256
New Jersey--Princeton,fast,a--z,(OCoLC)fst01204939,,,,New Jersey--Princeton,http://id.worldcat.org/fast/1204939,Q11460
Logic--Islamic Empire--Early works to 1800,0,a--z--v,,,,,Logic;Islamic Empire;Early works,http://id.worldcat.org/fast/1002014;http://id.worldcat.org/fast/1244134;http://id.worldcat.org/fast/1411636,Q308;Q11211;Q300
"Manuscripts, Arabic--New Jersey--Princeton",0,a--z--z,,,,,"Manuscripts, Arabic;New Jersey--Princeton",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1204939,Q256;Q11460
Manuscrits arabes--New Jersey--Princeton,6,a--z--z,,,,,"Manuscripts, Arabic;New Jersey--Princeton",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1204939,Q256;Q11460
Logic,fast,a,(OCoLC)fst01002014,,,,Logic,http://id.worldcat.org/fast/1002014,Q308
Islamic Empire,fast,a,(OCoLC)fst01244134,,,,Islamic Empire,http://id.worldcat.org/fast/1244134,Q11211
Arabic language--Grammar--Early works to 1800,0,a--x--v,,,,,Arabic language--Grammar;Early works,http://id.worldcat.org/fast/812341;http://id.worldcat.org/fast/1411636,Q3523;Q300
"Manuscripts, Persian--New Jersey--Princeton",0,a--z--z,,,,,"Manuscripts, Persian;New Jersey--Princeton",http://id.worldcat.org/fast/1008462;http://id.worldcat.org/fast/1204939,Q255;Q11460
Arabe (Langue)--Grammaire--Ouvrages avant 1800,6,a--x--v,,,,,Arabic language--Grammar;Early works,http://id.worldcat.org/fast/812341;http://id.worldcat.org/fast/1411636,Q3523;Q300
Manuscrits persans--New Jersey--Princeton,6,a--z--z,,,,,"Manuscripts, Persian;New Jersey--Princeton",http://id.worldcat.org/fast/1008462;http://id.worldcat.org/fast/1204939,Q255;Q11460
Arabic language--Grammar,fast,a--x,(OCoLC)fst00812341,,,,Arabic language--Grammar,http://id.worldcat.org/fast/812341,Q3523
"Manuscripts, Persian",fast,a,(OCoLC)fst01008462,,,,"Manuscripts, Persian",http://id.worldcat.org/fast/1008462,Q255
"Logic, Medieval--Early works to 1800",0,a--v,,,,,"Logic, Medieval;Early works",http://id.worldcat.org/fast/1002062;http://id.worldcat.org/fast/1411636,Q3003;Q300
Logique médiévale--Ouvrages avant 1800,6,a--v,,,,,"Logic, Medieval;Early works",http://id.worldcat.org/fast/1002062;http://id.worldcat.org/fast/1411636,Q3003;Q300
"Logic, Medieval",fast,a,(OCoLC)fst01002062,,,,"Logic, Medieval",http://id.worldcat.org/fast/1002062,Q3003
Islamic Empire--History--Early works to 1800,0,a--x--v,,,,,Islamic Empire;History;Early works,http://id.worldcat.org/fast/1244134;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1411636,Q11211;Q6879;Q300
Arabic language--Grammar--Early works to 1800,0,a--x--v,(uri) http://id.loc.gov/authorities/subjects/sh86000284,,,,Arabic language--Grammar;Early works,http://id.worldcat.org/fast/812341;http://id.worldcat.org/fast/1411636,Q3523;Q300
Arabic language--Grammar,fast,a--x,(OCoLC)fst00812341--(uri) http://id.worldcat.org/fast/fst00812341,,,,Arabic language--Grammar,http://id.worldcat.org/fast/812341,Q3523
"Manuscripts, Arabic",fast,a,(OCoLC)fst01008278--(uri) http://id.worldcat.org/fast/fst01008278,,,,"Manuscripts, Arabic",http://id.worldcat.org/fast/1008278,Q256
New Jersey--Princeton,fast,a--z,(OCoLC)fst01204939--(uri) http://id.worldcat.org/fast/fst01204939,,,,New Jersey--Princeton,http://id.worldcat.org/fast/1204939,Q11460
Zoology--Islamic empire--14th century,0,a--z--y,(uri) http://id.loc.gov/authorities/subjects/sh85149983,,,,Zoology;Islamic Empire;Fourteenth century,http://id.worldcat.org/fast/1184696;http://id.worldcat.org/fast/1244134;http://id.worldcat.org/fast/933420,Q3009;Q11211;Q295
Zoology,fast,a,(OCoLC)fst01184696,,,,Zoology,http://id.worldcat.org/fast/1184696,Q3009
1300-1399,fast,a,,Fourteenth century,http://id.worldcat.org/fast/933420,Q295,,,
Islam--Doctrines--Early works to 1800,0,a--x--v,http://id.loc.gov/authorities/subjects/sh87000152--(uri) http://id.loc.gov/authorities/subjects/sh87000152,,,,Islam--Doctrines;Early works,http://id.worldcat.org/fast/979787;http://id.worldcat.org/fast/1411636,Q11301;Q300
Islam--Doctrines,fast,a--x,(OCoLC)fst00979787,,,,Islam--Doctrines,http://id.worldcat.org/fast/979787,Q11301
"Mathematics, Arab--Early works to 1800",0,a--v,,,,,"Mathematics, Arab;Early works",http://id.worldcat.org/fast/1012356;http://id.worldcat.org/fast/1411636,Q2780;Q300
"Manuscripts, Arabic",fast,a,,,,,"Manuscripts, Arabic",http://id.worldcat.org/fast/1008278,Q256
New Jersey--Princeton,fast,a--z,,,,,New Jersey--Princeton,http://id.worldcat.org/fast/1204939,Q11460
Arabic language--Grammar,fast,a--x,,,,,Arabic language--Grammar,http://id.worldcat.org/fast/812341,Q3523
Arabic prose literature--11th century,0,a--y,,,,,Arabic prose literature;Eleventh century,http://id.worldcat.org/fast/812549;http://id.worldcat.org/fast/908096,Q11444;Q306
Arabic prose literature--12th century,0,a--y,,,,,Arabic prose literature;Twelfth century,http://id.worldcat.org/fast/812549;http://id.worldcat.org/fast/1159791,Q11444;Q304
Prose arabe--11e siècle,6,a--y,,,,,Arabic prose literature;Eleventh century,http://id.worldcat.org/fast/812549;http://id.worldcat.org/fast/908096,Q11444;Q306
Prose arabe--12e siècle,6,a--y,,,,,Arabic prose literature;Twelfth century,http://id.worldcat.org/fast/812549;http://id.worldcat.org/fast/1159791,Q11444;Q304
Arabic prose literature,fast,a,(OCoLC)fst00812549,,,,Arabic prose literature,http://id.worldcat.org/fast/812549,Q11444
1000-1199,fast,a,,Eleventh century;Twelfth century,http://id.worldcat.org/fast/908096;http://id.worldcat.org/fast/1159791,Q306;Q304,,,
