subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
"Nasafī, ʻAbd Allāh ibn Aḥmad, -1310. Manār al-anwār",0,a;d;t,,"Manār al-anwār fī al-uṣūl (Nasafī, ʻAbd Allāh ibn Aḥmad)",http://id.worldcat.org/fast/1383700,Q3573,,,
"Qudūrī, Aḥmad ibn Muḥammad Mukhtaṣar al-Qudūrī",0,a;t,,,,,,,
"Khaṭīb al-Tamartāshī, Muḥammad ibn ʻAbd Allāh, 1532 or 3-1595 or 6. Tanwīr al-abṣār",0,a;d;t,,"Tanwīr al-abṣār (Khaṭīb al-Tamartāshī, Muḥammad ibn ʻAbd Allāh)",http://id.worldcat.org/fast/2057835,Q11387,,,
"Ḥaṣkafī, Muḥammad ibn ʻAlī, approximately 1616-1677. Durr al-mukhtār",0,a;d;t,,,,,"Durr al-mukhtār (Ḥaṣkafī, Muḥammad ibn ʻAlī)",http://id.worldcat.org/fast/2056672,Q11333
"Dafrī, ʻUmar ibn ʻUmar, d. 1668. Durrah al-munīfah fī fiqh Abī ḥanīfah",0,a;d;t,,,,,,,
"ḥamawī, Aḥmad ibn Muḥammad, d. 1686 or 7. Qaṣīdah manẓūmah",0,a;d;t,,,,,,,
"Khilāṭī, Muḥammad ibn ʻAbbād, -1254. Talkhīṣ al-Jāmiʻ al-kabīr",0,a;d;t,,,,,,,
"Nasafī, ʻAbd Allāh ibn Aḥmad, -1310. Kanz al-daqāʼiq--Commentaries--14th century",0,a;d;t--v--y,,"Kanz al-daqāʼiq (Nasafī, ʻAbd Allāh ibn Aḥmad);Commentaries;Fourteenth century",http://id.worldcat.org/fast/1368463;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/933420,Q63771;Q2812;Q295,,,
"Shaybānī, Muḥammad ibn al-Ḥasan, approximately 750-804 or 805. Jāmiʻ al-ṣaghīr fī al-fiqh.--Abridgment",0,a;d;t--k,,,,,,,
"Marghīnānī, ʻAlī ibn Abī Bakr, -1196 or 1197. Bidāyat al-mubtadī",0,a;d;t,,,,,"Bidāyat al-mubtadī (Marghīnānī, ʻAlī ibn Abī Bakr)",http://id.worldcat.org/fast/2056651,Q3577
"Quzabnī, Badīʻ ibn Abī Manṣūr, active 13th century. Munyat al-fuqahāʼ.--Abridgment",0,a;d;t--k,,,,,,,
"Hidāyah (Marghīnānī, ʻAlī ibn Abī Bakr)",fast,a,,,,,"Hidāyah (Marghīnānī, ʻAlī ibn Abī Bakr)",http://id.worldcat.org/fast/1370806,Q11539
"Marghīnānī, ʻAlī ibn Abī Bakr, -1196 or 1197. Hidāyah",0,a;d;t,,,,,"Hidāyah (Marghīnānī, ʻAlī ibn Abī Bakr)",http://id.worldcat.org/fast/1370806,Q11539
"Muḥammad, Prophet, -632--Family--Early works to 1800",0,a;c;d--x--v,,,,,"Muḥammad, Prophet, -632;Families;Early works",http://id.worldcat.org/fast/1836298;http://id.worldcat.org/fast/1728849;http://id.worldcat.org/fast/1411636,Q3639;Q5939;Q300
Shahada--Early works to 1800,0,a--v,,,,,Profession of faith (Islam);Early works,http://id.worldcat.org/fast/1078436;http://id.worldcat.org/fast/1411636,Q48843;Q300
"Burhān al-Sharīʻah, Maḥmūd ibn ʻUbayd Allāh, -1274 or 1275. Wiqāyat al-riwāyah",0,a;d;t,,,,,,,
"Muḥammad, Prophet, -632--Early works to 1800",0,a;c;d--v,,,,,"Muḥammad, Prophet, -632;Early works",http://id.worldcat.org/fast/1836298;http://id.worldcat.org/fast/1411636,Q3639;Q300
Duʻāʼ al-qunūt,0,a,,,,,,,
"Qāyitbāy al-Maḥmūdī, Sultan of Egypt and Syria, 1412-1496",0,a;c;d,,,,,,,
"Iṣfahānī, Maḥmūd ibn ʻAbd al-Raḥmān, 1275 or 1276-1348 or 1349. Maṭāliʻ al-anẓār",0,a;d;t,,,,,,,
"Bayḍāwī, ʻAbd Allāh ibn ʻUmar, -1286? Ṭawāliʻ al-anwār min maṭāliʻ al-anẓār",0,a;d;t,,,,,"Ṭawāliʻ al-anwār min maṭāliʻ al-anẓār (Bayḍāwī, ʻAbd Allāh ibn ʻUmar)",http://id.worldcat.org/fast/1371988,Q18337
"Athīr al-Dīn al-Abharī, al-Mufaḍḍal ibn ʻUmar, -1265. Hidāyat al-ḥikmah",0,a;d;t,,,,,,,
"Taftāzānī, Masʻūd ibn ʻUmar, 1322-1389? Talwīḥ fī kashf ḥaqāʼiq al-Tanqīḥ",0,a;d;t,,,,,,,
"Maḥbūbī, ʻUbayd Allāh ibn Masʻūd, -1346 or 1347. Tanqīḥ al-uṣūl",0,a;d;t,,,,,"Tanqīḥ al-uṣūl (Maḥbūbī, ʻUbayd Allāh ibn Masʻūd)",http://id.worldcat.org/fast/1381675,Q11426
"Abū Ḥanīfah, -767 or 768. Fiqh al-akbar",0,a;d;t,,,,,Fiqh al-akbar (Abū Ḥanīfah),http://id.worldcat.org/fast/1374867,Q11177
"Taftāzānī, Masʿūd ibn ʿUmar, 1322-1389? Sharḥ al-ʿAqāʼid al-Nasafīyah",0,a;d;t,,,,,,,
"Damanhūrī, Muḥammad, -1871 or 1872. Irshād al-shāfī ʻalá matn al-Kāfī fī ʻilmay al-ʻarūḍ wa-al-qawāfī",0,a;d;t,,,,,,,
"Ibn Nujaym, Zayn al-Dīn ibn Ibrāhīm, -1563. Ashbāh wa-al-naẓāʼir",0,a;d;t,,"Ashbāh wa-al-naẓāʼir (Ibn Nujaym, Zayn al-Dīn ibn Ibrāhīm)",http://id.worldcat.org/fast/2057977,Q63772,,,
"Ibn ʻAbd al-Razzāq, ʻAbd al-Raḥmān ibn Ibrāhīm, -1727. Qalāʻid al-manẓūm",0,a;d;t,,,,,,,
"Ibn ʻĀbidīn, Muḥammad Amīn ibn ʻUmar, 1783 or 1784-1836. ʻUqūd rasm al-muftī",0,a;d;t,,,,,,,
"Sibṭ al-Māridīnī, Badr al-Dīn Muḥammad ibn Muḥammad, 1423- Sharḥ al-Raḥbīyah",0,a;d;t,,,,,,,
"Ibn al-Mutafanninah, Muḥammad ibn ʻAlī, 1103 or 1104-1181 or 1182. Urjūzah al-Raḥbīyah",0,a;d;t,,,,,"Urjūzah al-Raḥbīyah (Ibn al-Mutafanninah, Muḥammad ibn ʻAlī)",http://id.worldcat.org/fast/1716187,Q11192
"Sharḥ al-ʻAqāʼid al-Nasafīyah (Taftāzānī, Masʻūd ibn ʻUmar)",fast,a,(OCoLC)fst01365468,,,,"Sharḥ al-ʻAqāʼid al-Nasafīyah (Taftāzānī, Masʻūd ibn ʻUmar)",http://id.worldcat.org/fast/1365468,Q11328
"Durar al-ḥukkām (Hüsrev, Molla)",fast,a,,"Durar al-ḥukkām (Hüsrev, Molla)",http://id.worldcat.org/fast/1375726,Q63773,,,
"Hüsrev, Molla, d. 1480. Durar al-ḥukkām fī sharḥ Ghurar al-aḥkām",0,a;c;d;t,,"Durar al-ḥukkām (Hüsrev, Molla)",http://id.worldcat.org/fast/1375726,Q63773,,,
"Abū Ḥanīfah, -767 or 768",0,a;d,,,,,"Abū Ḥanīfah, -767 or 768",http://id.worldcat.org/fast/1803236,Q11595
"Mālik ibn Anas, -795",0,a;d,,"Mālik ibn Anas, -795",http://id.worldcat.org/fast/1832510,Q11589,,,
"Shāfiʻī, Muḥammad ibn Idrīs, 767 or 768-820",0,a;d,,"Shāfiʻī, Muḥammad ibn Idrīs, 767 or 768-820",http://id.worldcat.org/fast/1846928,Q26711,,,
