place_as_recorded,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
,,,,undetermined,http://vocab.getty.edu/tgn/7544559,Q650
Tabrīz,,,,Tabriz,http://vocab.getty.edu/tgn/7002156,Q27491
"Aleppo, [",Aleppo,http://vocab.getty.edu/tgn/7002252,Q3095,,,
Damascus,,,,Damascus,http://vocab.getty.edu/tgn/7002261,Q11626
Shīrāz,,,,Shiraz,http://vocab.getty.edu/tgn/7002148,Q27484
Erzurum,Erzurum,http://vocab.getty.edu/tgn/7017539,Q63767,,,
Ūrayl,,,,,,
Medina,,,,Medina,http://vocab.getty.edu/tgn/7003869,Q11610
Skopje,,,,Skopje,http://vocab.getty.edu/tgn/7015643,Q40041
Aleppo,,,,Aleppo,http://vocab.getty.edu/tgn/7002252,Q3095
Üsküdar,,,,Üsküdar,http://vocab.getty.edu/tgn/1085853,Q52685
Jerusalem,,,,Jerusalem,http://vocab.getty.edu/tgn/7001371,Q11620
"Karahisar ...?, [",Karahisar,http://vocab.getty.edu/tgn/7716074,Q63768,,,
Mecca,,,,Mecca,http://vocab.getty.edu/tgn/7003870,Q11615
Qusṭantinīyah,Al Qusţanţīnīyah,http://vocab.getty.edu/tgn/7523796,Q39934,,,
Samarqand,,,,Samarkand,http://vocab.getty.edu/tgn/7012290,Q3098
Cairo,,,,Cairo,http://vocab.getty.edu/tgn/7001215,Q3093
Qusṭanṭinīyah,,,,Al Qusţanţīnīyah,http://vocab.getty.edu/tgn/7523796,Q39934
Qusṭanṭinīyah?,,,,Al Qusţanţīnīyah,http://vocab.getty.edu/tgn/7523796,Q39934
Āvarnah,Avarneh,http://vocab.getty.edu/tgn/8898656,Q63769,,,
1823,,,,,,
17--,,,,,,
