subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Islamic law--Early works to 1800,0,a--v,http://id.loc.gov/authorities/subjects/sh2008104963,,,,Islamic law;Early works,http://id.worldcat.org/fast/979949;http://id.worldcat.org/fast/1411636,Q3605;Q300
Hanafites--Early works to 1800,0,a--v,http://id.loc.gov/authorities/subjects/sh2008105466,,,,Hanafites;Early works,http://id.worldcat.org/fast/950818;http://id.worldcat.org/fast/1411636,Q3580;Q300
Fatwas--Early works to 1800,0,a--v,http://id.loc.gov/authorities/subjects/sh2008120309,,,,Fatwas;Early works,http://id.worldcat.org/fast/921976;http://id.worldcat.org/fast/1411636,Q11267;Q300
Islamic law--Interpretation and construction,0,a--x,http://id.loc.gov/authorities/subjects/sh85068455,,,,Islamic law--Interpretation and construction,http://id.worldcat.org/fast/979955,Q3635
Hanafites,0,a,http://id.loc.gov/authorities/subjects/sh85058609,,,,Hanafites,http://id.worldcat.org/fast/950818,Q3580
"Manuscripts, Arabic--New Jersey--Princeton",0,a--z--z,,,,,"Manuscripts, Arabic;New Jersey--Princeton",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1204939,Q256;Q11460
Islamic law--Interpretation and construction--13th century,0,a--x--y,,Islamic law--Interpretation and construction;Thirteenth century,http://id.worldcat.org/fast/979955;http://id.worldcat.org/fast/1150138,Q3635;Q245,,,
Hanafites,0,a,,,,,Hanafites,http://id.worldcat.org/fast/950818,Q3580
Muslim scholars--Certification--History--15th century--Sources,0,a--x--x--y--v,,Muslim scholars;History;Fifteenth century;Sources,http://id.worldcat.org/fast/1731774;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/923962;http://id.worldcat.org/fast/1423900,Q11224;Q6879;Q154;Q2769,,,
Droit islamique--Interprétation--13e siècle,6,a--x--y,,Islamic law--Interpretation and construction;Thirteenth century,http://id.worldcat.org/fast/979955;http://id.worldcat.org/fast/1150138,Q3635;Q245,,,
Hanafites,6,a,,Hanafites,http://id.worldcat.org/fast/950818,Q3580,,,
Manuscrits arabes--New Jersey--Princeton,6,a--z--z,,,,,"Manuscripts, Arabic;New Jersey--Princeton",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1204939,Q256;Q11460
Hanafites,fast,a,,,,,Hanafites,http://id.worldcat.org/fast/950818,Q3580
Islamic law--Interpretation and construction,fast,a--x,,,,,Islamic law--Interpretation and construction,http://id.worldcat.org/fast/979955,Q3635
"Manuscripts, Arabic",fast,a,,,,,"Manuscripts, Arabic",http://id.worldcat.org/fast/1008278,Q256
New Jersey--Princeton,fast,a--z,,,,,New Jersey--Princeton,http://id.worldcat.org/fast/1204939,Q11460
1200-1499,fast,a,,Thirteenth century;Fourteenth century;Fifteenth century,http://id.worldcat.org/fast/1150138;http://id.worldcat.org/fast/933420;http://id.worldcat.org/fast/923962,Q245;Q295;Q154,,,
Islamic law--Early works to 1800,0,a--v,,,,,Islamic law;Early works,http://id.worldcat.org/fast/979949;http://id.worldcat.org/fast/1411636,Q3605;Q300
Hanafites--Early works to 1800,0,a--v,,,,,Hanafites;Early works,http://id.worldcat.org/fast/950818;http://id.worldcat.org/fast/1411636,Q3580;Q300
Droit islamique--Ouvrages avant 1800,6,a--v,,,,,Islamic law;Early works,http://id.worldcat.org/fast/979949;http://id.worldcat.org/fast/1411636,Q3605;Q300
Hanafites--Ouvrages avant 1800,6,a--v,,Hanafites;Early works,http://id.worldcat.org/fast/950818;http://id.worldcat.org/fast/1411636,Q3580;Q300,,,
Islamic law,fast,a,,,,,Islamic law,http://id.worldcat.org/fast/979949,Q3605
Islamic law--Interpretation and construction--Early works to 1800,0,a--x--v,http://id.loc.gov/authorities/subjects/sh2008104962,,,,Islamic law--Interpretation and construction;Early works,http://id.worldcat.org/fast/979955;http://id.worldcat.org/fast/1411636,Q3635;Q300
Tabrīz (Iran)--Intellectual life--14th century,0,a--x--y,,Iran--Tabrīz;Intellectual life;Fourteenth century,http://id.worldcat.org/fast/1206575;http://id.worldcat.org/fast/975769;http://id.worldcat.org/fast/933420,Q48737;Q7727;Q295,,,
Islamic law,0,a,,,,,Islamic law,http://id.worldcat.org/fast/979949,Q3605
Droit islamique,6,a,,Islamic law,http://id.worldcat.org/fast/979949,Q3605,,,
Fatwas--History--12th century--Sources,0,a--x--y--v,,Fatwas;History;Twelfth century;Sources,http://id.worldcat.org/fast/921976;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1159791;http://id.worldcat.org/fast/1423900,Q11267;Q6879;Q304;Q2769,,,
Hanafites--History--12th century--Sources,0,a--x--y--v,,Hanafites;History;Twelfth century;Sources,http://id.worldcat.org/fast/950818;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1159791;http://id.worldcat.org/fast/1423900,Q3580;Q6879;Q304;Q2769,,,
Hanafites--Histoire--12e siècle--Sources,6,a--x--y--v,,Hanafites;History;Twelfth century;Sources,http://id.worldcat.org/fast/950818;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1159791;http://id.worldcat.org/fast/1423900,Q3580;Q6879;Q304;Q2769,,,
Fatwas,fast,a,,,,,Fatwas,http://id.worldcat.org/fast/921976,Q11267
1100-1199,fast,a,,Twelfth century,http://id.worldcat.org/fast/1159791,Q304,,,
Islamic law--Interpretation and construction--12th century,0,a--x--y,,Islamic law--Interpretation and construction;Twelfth century,http://id.worldcat.org/fast/979955;http://id.worldcat.org/fast/1159791,Q3635;Q304,,,
Hanafites--12th century,0,a--y,,Hanafites;Twelfth century,http://id.worldcat.org/fast/950818;http://id.worldcat.org/fast/1159791,Q3580;Q304,,,
Hanafites--13th century,0,a--y,,Hanafites;Thirteenth century,http://id.worldcat.org/fast/950818;http://id.worldcat.org/fast/1150138,Q3580;Q245,,,
Fatwas--13th century,0,a--y,,Fatwas;Thirteenth century,http://id.worldcat.org/fast/921976;http://id.worldcat.org/fast/1150138,Q11267;Q245,,,
Hanafites--13e siècle,6,a--y,,Hanafites;Thirteenth century,http://id.worldcat.org/fast/950818;http://id.worldcat.org/fast/1150138,Q3580;Q245,,,
1200-1299,fast,a,,Thirteenth century,http://id.worldcat.org/fast/1150138,Q245,,,
Islamic law--14th century,0,a--y,,Islamic law;Fourteenth century,http://id.worldcat.org/fast/979949;http://id.worldcat.org/fast/933420,Q3605;Q295,,,
Hanafites--14th century,0,a--y,,Hanafites;Fourteenth century,http://id.worldcat.org/fast/950818;http://id.worldcat.org/fast/933420,Q3580;Q295,,,
Droit islamique--14e siècle,6,a--y,,Islamic law;Fourteenth century,http://id.worldcat.org/fast/979949;http://id.worldcat.org/fast/933420,Q3605;Q295,,,
