title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Ṣurrat al-fatāwá,,,,,,,
Kitāb al-Kashf fī uṣūl al-fiqh,كتاب الكشف في اصول الفقه,,,Texts on jurisprudence,Q64059,,
Kashf al-Manār,كشف المنار,,,Kashf al-Manār,Q64060,,
Jawharat al-nayyirah,جوهرة النيرة,Jawharat al-nayyirah ʻalá Mukhtaṣar al-Qudūrī,جوهرة النيرة على مختصر القدوري,,,,
Two Islamic law texts,,,,Texts on Islamic law,Q12197,,
Minaḥ al-ghaffār li-sharḥ Tanwīr al-abṣār,,,,Minaḥ al-ghaffār li-sharḥ Tanwīr al-abṣār,Q63857,,
al-Durr al-mukhtār fī sharḥ Tanwīr al-abṣār,,,,al-Durr al-mukhtār fī sharḥ Tanwīr al-abṣār,Q63858,,
Dalāʼil al-asrār ʻalá al-Durr al-mukhtār,,,,,,,
Tuḥfat al-akhyār ʻalá al-Durr al-mukhtār,,,,,,,
Silk al-nuẓẓār sharḥ al-Durr al-mukhtār,,,,,,,
Fatāwá,,,,Fatāwá,Q12221,,
Muʻīn al-muftī ʻalá jawāb al-mustaftī,,,,,,,
Umdat al-ḥukkām wa-marjiʻ al-quḍāh wa-al-aḥkām,,,,,,,
Maljaʼ al-quḍāh ʻinda taʻāruḍ al-bayyināt,,,,,,,
Majmaʻ al-ḍamānāt,,,,,,,
Tadhkirat al-ḥukkām,,,,,,,
al-Durrah al-munīfah fī fiqh Abī ḥanīfah,,,,,,,
al-Jawāhir al-nafīsah fī sharḥ al-Durrah al-munīfah,,,,al-Jawāhir al-nafīsah fī sharḥ al-Durrah al-munīfah,Q63859,,
Wāqiʻāt al-muftīn,,,,,,,
Nahj al-najāh ilá al-masāʼil al-muntaqāh,,,,,,,
Tarjīḥ al-bayyināt,,,,,,,
Lawāzim al-quḍāh wa-al-ḥukkām,,,,,,,
Farāʼid al-luʻluʻ wa-al-marjān sharḥ al-ʻuqūd al-ḥisān fī qawāʻid madhhab al-Nuʻmān,,,,,,,
al-Fatāwá al-Raḥīmīyah fī wāqiʻāt al-sādah al-ḥanafīyah,,,,Fatāwá,Q12221,,
Fatāwá ʻĀlamgīrīyah,,,,Fatāwá,Q12221,,
Shifāʼ al-ʻalīl bi-fatāwá al-marḥūm al-shaykh Ismāʻīl,,,,,,,
Majmūʼat Maḥmūd Afandī,,,,,,,
al-Fatāwá al-ʻAṭāʼīyah,,,,Fatāwá,Q12221,,
Riyāḍ al-qāsimīn,,,,,,,
Marāṣid al-ḥīṭān,,,,,,,
ʻAṭīyat al-raḥmān fī ṣiḥḥat irṣād al-jawāmīk wa-al-aṭyān,,,,ʻAṭīyat al-Raḥmān fī ṣiḥḥat irṣād al-jawāmīk wa-al-aṭyān,Q63860,,
Bahjat al-fatāwá,,,,,,,
al-ʻUqūd al-durrīyah fī tanqīḥ al-fatāwá al-Ḥāmidīyah,,,,,,,
Risālah fī taqlīd al-qaḍāʼ wa-aḥwāl arbābihi,,,,,,,
Majmūʻah fīhā ṣuwar al-masāʼil maʻa ajwibatihā al-wāqiʻah fī zaman Shaykh al-Islām ʻAlī Afandī,,,,,,,
Nuqūl ʻAlī Afandī,,,,,,,
Kitāb al-Manār fī uṣūl al-fiqh al-Ḥanafīyah /,كتاب المنار في اصول الفقه الحنفية /,Manār al-anwār,منار الانوار,Manār al-anwār;Text on jurisprudence,Q64061;Q64062,,
al-Jild al-thānī min Tuḥfat al-ḥarīṣ fī sharḥ al-Talkhīṣ,الجلد الثاني من تحفة الحريص في شرح التلخيص,Tuḥfat al-ḥarīṣ fī sharḥ al-Talkhīṣ,تحفة الحريص في شرح التلخيص,Tuḥfat al-ḥarīṣ fī sharḥ al-Talkhīṣ,Q64063,,
Tabyīn al-ḥaqāʼiq min sharḥ Kanz al-daqāʼiq,تبيين الحقائق من شرح كنز الدقائق,Tabyīn al-ḥaqāʼiq,تبيين الحقائق,Tabyīn al-ḥaqāʼiq,Q64064,,
Kanz al-wuṣūl ilá maʻrifat al-uṣūl,كنز الوصول الى معرفة الصول,,,Kanz al-wuṣūl ilá maʻrifat al-uṣūl,Q63861,,
Kitāb Jāmiʻ al-ṣaghīr,كتاب جامع الصغير,,,Kitāb Jāmiʻ al-ṣaghīr,Q64065,,
Kitāb Khulāṣat al-fatāwá,كتاب خلاصة الفتاوى,Khulāṣat al-fatāwá,خلاصة الفتاوى,Khulāṣat al-fatāwá,Q63862,,
al-Juzʼ al-awwal [al-thānī] min Khulāṣat al-fatāwá,الجزء الاول الثاني من خلاصة الفتاوى,Khulāṣat al-fatāwá,خلاصة الفتاوى,Khulāṣat al-fatāwá,Q63862,,
Kitāb al-Bidāyah ʻalá madhhab Imām al-aʻẓam Abī Ḥanīfah,كتاب البداية على مذهب امام الاعظم ابي حنيفة,Bidāyat al-mubtadiʼ,بداية المبتدئ,Bidāyat al-mubtadiʼ,Q63863,,
al-Jild al-awwal min Kitāb Hidāyah hiya sharḥ al-Bidāyah /,الجلد الاول من كتاب هداية هي شرح البداية /,Hidāyah,هداية,Hidayah,Q39473,,
al-Daftar al-awwal min al-Hidāyah,الدفتر الاول من الهداية,Hidāyah,هداية,Hidayah,Q39473,,
Qunyat al-munyah li-tatmīm al-ghunyah,قنية المنية لتتميم الغنية,,,Qunyat al-munyah li-tatmīn al-Ghunyah,Q63864,,
al-Juzʼ al-thānī min al-ʻInāyah fī sharḥ al-Hidāyah,الجزء الثاني من العناية في شرح الهداية,ʻInāyah sharḥ al-hidāyah,عناية شرح الهداية,ʻInāyah sharḥ al-hidāyah,Q63865,,
Fuṣūl al-ʻImādī,فصول العمادي,Fuṣūl al-iḥkām fī uṣūl al-aḥkām,فصول الاحكام في اصول الاحكام,Fuṣūl al-iḥkām fī uṣūl al-aḥkām,Q63866,,
Kitāb Fuṣūl al-iḥkām ʻalá madhhab Abī Ḥanīfah raḍiya Allāh taʻālá ʻanhu /,كتاب فصول الاحكام على مذهب ابي حنيفة رضي الله تعالى عنه /,Fuṣūl al-iḥkām fī uṣūl al-aḥkām,فصول الاحكام في اصول الاحكام,Fuṣūl al-iḥkām fī uṣūl al-aḥkām,Q63866,,
Sharḥ al-Wiqāyah ... [etc,شرح الوقاية ... الخ,,,Sharḥ al-Wiqāyah,Q11990,,
Fatāwá ... [etc,فتاوى ... الخ,,,Fatāwá,Q12221,,
Zubdat al-farāʼiḍ ... [etc,زبدة الفرائض ... الخ,,,,,,
Risālah fī al-jahr bi-al-dhikr wa-al-taghannī ... [etc,رسالة في الجهر بالذكر والتغني ... الخ,,,,,,
al-Tadhkirah al-muʻaẓẓamīyah fī al-aḥkām al-sharʻīyah,التذكرة المعظمية في الاحكام الشرعية,Tadhkirah al-muʻaẓẓamīyah,تذكرة المعظمية,,,,
Kitāb Ḥayrat al-fuqahāʼ,كتاب حيرة الفقهاء,Ḥayrat al-fuqahāʼ,حيرة الفقهاء,Ḥayrat al-fuqahāʼ;Text on jurisprudence,Q64066;Q64062,,
Khizānat al-fiqh,خزانة الفقه,,,Khizānat al-fiqh,Q12014,,
Incomplete text on the finances of the dīwān al-māl and awqāf,,,,Finances of the dīwān al-māl and awqāf,Q64067,,
Tahdhīb al-manṭiq wa-al-kalām ... [etc,تهذيب المنطق والكلام ... الخ,,,Tahdhīb al-manṭiq wa-al-kalām,Q64068,,
Ḥāshiyah ʻalá Maṭāliʻ al-anẓār ... [etc,حاشية على مطالع الانظار ... الخ,,,,,,
Tartīb al-Jāmiʻ al-ṣaghīr ... [etc,ترتيب الجامع الصغير ... الخ,,,Tartīb al-Jāmiʻ al-ṣaghīr,Q12251,,
Kitāb al-ḥudūd wa-al-aḥkām ... [etc,كتاب الحدود والاحكام ... الخ,,,Kitāb al-ḥudūd wa-al-aḥkām,Q63867,,
al-Jild al-thānī min al-Hidāyah,الجلد الثاني من الهداية,Hidāyah,هداية,Hidayah,Q39473,,
Sharḥ al-Fiqh al-akbar ... [etc.,شرح الفقه الاكبر ... الخ,,,Sharḥ al-Fiqh al-akbar,Q63868,,
