genre_as_recorded,vocab,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
"Manuscripts, Arabic--20th century",lcsh,,,,,"Manuscripts, Arabic;Twentieth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1159810,Q256;Q5942
"Manuscripts, Arabic--17th century",lcsh,,,,,"Manuscripts, Arabic;Seventeenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1113663,Q256;Q2771
Illuminated manuscripts--Islamic countries--17th century,aat,,,,,illuminated manuscripts;Islamic countries;Seventeenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1244130;http://id.worldcat.org/fast/1113663,Q4268;Q2810;Q2771
Headpieces (layout features)--Islamic countries--17th century,aat,,,,,headpieces (layout features);Islamic countries;Seventeenth century,http://vocab.getty.edu/aat/300207342;http://id.worldcat.org/fast/1244130;http://id.worldcat.org/fast/1113663,Q11536;Q2810;Q2771
"Manuscripts, Arabic--18th century",lcsh,,,,,"Manuscripts, Arabic;Eighteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/904058,Q256;Q3024
"Manuscripts, Arabic--16th century",lcsh,,,,,"Manuscripts, Arabic;Sixteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1119851,Q256;Q335
"Manuscripts, Arabic--Egypt--16th century",lcsh,,"Manuscripts, Arabic;Egypt;Sixteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1208755;http://id.worldcat.org/fast/1119851,Q256;Q11259;Q335,,,
"Manuscripts, Arabic--Egypt--Cairo--Jāmiʻ al-Azhar--16th century",lcsh,,"Manuscripts, Arabic;Egypt--Cairo;Jāmiʻ al-Azhar;Sixteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1205204;http://id.worldcat.org/fast/560467;http://id.worldcat.org/fast/1119851,Q256;Q11261;Q64093;Q335,,,
"Manuscripts, Persian--18th century",lcsh,,,,,"Manuscripts, Persian;Eighteenth century",http://id.worldcat.org/fast/1008462;http://id.worldcat.org/fast/904058,Q255;Q3024
"Manuscripts, Arabic--14th century",lcsh,,,,,"Manuscripts, Arabic;Fourteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/933420,Q256;Q295
"Manuscripts, Arabic--15th century",lcsh,,,,,"Manuscripts, Arabic;Fifteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/923962,Q256;Q154
"Manuscripts, Arabic--Jerusalem--Masjid al-Aqṣá--14th century",lcsh,,"Manuscripts, Arabic;Middle East--Jerusalem;Masjid al-Aqṣá (Jerusalem);Fourteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1216276;http://id.worldcat.org/fast/578676;http://id.worldcat.org/fast/933420,Q256;Q7086;Q11142;Q295,,,
"Manuscripts, Arabic--Jerusalem--14th century",lcsh,,"Manuscripts, Arabic;Middle East--Jerusalem;Fourteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1216276;http://id.worldcat.org/fast/933420,Q256;Q7086;Q295,,,
"Manuscripts, Arabic--Egypt--Cairo--15th century",lcsh,,,,,"Manuscripts, Arabic;Egypt--Cairo;Fifteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1205204;http://id.worldcat.org/fast/923962,Q256;Q11261;Q154
Islamic bookbinding--15th century,lcsh,,,,,Islamic bookbinding;Fifteenth century,http://id.worldcat.org/fast/1730288;http://id.worldcat.org/fast/923962,Q11127;Q154
Illuminated title pages--Islamic empire--15th century,,,,,,illuminations (paintings);title pages;Islamic Empire;Fifteenth century,http://vocab.getty.edu/aat/300264522;http://vocab.getty.edu/aat/300055033;http://id.worldcat.org/fast/1244134;http://id.worldcat.org/fast/923962,Q225;Q20371;Q11211;Q154
"Manuscripts, Arabic--Turkey--Amasya--15th century",lcsh,,"Manuscripts, Arabic;Turkey--Amasya (Amasya İli);Fifteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1317494;http://id.worldcat.org/fast/923962,Q256;Q64102;Q154,,,
Islamic bookbinding--Turkey--15th century,lcsh,,Islamic bookbinding;Turkey;Fifteenth century,http://id.worldcat.org/fast/1730288;http://id.worldcat.org/fast/1208963;http://id.worldcat.org/fast/923962,Q11127;Q4294;Q154,,,
"Manuscripts, Arabic--Syria--Aleppo--15th century",lcsh,,,,,"Manuscripts, Arabic;Syria--Aleppo;Fifteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1213345;http://id.worldcat.org/fast/923962,Q256;Q54953;Q154
Illuminated manuscripts--Islamic empire--15th century,aat,,,,,illuminated manuscripts;Islamic Empire;Fifteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1244134;http://id.worldcat.org/fast/923962,Q4268;Q11211;Q154
Islamic bookbinding,lcsh,,,,,Islamic bookbinding,http://id.worldcat.org/fast/1730288,Q11127
Waqf--Books,lcsh,,,,,Waqf;Books,http://id.worldcat.org/fast/1170323;http://id.worldcat.org/fast/836401,Q11403;Q40000
Illuminated manuscripts--Islamic Empire--15th century,aat,,,,,illuminated manuscripts;Islamic Empire;Fifteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1244134;http://id.worldcat.org/fast/923962,Q4268;Q11211;Q154
Waqf--Books--Syria--Damascus--Ṣāliḥīyah,lcsh,,Waqf;Books;Syria--Damascus;Syria--Ṣāliḥīyah,http://id.worldcat.org/fast/1170323;http://id.worldcat.org/fast/836401;http://id.worldcat.org/fast/1207112;http://id.worldcat.org/fast/1282383,Q11403;Q40000;Q11409;Q64100,,,
Islamic bookbinding--Syria--15th century,lcsh,,Islamic bookbinding;Syria;Fifteenth century,http://id.worldcat.org/fast/1730288;http://id.worldcat.org/fast/1208757;http://id.worldcat.org/fast/923962,Q11127;Q11447;Q154,,,
