name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Majlisī, Muḥammad Taqī ibn Maqṣūd ʻAlī, 1594 or 5-1659 or 60",author,,,,,,,,human,Muḥammad Taqī ibn Maqṣūd ʻAlī Majlisī,Q129453266,Q49341
"Ḥurr al-ʻĀmilī, Muḥammad ibn al-Ḥasan, 1624-1693",author,حر العاملي، محمد بن الحسن، 1624-1693,,human,Al-Hurr al-Aamili,Q3777119,DSNAME7509,Q67795,,,,
"Ṭūsī, Muḥammad ibn al-Ḥasan, 995-1067",author,طوسي، محمد بن الحسن، 995-1067,,human,Shaykh Tusi,Q4116347,DSNAME7510,Q67796,,,,
"Tirmidhī, Muḥammad ibn ʻĪsá, -892",author,ترمذي، محمد بن عيسى,,,,,,,human,Abu Isa at-Tirmidhi,Q293578,Q12384
"Laqānī, Ibrāhīm ibn Ibrāhīm, -1631 or 1632",author,لقاني، ابراهيم بن ابراهيم,,human,al-Laqānī,Q6831771,DSNAME7511,Q67797,,,,
"Munāwī, ʻAbd al-Raʼūf ibn Tāj al-ʻĀrifīn, -1621",author,مناوي، عبد الرأوف بن تاج العارفين,http://id.loc.gov/authorities/names/n80013467,,,,,,human,Muhammad al-Munawi,Q3594807,Q12413
"Suyūṭī, 1445-1505",author,سيوطي,http://id.loc.gov/authorities/names/n80081636,,,,,,human,Jalal al-Din al-Suyuti,Q468432,Q10868
Suyūṭī,author,سيوطي,,human,Jalal al-Din al-Suyuti,Q468432,DSNAME3178,Q10868,,,,
"Shāmil, Imām, 1798?-1871",former owner,,,,,,,,human,Imam Shamil,Q244742,Q54324
"Ṭabarsī, al-Faḍl ibn al-Ḥasan, -1153",author,طبرسي، الفضل بن الحسن، -1153,,,,,,,human,Shaykh Tabarsi,Q1990225,Q49072
"Sharīf al-Raḍī, Muḥammad ibn al-Ḥusayn, 969 or 970-1016",author,,,human,Sharif Radhi,Q130561,DSNAME7512,Q67798,,,,
