genre_as_recorded,vocab,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Decrees,aat,,,,,decrees,http://vocab.getty.edu/aat/300026925,Q2789
Reports,aat,,,,,reports,http://vocab.getty.edu/aat/300027267,Q187
Manuscripts (documents),aat,,,,,manuscripts (documents),http://vocab.getty.edu/aat/300028569,Q10789
Correspondence,aat,,,,,correspondence,http://vocab.getty.edu/aat/300026877,Q7715
Diaries,aat,,,,,diaries,http://vocab.getty.edu/aat/300027112,Q7960
Travel literature,rbmscv,,Travel literature,http://id.loc.gov/vocabulary/rbmscv/cv01326,Q66687,,,
Beneventan minuscule,aat,,Beneventan minuscule,http://vocab.getty.edu/aat/300194411,Q38432,,,
Fragments (object portions),aat,,,,,fragments (object portions),http://vocab.getty.edu/aat/300117130,Q222
Amate paper,aat,,amate paper,http://vocab.getty.edu/aat/300264681,Q66688,,,
Dictionaries,aat,,,,,dictionaries,http://vocab.getty.edu/aat/300026186,Q2970
Sermons,aat,,,,,sermons,http://vocab.getty.edu/aat/300026669,Q3590
Catechisms,aat,,catechisms,http://vocab.getty.edu/aat/300026460,Q42423,,,
Prayers,aat,,,,,prayers (literary genre),http://vocab.getty.edu/aat/300026452,Q3062
Hymns,aat,,,,,hymns,http://vocab.getty.edu/aat/300167054,Q3548
Musical scores,aat,,scores (documents for music),http://vocab.getty.edu/aat/300026427,Q11225,,,
Manuscripts (document),aat,,manuscripts (documents),http://vocab.getty.edu/aat/300028569,Q10789,,,
History,fast,(OCoLC)fst01411628,,,,History,http://id.worldcat.org/fast/1411628,Q279
Annotations,rbmscv,,,,,Annotations,http://id.loc.gov/vocabulary/rbmscv/cv00102,Q2982
Manicules,rbmscv,,,,,Manicules,http://id.loc.gov/vocabulary/rbmscv/cv00248,Q5909
Protogothic,aat,,,,,Protogothic,http://vocab.getty.edu/aat/300379143,Q16405
Russia leather bindings,rbmscv,,,,,Russia leather bindings,http://id.loc.gov/vocabulary/rbmscv/cv00692,Q12527
Underscoring,rbmscv,,Underscoring,http://id.loc.gov/vocabulary/rbmscv/cv00274,Q66689,,,
Manuscript waste (Binding),rbbin,,,,,Manuscript waste,http://id.loc.gov/vocabulary/rbmscv/cv01568,Q5892
Detached leaves,aat,,,,,detached leaves,http://vocab.getty.edu/aat/300379890,Q2954
Manuscript waste,rbmscv,,,,,Manuscript waste,http://id.loc.gov/vocabulary/rbmscv/cv01568,Q5892
Antiphonaries,rbmscv,,Antiphonaries,http://id.loc.gov/vocabulary/rbmscv/cv00118,Q10815,,,
Illuminated manuscripts,aat,,,,,illuminated manuscripts,http://vocab.getty.edu/aat/300265483,Q4268
Graduals,rbmscv,,,,,Graduals,http://id.loc.gov/vocabulary/rbmscv/cv01414,Q10816
Textura (Gothic script),aat,,,,,textura (Gothic script),http://vocab.getty.edu/aat/300202638,Q10787
Brass bosses (Binding),rbmscv,,Brass bosses (Binding),http://id.loc.gov/vocabulary/rbmscv/cv00446,Q42541,,,
Painted leather bindings,rbmscv,,Painted leather bindings,http://id.loc.gov/vocabulary/rbmscv/cv00616,Q66690,,,
Guide letters,aat,,guide letters,http://vocab.getty.edu/aat/300233692,Q66691,,,
Papyri (manuscripts),aat,,papyri (manuscripts),http://vocab.getty.edu/aat/300055047,Q38517,,,
Passports,aat,,passports,http://vocab.getty.edu/aat/300027392,Q66692,,,
Seals,rbmscv,,,,,Seals,http://id.loc.gov/vocabulary/rbmscv/cv00267,Q16345
Accounts,aat,,,,,accounts,http://vocab.getty.edu/aat/300145802,Q178
Vellum wrappers,rbmscv,,Vellum wrappers,http://id.loc.gov/vocabulary/rbmscv/cv00685,Q27367,,,
Wrappers,rbmscv,,Wrappers,http://id.loc.gov/vocabulary/rbmscv/cv00477,Q27360,,,
Vellum bindings,rbmscv,,,,,Vellum bindings,http://id.loc.gov/vocabulary/rbmscv/cv00543,Q5878
Academic dissertations,rbmscv,,Academic dissertations,http://id.loc.gov/vocabulary/rbmscv/cv00955,Q66693,,,
Bookplates,rbmscv,,,,,Bookplates,http://id.loc.gov/vocabulary/rbmscv/cv00138,Q5847
Shelf marks,rbmscv,,,,,Shelf marks,http://id.loc.gov/vocabulary/rbmscv/cv00268,Q16356
Early works,fast,(OCoLC)fst01411636,,,,Early works,http://id.worldcat.org/fast/1411636,Q300
Handbooks and manuals,fast,(OCoLC)fst01423877,,,,Handbooks and manuals,http://id.worldcat.org/fast/1423877,Q212
Specimens,fast,(OCoLC)fst01423861,,,,Specimens,http://id.worldcat.org/fast/1423861,Q239
Alphabet books,rbmscv,,Alphabet books,http://id.loc.gov/vocabulary/rbmscv/cv00079,Q66694,,,
Concordances,aat,,concordances,http://vocab.getty.edu/aat/300026537,Q66695,,,
Indexes,aat,,,,,indexes (reference sources),http://vocab.getty.edu/aat/300026554,Q6971
Blind tooled bindings,rbmscv,,,,,Blind tooled bindings,http://id.loc.gov/vocabulary/rbmscv/cv00632,Q5877
Calf bindings,rbmscv,,,,,Calf bindings,http://id.loc.gov/vocabulary/rbmscv/cv00454,Q12556
Coats of arms,gmgpc,,,,,Heraldry,http://id.worldcat.org/fast/955273,Q4275
Sermons,rbmscv,,,,,Sermons,http://id.loc.gov/vocabulary/rbmscv/cv00099,Q38542
Manuscript waste (Binding),rbmscv,,Manuscript waste,http://id.loc.gov/vocabulary/rbmscv/cv01568,Q12559,,,
Account books,aat,,,,,account books,http://vocab.getty.edu/aat/300027483,Q4178
Psalters,rbmscv,,,,,Psalters,http://id.loc.gov/vocabulary/rbmscv/cv01544,Q38532
Morocco bindings,rbmscv,,,,,Morocco bindings,http://id.loc.gov/vocabulary/rbmscv/cv00548,Q12652
Prayer books,aat,,,,,prayer books,http://vocab.getty.edu/aat/300026476,Q6896
Leases,aat,,,,,leases,http://vocab.getty.edu/aat/300027755,Q4287
