material_as_recorded,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
parchment,,,,parchment,http://vocab.getty.edu/aat/300011851,Q33
"amatl paper, color illustrations",amate paper,http://vocab.getty.edu/aat/300264681,Q22,,,
maguey paper,paper,http://vocab.getty.edu/aat/300014109,Q31,,,
"parchment, color illustrations",,,,parchment,http://vocab.getty.edu/aat/300011851,Q33
papyrus,,,,papyrus,http://vocab.getty.edu/aat/300014127,Q32
vellum,,,,parchment,http://vocab.getty.edu/aat/300011851,Q33
"parchment, music",,,,parchment,http://vocab.getty.edu/aat/300011851,Q33
color illustrations,,,,,,
illustrations,,,,,,
"13 color illustrations, 3 color maps",,,,,,
"parchment, coats of arms (colored)",parchment,http://vocab.getty.edu/aat/300011851,Q33,,,
music,,,,,,
"parchment, color coat of arms, portraits",parchment,http://vocab.getty.edu/aat/300011851,Q33,,,
"parchment, color illustrations, coat of arms",parchment,http://vocab.getty.edu/aat/300011851,Q33,,,
"parchment, colored coat of arms",parchment,http://vocab.getty.edu/aat/300011851,Q33,,,
"parchment, colored coat of arms, portraits.",parchment,http://vocab.getty.edu/aat/300011851,Q33,,,
"parchment, port.",parchment,http://vocab.getty.edu/aat/300011851,Q33,,,
"parchment & paper, col. ill., coats of arms, genealogical tables, illuminations",parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,Q33;Q31,,,
"parchment, col. ill., coat of arms, ports.",parchment,http://vocab.getty.edu/aat/300011851,Q33,,,
"parchment, col. ill.",,,,parchment,http://vocab.getty.edu/aat/300011851,Q33
"parchment, col. ill, coat of arms, port.",parchment,http://vocab.getty.edu/aat/300011851,Q33,,,
"parchment, color illustrations, 5 coats of arms, 1 genealogical table",parchment,http://vocab.getty.edu/aat/300011851,Q33,,,
"parchment, col. ill., coat of arms",parchment,http://vocab.getty.edu/aat/300011851,Q33,,,
"colored coat of arms, portrait",,,,,,
"parchment, color illustrations, coat of arms, portraits",parchment,http://vocab.getty.edu/aat/300011851,Q33,,,
"parchment, color coats of arms",parchment,http://vocab.getty.edu/aat/300011851,Q33,,,
parchment and paper,,,,parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,Q33;Q31
"parchment, col. ill., coats of arms",parchment,http://vocab.getty.edu/aat/300011851,Q33,,,
"parchment, illustrations",,,,parchment,http://vocab.getty.edu/aat/300011851,Q33
paper,,,,paper,http://vocab.getty.edu/aat/300014109,Q31
"paper, illustrated",,,,paper,http://vocab.getty.edu/aat/300014109,Q31
"paper, illustrations",,,,paper,http://vocab.getty.edu/aat/300014109,Q31
"parchment, paper",,,,parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,Q33;Q31
manuscript,,,,,,
"manuscript, parchment",parchment,http://vocab.getty.edu/aat/300011851,Q33,,,
tempera and gold on vellum,parchment,http://vocab.getty.edu/aat/300011851,Q33,,,
vellum and paper,,,,parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,Q33;Q31
illus.,,,,,,
ill.,,,,,,
"parchment, illustrations (diagrams)",parchment,http://vocab.getty.edu/aat/300011851,Q33,,,
"hand col., vellum",parchment,http://vocab.getty.edu/aat/300011851,Q33,,,
"illustrations, 12 hand color ms. maps, vellum",parchment,http://vocab.getty.edu/aat/300011851,Q33,,,
"hand col., parchment",parchment,http://vocab.getty.edu/aat/300011851,Q33,,,
"9 maps, 2 ill., hand col. vellum",parchment,http://vocab.getty.edu/aat/300011851,Q33,,,
"6 hand col. maps, parchment",parchment,http://vocab.getty.edu/aat/300011851,Q33,,,
"5 hand col. maps, vellum",parchment,http://vocab.getty.edu/aat/300011851,Q33,,,
"6 maps, 1 ill., hand col. parchment",parchment,http://vocab.getty.edu/aat/300011851,Q33,,,
"15 maps, hand col. parchment",parchment,http://vocab.getty.edu/aat/300011851,Q33,,,
hand col.,,,,,,
"24 maps, 3 ill., 6 tables, hand col. parchment",parchment,http://vocab.getty.edu/aat/300011851,Q33,,,
illustrations (coats of arms),,,,,,
"paper, diagram",paper,http://vocab.getty.edu/aat/300014109,Q31,,,
color coat of arms,,,,,,
ill,,,,,,
"parchment, paper, illustrations",parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,Q33;Q31,,,
plans,,,,,,
"paper, illuminations",,,,paper,http://vocab.getty.edu/aat/300014109,Q31
"parchment, illuminations",,,,parchment,http://vocab.getty.edu/aat/300011851,Q33
ilustrations.,,,,,,
"parchment, ill.",,,,parchment,http://vocab.getty.edu/aat/300011851,Q33
"parchment, ill., music",,,,parchment,http://vocab.getty.edu/aat/300011851,Q33
"parchment, illustrations, music",,,,parchment,http://vocab.getty.edu/aat/300011851,Q33
"paper, parchment",,,,paper;parchment,http://vocab.getty.edu/aat/300014109;http://vocab.getty.edu/aat/300011851,Q31;Q33
"parchment, illustrations.",,,,parchment,http://vocab.getty.edu/aat/300011851,Q33
"illustrations, parchment",parchment,http://vocab.getty.edu/aat/300011851,Q33,,,
hand-colored illustrations (woodcut),,,,,,
"vellum, col. ill., music",,,,parchment,http://vocab.getty.edu/aat/300011851,Q33
"parchment and paper, col. ill., coat of arms",parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,Q33;Q31,,,
"parchment and paper, music",parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109,Q33;Q31,,,
illustrations (some color),,,,,,
"ill., coats of arms (hand-col.)",,,,,,
