subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
"Galíndez de Carvajal, Lorenzo, 1472-approximately 1528",0,a;d,,"Galíndez de Carvajal, Lorenzo, 1472-approximately 1528",http://id.worldcat.org/fast/1819699,Q66762,,,
"González de Carvajal, Diego",0,a,,,,,,,
"Juana, la Loca, Queen of Castile, 1479-1555",0,a;c;d,,"Juana, la Loca, Queen of Castile, 1479-1555",http://id.worldcat.org/fast/172880,Q66763,,,
"Pic̨arro, Diego",0,a,,,,,,,
"Cervantes, Juan de",0,a,,,,,,,
"Bacán, Hernando de",0,a,,,,,,,
Universidad de México--Faculty--History--16th century--Sources,0,a--x--x--y--v,,Universidad de México;Universities and colleges--Faculty;History;Sixteenth century;Sources,http://id.worldcat.org/fast/536738;http://id.worldcat.org/fast/1161748;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1119851;http://id.worldcat.org/fast/1423900,Q66764;Q66765;Q6879;Q335;Q2769,,,
"Sacchetti, Angiolo",0,a,,,,,,,
Catholic Church--Missions--Mexico--History--16th century--Sources,0,a--x--z--x--y--v,,Catholic Church;Missions;Mexico;History;Sixteenth century;Sources,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1023771;http://id.worldcat.org/fast/1211700;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1119851;http://id.worldcat.org/fast/1423900,Q310;Q6874;Q7744;Q6879;Q335;Q2769,,,
Catholic Church--Liturgy--History--16th century--Sources,0,a--x--x--y--v,,Catholic Church;Liturgics;History;Sixteenth century;Sources,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1000579;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1119851;http://id.worldcat.org/fast/1423900,Q310;Q207;Q6879;Q335;Q2769,,,
Catholic Church. Archdiocese of Mexico City (Mexico)--History--16th century--Sources,0,a;b--x--y--v,,Catholic Church. Archdiocese of Mexico City (Mexico);History;Sixteenth century;Sources,http://id.worldcat.org/fast/578790;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1119851;http://id.worldcat.org/fast/1423900,Q66766;Q6879;Q335;Q2769,,,
Catholic Church. Archdiocese of Oaxaca (Mexico)--History--16th century--Sources,0,a;b--x--y--v,,Catholic Church. Archdiocese of Oaxaca (Mexico);History;Sixteenth century;Sources,http://id.worldcat.org/fast/529513;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1119851;http://id.worldcat.org/fast/1423900,Q66767;Q6879;Q335;Q2769,,,
Catholic Church. Archdiocese of Guatemala (Guatemala)--History--16th century--Sources,0,a;b--x--y--v,,Catholic Church. Archdiocese of Guatemala (Guatemala);History;Sixteenth century;Sources,http://id.worldcat.org/fast/638417;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1119851;http://id.worldcat.org/fast/1423900,Q66768;Q6879;Q335;Q2769,,,
Guatemala. Audiencia--History--16th century--Sources,0,a;b--x--y--v,,Guatemala. Audiencia;History;Sixteenth century;Sources,http://id.worldcat.org/fast/603462;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1119851;http://id.worldcat.org/fast/1423900,Q66769;Q6879;Q335;Q2769,,,
"Tello de Guzmán, Francisco, d. 1603",0,a;d,,,,,,,
"Legaspi, Margarita de",0,a,,,,,,,
"Garcés, Teresa",0,a,,,,,,,
"López de Legaspi, Miguel, -1572",0,a;d,,,,,,,
"López de Legaspi, Miguel, -1572--Travel",0,a;d--x,,Travel,http://id.worldcat.org/fast/1155558,Q11139,,,
Catholic Church--Liturgy--Manuscripts,0,a--x--v,,Catholic Church;Liturgics;Manuscripts,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1000579;http://id.worldcat.org/fast/1424060,Q310;Q207;Q331,,,
Catholic Church--Liturgy--Texts,0,a--x--v,,,,,Catholic Church;Liturgics;Texts,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1000579;http://id.worldcat.org/fast/1423705,Q310;Q207;Q3066
"Bible. Epistles--Liturgical lessons, Nahuatl",0,a;p--v,,Bible. Epistles;Liturgical lessons;Nahuatl language,http://id.worldcat.org/fast/1892899;http://id.worldcat.org/fast/1424059;http://id.worldcat.org/fast/1032226,Q38595;Q66770;Q66771,,,
"Bible. Gospels--Liturgical lessons, Nahuatl",0,a;p--v,,Bible. Gospels;Liturgical lessons;Nahuatl language,http://id.worldcat.org/fast/1808065;http://id.worldcat.org/fast/1424059;http://id.worldcat.org/fast/1032226,Q5839;Q66770;Q66771,,,
Bible. Epistles--Liturgical use,0,a;p--x,,Bible. Epistles;Liturgics,http://id.worldcat.org/fast/1892899;http://id.worldcat.org/fast/1000579,Q38595;Q207,,,
Bible. Gospels--Liturgical use,0,a;p--x,,Bible. Gospels;Liturgics,http://id.worldcat.org/fast/1808065;http://id.worldcat.org/fast/1000579,Q5839;Q207,,,
Bible. Gospels--Study and teaching--Mexico,0,a;p--x--z,,Bible. Gospels;Mexico,http://id.worldcat.org/fast/1808065;http://id.worldcat.org/fast/1211700,Q5839;Q7744,,,
Catholic Church--Sermons,0,a--v,,,,,Catholic Church;Sermons,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1423904,Q310;Q180
Catholic Church--Doctrines,0,a--x,,,,,Catholic Church,http://id.worldcat.org/fast/531720,Q310
Catholic Church--Prayers and devotions--Cakchikel,0,a--v--x,,Catholic Church;Prayers and devotions;Cakchikel language,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1423909;http://id.worldcat.org/fast/843963,Q310;Q3052;Q66772,,,
Catholic Church--Prayers and devotions--Quiché,0,a--v--x,,Catholic Church;Prayers and devotions;Quiché language,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1423909;http://id.worldcat.org/fast/1085742,Q310;Q3052;Q66773,,,
Catholic Church--Prayers and devotions--Tzutuhil,0,a--v--x,,Catholic Church;Prayers and devotions;Tzutuhil language,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1423909;http://id.worldcat.org/fast/1160181,Q310;Q3052;Q66774,,,
Catholic Church--Hymns,0,a--v,,Catholic Church;Hymns,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1423701,Q310;Q6878,,,
Catholic Church--Doctrines--Early works to 1800,0,a--x--v,,,,,Catholic Church;Early works,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1411636,Q310;Q300
Catholic Church--Prayers and devotions--Tarascan,0,a--v--x,,Catholic Church;Prayers and devotions;Purépecha language,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1423909;http://id.worldcat.org/fast/1143091,Q310;Q3052;Q66775,,,
Catholic Church--Sermons--Early works to 1800,0,a--v--v,,,,,Catholic Church;Sermons;Early works,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1423904;http://id.worldcat.org/fast/1411636,Q310;Q180;Q300
"Hannibal, 247 B.C.-182 B.C.",0,a;d,,"Hannibal, 247 B.C.-182 B.C.",http://id.worldcat.org/fast/1822775,Q66776,,,
"Hannibal, 247 B.C.-182 B.C.",fast,a;d,(OCoLC)fst01822775,"Hannibal, 247 B.C.-182 B.C.",http://id.worldcat.org/fast/1822775,Q66776,,,
Punic War (2nd) (218-201 B.C.),fast,a;d,(OCoLC)fst01084093,Punic War (2nd) (218-201 B.C.),http://id.worldcat.org/fast/1084093,Q39060,,,
Catholic Church--Liturgy,0,a--x,,,,,Catholic Church;Liturgics,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1000579,Q310;Q207
Ten commandments--Early works to 1800,0,a--v,,Ten commandments;Early works,http://id.worldcat.org/fast/1356139;http://id.worldcat.org/fast/1411636,Q3619;Q300,,,
Catholic Church--Liturgy--Texts--Early works to 1800,0,a--x--v--v,,,,,Catholic Church;Liturgics;Texts;Early works,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1000579;http://id.worldcat.org/fast/1423705;http://id.worldcat.org/fast/1411636,Q310;Q207;Q3066;Q300
Franciscans--Liturgy--Texts--Early works to 1800,0,a--x--v--v,,,,,Franciscans;Liturgics;Texts;Early works,http://id.worldcat.org/fast/530004;http://id.worldcat.org/fast/1000579;http://id.worldcat.org/fast/1423705;http://id.worldcat.org/fast/1411636,Q5840;Q207;Q3066;Q300
Franciscans--Prayers and devotions--Early works to 1800,0,a--v--v,,Franciscans;Prayers and devotions;Early works,http://id.worldcat.org/fast/530004;http://id.worldcat.org/fast/1423909;http://id.worldcat.org/fast/1411636,Q5840;Q3052;Q300,,,
Catholic Church--Prayers and devotions--Early works to 1800,0,a--v--v,,,,,Catholic Church;Prayers and devotions;Early works,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1423909;http://id.worldcat.org/fast/1411636,Q310;Q3052;Q300
Homer--Manuscripts,0,a--x,,Homer;Manuscripts,http://id.worldcat.org/fast/29137;http://id.worldcat.org/fast/1008230,Q66777;Q38609,,,
"Mary, Queen of Scots, 1542-1587--Death and burial",0,a;c;d--x,,"Mary, Queen of Scots, 1542-1587;Death and burial of a person",http://id.worldcat.org/fast/53298;http://id.worldcat.org/fast/1185273,Q38730;Q7747,,,
"Fotheringhay Castle (Fotheringhay, England)--History--16th century",0,a--x--y,,"Fotheringhay Castle (Fotheringhay, England);History;Sixteenth century",http://id.worldcat.org/fast/2024689;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1119851,Q66778;Q6879;Q335,,,
"Naper, Alexander",0,a,,,,,,,
"Bruse, Andrew",0,a,,,,,,,
"Nau, Claude, sieur de la Boisselière, active 1574-1605--Correspondence",0,a;c;d--v,,Correspondence,http://id.worldcat.org/fast/2003288,Q5829,,,
"Mary, Queen of Scots, 1542-1587",0,a;c;d,,,,,"Mary, Queen of Scots, 1542-1587",http://id.worldcat.org/fast/53298,Q38730
"Elizabeth I, Queen of England, 1533-1603",0,a;b;c;d,,,,,"Elizabeth I, Queen of England, 1533-1603",http://id.worldcat.org/fast/39609,Q38649
"Stuart, House of",0,a,,"Stuart, House of",http://id.worldcat.org/fast/219793,Q66779,,,
Catholic Church--Prayers and devotions--Latin,0,a--v--x,,,,,Catholic Church;Prayers and devotions;Latin language,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1423909;http://id.worldcat.org/fast/993125,Q310;Q3052;Q4170
"Fuchs, Leonhart, 1501-1566. De curandi ratione libri VIII",0,a;d;t,,,,,,,
Université de Dole--Faculty--History--16th century,0,a--x--x--y,,Universities and colleges--Faculty;History;Sixteenth century,http://id.worldcat.org/fast/1161748;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1119851,Q66765;Q6879;Q335,,,
Hieronymites--Rules--Early works to 1800,0,a--x--v,,Hieronymites;Rules;Early works,http://id.worldcat.org/fast/576029;http://id.worldcat.org/fast/1423857;http://id.worldcat.org/fast/1411636,Q38677;Q4910;Q300,,,
Hieronymites--Spiritual life--Early works to 1800,0,a--x--v,,Hieronymites;Spiritual life;Early works,http://id.worldcat.org/fast/576029;http://id.worldcat.org/fast/1130100;http://id.worldcat.org/fast/1411636,Q38677;Q7088;Q300,,,
Aristotle. De generatione et corruptione,0,a;t,,,,,De generatione et corruptione (Aristotle),http://id.worldcat.org/fast/1357327,Q2987
Aristotle. Posterior analytics,0,a;t,,,,,Posterior analytics (Aristotle),http://id.worldcat.org/fast/1356595,Q332
Aristotle. De anima,0,a;t,,De anima (Aristotle),http://id.worldcat.org/fast/1356409,Q4774,,,
Carthusians--Germany--Würzburg--Doctrines--Early works to 1800,0,a--z--z--x--v,,Carthusians;Germany--Würzburg;Early works,http://id.worldcat.org/fast/554888;http://id.worldcat.org/fast/1210551;http://id.worldcat.org/fast/1411636,Q4205;Q66780;Q300,,,
"Bible. Gospels--Manuscripts, Greek",0,a;p--x,,"Bible. Gospels;Manuscripts, Greek",http://id.worldcat.org/fast/1808065;http://id.worldcat.org/fast/1008349,Q5839;Q3512,,,
Aristotle--Philosophy--Study and teaching--Early works to 1800,0,a--x--x--v,,Aristotle;Philosophy--Study and teaching;Early works,http://id.worldcat.org/fast/29885;http://id.worldcat.org/fast/1060810;http://id.worldcat.org/fast/1411636,Q296;Q66781;Q300,,,
"Aristotle--Philosophy--Outlines, syllabi, etc",0,a--x--v,,Aristotle;Philosophy;Outlines and syllabi,http://id.worldcat.org/fast/29885;http://id.worldcat.org/fast/1060777;http://id.worldcat.org/fast/1423836,Q296;Q5883;Q27101,,,
Catholic Church--History--13th century,0,a--x--y,,,,,Catholic Church;History;Thirteenth century,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1411628;http://id.worldcat.org/fast/1150138,Q310;Q279;Q245
"Ptolemy, active 2nd century. Geographia",0,a;d;t,,Geographia (Ptolemy),http://id.worldcat.org/fast/1356842,Q66782,,,
"Zacuto, Abraham ben Samuel, approximately 1450- Almanach perpetuum celestium motuum",0,a;d;t,,"Almanach perpetuum celestium motuum (Zacuto, Abraham ben Samuel)",http://id.worldcat.org/fast/1356666,Q66783,,,
"Regiomontanus, Joannes, 1436-1476. Calendarium",0,a;d;t,,,,,,,
"Bible--Concordances, Latin--Early works to 1800",0,a--v--v,,Bible;Concordances;Early works,http://id.worldcat.org/fast/1356024;http://id.worldcat.org/fast/1423768;http://id.worldcat.org/fast/1411636,Q4267;Q66784;Q300,,,
"Caesar, Julius. De bello Gallico",0,a;t,,"De bello Gallico (Caesar, Julius)",http://id.worldcat.org/fast/1356804,Q66785,,,
"Isidore, of Seville, Saint, -636. Historia de regibus Gothorum, Vandalorum, et Suevorum",0,a;c;d;t,,"Historia de regibus Gothorum, Vandalorum, et Suevorum (Isidore, of Seville, Saint)",http://id.worldcat.org/fast/1384107,Q66786,,,
Catholic Church--Prayers and devotions--Latin--Early works to 1800,0,a--v--x--v,,,,,Catholic Church;Prayers and devotions;Latin language;Early works,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1423909;http://id.worldcat.org/fast/993125;http://id.worldcat.org/fast/1411636,Q310;Q3052;Q4170;Q300
Augustinians--Liturgy--Texts--Early works to 1800,0,a--x--v--v,,Augustinians;Liturgics;Texts;Early works,http://id.worldcat.org/fast/549127;http://id.worldcat.org/fast/1000579;http://id.worldcat.org/fast/1423705;http://id.worldcat.org/fast/1411636,Q7391;Q207;Q3066;Q300,,,
"Francesco I, Grand-Duke of Tuscany, 1541-1587--Correspondence",0,a;b;c;d--v,,"Francesco I, Grand-Duke of Tuscany, 1541-1587;Correspondence",http://id.worldcat.org/fast/34274;http://id.worldcat.org/fast/2003288,Q6960;Q5829,,,
"Francesco I, Grand-Duke of Tuscany, 1541-1587--Autographs",0,a;b;c;d--v,,"Francesco I, Grand-Duke of Tuscany, 1541-1587;Autographs",http://id.worldcat.org/fast/34274;http://id.worldcat.org/fast/1423715,Q6960;Q7185,,,
