name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
Spain. Sovereign (1516-1556 : Charles I),author,,,,,,,,organization;human,Spain;Charles V,Q29;Q32500,Q392;Q7656
Spain. Sovereign (1598-1621 : Philip III),author,,,,,,,,organization;human,Spain;Philip III of Spain,Q29;Q34464,Q392;Q41700
"Zumárraga, Juan de, 1468-1548",author,,,human,Juan de Zumárraga,Q442901,DSNAME7255,Q67501,,,,
Spain. Sovereign (1556-1598 : Philip II),author,,,,,,,,organization;human,Spain;Philip II of Spain,Q29;Q34417,Q392;Q17780
"Tello de Guzmán, Francisco, d. 1603",author,,,human,Francisco de Tello de Guzmán,Q1950286,DSNAME7270,Q67516,,,,
Catholic Church,author,,http://viaf.org/viaf/130782063,,,,,,organization,Catholic Church,Q9592,Q425
"Valdez, Felipe de",former owner,,,human,Felipe de Valdez,Q131623156,DSNAME7130,Q67376,,,,
"Inquaci, Adán",former owner,,,human,Adán Inquaci,Q131623157,DSNAME7131,Q67377,,,,
"Brasseur de Bourbourg, abbé, 1814-1874",former owner,,,human,Charles Étienne Brasseur de Bourbourg,Q1066666,DSNAME4466,Q40911,,,,
"Nebrija, Antonio de, 1444?-1522",author,,,human,Antonio de Nebrija,Q380804,DSNAME2792,Q20111,,,,
"Bernardino, de Sahagún, 1499-1590",author,,,human,Bernardino de Sahagún,Q379972,DSNAME7279,Q67525,,,,
"Ramírez, José Fernando, 1804-1871",former owner,,,human,José Fernando Ramírez,Q3186280,DSNAME7280,Q67526,,,,
"Chavero, Alfredo, 1841-1906",former owner,,,human,Alfredo Chavero,Q2408299,DSNAME7281,Q67527,,,,
"Fernández del Castillo, Manuel",former owner,,,human,Manuel Fernández del Castillo,Q131623158,DSNAME7132,Q67378,,,,
"Ayer, Edward Everett, 1841-1927",former owner,,,human,Edward E. Ayer,Q5342686,DSNAME7282,Q67528,,,,
"Ximénez, Francisco, 1666-approximately 1722",author,,,human,Francisco Ximénez,Q924415,DSNAME7283,Q67529,,,,
"Pinart, A. L. 1852-1911",former owner,,,human,Alphonse Pinart,Q2839943,DSNAME7284,Q67530,,,,
"Cáncer, Luis, -1549",author,,,human,Luis Cancer,Q6700403,DSNAME7285,Q67531,,,,
"Meneses, Felipe de",author,,,human,Felipe de Meneses,Q93287703,DSNAME7286,Q67532,,,,
"Olivera, Lorenzo de",former owner,,,human,Lorenzo de Olivera,Q131623159,DSNAME7133,Q67379,,,,
"Mendez, Esteban",former owner,,,human,Esteban Mendez,Q131623160,DSNAME7134,Q67380,,,,
"Ara, Domingo de",author,,,human,Domingo de Ara,Q131623161,DSNAME7135,Q67381,,,,
"Llorente, Diego",former owner,,,human,Diego Llorente,Q131623162,DSNAME7136,Q67382,,,,
Livy,author,,,,,,,,human,Titus Livius,Q2039,Q1947
"Palladio degli Olivi, Lucrezio",former owner,,,human,Lucrezio Palladio degli Olivi,Q131623163,DSNAME7137,Q67383,,,,
"Castelvetro, Giacomo, 1546-1616",author,,,human,Giacomo Castelvetro,Q15441254,DSNAME7287,Q67533,,,,
"Silver, Louis H",former owner,,,human,Louis H. Silver,Q120691896,DSNAME2454,Q17663,,,,
Homer,author,,,,,,,,human,Homer,Q6691,Q40898
"Beale, Robert, 1541-1601",author,,,human,Robert Beale,Q5639235,DSNAME7288,Q67534,,,,
"FitzSimmons, James Albert",former owner,,,human,James Albert FitzSimmons,Q131623164,DSNAME7138,Q67384,,,,
"James V, King of Scotland, 1512-1542",author,,,human,James V of Scotland,Q137814,DSNAME7289,Q67535,,,,
"Nau, Claude, sieur de la Boisselière, fl. 1574-1605",author,,,human,Claude Nau,Q5128974,DSNAME7290,Q67536,,,,
"Pugin, Augustus Welby Northmore, 1812-1852",former owner,,,human,Augustus Pugin,Q313288,DSNAME7291,Q67537,,,,
"Froissard, Pierre, -1599",author,,,human,Pierre Froissard,Q131623165,DSNAME7139,Q67385,,,,
"Jerome, Saint, -419 or 420",author,,,,,,,,human,Jerome,Q44248,Q898
"Clerici, Luigi",former owner,,,human,Luigi Clerici,Q131623166,DSNAME7140,Q67386,,,,
"Romero, Bernardo, active 1597-1598",author,,,human,Bernardo Romero,Q131623167,DSNAME7141,Q67387,,,,
"García Icazbalceta, Joaquín, 1825-1894",former owner,,,human,Joaquín García Icazbalceta,Q3808593,DSNAME7292,Q67538,,,,
"Reicher, Heinrich, approximately 1380-1466",author,,,human,Heinrich Reicher,Q131623168,DSNAME7142,Q67388,,,,
"Unverfähr, Horst-Joachim",former owner,,,human,Horst-Joachim Unverfähr,Q131623169,DSNAME7143,Q67389,,,,
"Schäfer, Otto",former owner,,,human,Otto Schäfer,Q94802474,DSNAME7293,Q67539,,,,
"Probasco, Henry, 1820-1902",former owner,,,human,Henry Probasco,Q1607179,DSNAME7294,Q67540,,,,
"Goodspeed, Edgar J. 1871-1962",former owner,,,human,Edgar J. Goodspeed,Q3567041,DSNAME7295,Q67541,,,,
"Berriot, Raymond",former owner,,,human,Raymond Berriot,Q131623170,DSNAME7144,Q67390,,,,
"Bernardo, d'Albenga",author,,,human,Bernardo d'Albenga,Q131623171,DSNAME7145,Q67391,,,,
"Stevens, Henry, Jr., 1819-1886",former owner,,,human,Henry Stevens,Q15506342,DSNAME7296,Q67542,,,,
"Stevens, Henry Newton, 1855-1930",former owner,,,human,Stevens Henry Newton,Q59626576,DSNAME7297,Q67543,,,,
"Couvent des pères Franciscains (Monte-Carlo, Monaco)",former owner,,,,,,,,,,,
