subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Inheritance and succession--Spain--History--16th century--Sources,0,a--z--x--y--v,,Inheritance and succession;Spain;History;Sixteenth century;Sources,http://id.worldcat.org/fast/973371;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1119851;http://id.worldcat.org/fast/1423900,Q3565;Q343;Q6879;Q335;Q2769,,,
Gifts--Spain--History--16th century--Sources,0,a--z--x--y--v,,Gifts;Spain;History;Sixteenth century;Sources,http://id.worldcat.org/fast/942628;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1119851;http://id.worldcat.org/fast/1423900,Q3614;Q343;Q6879;Q335;Q2769,,,
Gold mines and mining--New Spain--History--16th century--Sources,0,a--z--x--y--v,,Gold mines and mining;New Spain;History;Sixteenth century;Sources,http://id.worldcat.org/fast/944469;http://id.worldcat.org/fast/1203034;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1119851;http://id.worldcat.org/fast/1423900,Q12684;Q38641;Q6879;Q335;Q2769,,,
Silver mines and mining--New Spain--History--16th century--Sources,0,a--z--x--y--v,,Silver mines and mining;New Spain;History;Sixteenth century;Sources,http://id.worldcat.org/fast/1118937;http://id.worldcat.org/fast/1203034;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1119851;http://id.worldcat.org/fast/1423900,Q12547;Q38641;Q6879;Q335;Q2769,,,
Smelting--New Spain--History--16th century--Sources,0,a--z--x--y--v,,Smelting;New Spain;History;Sixteenth century;Sources,http://id.worldcat.org/fast/1121577;http://id.worldcat.org/fast/1203034;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1119851;http://id.worldcat.org/fast/1423900,Q66927;Q38641;Q6879;Q335;Q2769,,,
"Manuscripts, Spanish--Spain--Zaragoza",0,a--z--z,,"Manuscripts, Spanish;Spain--Zaragoza",http://id.worldcat.org/fast/1008500;http://id.worldcat.org/fast/1204605,Q202;Q4172,,,
New Spain--History--16th century--Sources,0,a--x--y--v,,New Spain;History;Sixteenth century;Sources,http://id.worldcat.org/fast/1203034;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1119851;http://id.worldcat.org/fast/1423900,Q38641;Q6879;Q335;Q2769,,,
"Spain--History--Charles I, 1516-1556--Sources",0,a--x--y--v,,Spain;History;1516-1556;Sources,http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1355580;http://id.worldcat.org/fast/1423900,Q343;Q6879;Q254;Q2769,,,
Law--Spain--Colonies--America--History--16th century--Sources,0,a--z--x--z--x--y--v,,Law;Spain;Colonies;America;History;Sixteenth century;Sources,http://id.worldcat.org/fast/993678;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/868456;http://id.worldcat.org/fast/1239786;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1119851;http://id.worldcat.org/fast/1423900,Q4186;Q343;Q6839;Q6860;Q6879;Q335;Q2769,,,
"Indians, Treatment of--Mexico--History--16th century--Sources",0,a--z--x--y--v,,"Indians, Treatment of;Mexico;History;Sixteenth century;Sources",http://id.worldcat.org/fast/970120;http://id.worldcat.org/fast/1211700;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1119851;http://id.worldcat.org/fast/1423900,Q6954;Q7744;Q6879;Q335;Q2769,,,
