title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Missal,,,,,,Missal,Q662
Antiphonary,,,,,,Antiphonary,Q654
Psalter,,,,,,Psalter,Q660
Breviary,,Psalter of the Breviary,,Breviary,Q657,,
Prayer book,,,,,,Prayer book,Q1486
Bible,,,,,,Bible,Q661
Epistles,,,,,,Epistles,Q1466
Gradual,,,,,,Gradual,Q1121
Book of hours,,,,,,Book of hours,Q795
Noted breviary,,,,,,Breviary,Q657
Georgii Trapezuntii Prologus in Interpretationem Eusebii Caesariensis,,De praeparatione evangelica,,Commentary on Eusebius,Q67882,,
Bibles,,,,Bible,Q661,,
Acts of St. Blaise,,,,Acts of Saint Blaise,Q67881,,
Scriptum super Sententiis,,,,,,Commentary on Sentences,Q7516
Scriptum super Libros Sententiarum Petri Lombardi,,,,Commentary on Sentences,Q7516,,
Ab Urbe Condita,,,,,,History of Rome,Q1324
Aurora,,,,,,Aurora,Q7839
Breviary,,,,,,Breviary,Q657
Contra Jovinianum,,,,Against Jovinianus,Q67880,,
Patristica,,,,Patristic texts,Q20452,,
Dialogi,,,,,,Dialogue,Q17587
Epistolary,,,,,,Epistolary,Q19936
Hymnal,,,,,,Hymnal,Q666
Choir book,,,,,,Choir book,Q1449
