genre_as_recorded,vocab,source_authority_uri,authorized_value_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Early works,fast,(OCoLC)fst01411636,,,,Early works,http://id.worldcat.org/fast/1411636,Q300
Poetry,fast,(OCoLC)fst01423828,,,,Poetry,http://id.worldcat.org/fast/1423828,Q247
Dictionaries,fast,http://id.worldcat.org/fast/fst01423826,,,,Dictionaries,http://id.worldcat.org/fast/1423826,Q3041
Texts,fast,http://id.worldcat.org/fast/fst01423705,,,,Texts,http://id.worldcat.org/fast/1423705,Q3066
Sources,fast,http://id.worldcat.org/fast/fst01423900,,,,Sources,http://id.worldcat.org/fast/1423900,Q2769
History,fast,http://id.worldcat.org/fast/fst01411628,,,,History,http://id.worldcat.org/fast/1411628,Q279
History,fast,http://id.worldcat.org/fast/fst01411628http://id.worldcat.org/fast/1411628,,,,History,http://id.worldcat.org/fast/1411628,Q279
Sources,fast,http://id.worldcat.org/fast/fst01423900http://id.worldcat.org/fast/1423900,,,,Sources,http://id.worldcat.org/fast/1423900,Q2769
Protogothic,aat,,,,,Protogothic,http://vocab.getty.edu/aat/300379143,Q16405
decorated initials,aat,,,,,decorated initials,http://vocab.getty.edu/aat/300417548,Q10807
Personal correspondence,fast,,,,,Personal correspondence,http://id.worldcat.org/fast/1919948,Q5912
Vellum bindings,rbmscv,,,,,Vellum bindings,http://id.loc.gov/vocabulary/rbmscv/cv00543,Q5878
Accession numbers,rbmscv,,Accession numbers,http://id.loc.gov/vocabulary/rbmscv/cv00021,Q67915,,,
Manuscripts,fast,(OCoLC)fst01424060,,,,Manuscripts,http://id.worldcat.org/fast/1424060,Q331
"Prescriptions, formulae, receipts, etc",fast,http://id.worldcat.org/fast/fst01424054,,,,"Prescriptions, formulae, receipts, etc.",http://id.worldcat.org/fast/1424054,Q3042
Decorated initials,aat,,,,,decorated initials,http://vocab.getty.edu/aat/300417548,Q10807
Detached leaves,aat,,,,,detached leaves,http://vocab.getty.edu/aat/300379890,Q2954
Early works,fast,,,,,Early works,http://id.worldcat.org/fast/1411636,Q300
Antiphons (Music),lcgft,,,,,Antiphons (Music),http://id.worldcat.org/fast/1920005,Q38426
Antiphonaries (Service books),lcgft,,,,,Antiphonaries (Service books),http://id.worldcat.org/fast/1920004,Q4297
Scores,lcgft,,Scores,http://id.worldcat.org/fast/1692898,Q67148,,,
Poetry,lcgft,,,,,Poetry,http://id.worldcat.org/fast/1423828,Q247
codices (bound manuscripts),aat,,,,,codices (bound manuscripts),http://vocab.getty.edu/aat/300224200,Q168
Early works,fast,http://id.worldcat.org/fast/fst01411636,,,,Early works,http://id.worldcat.org/fast/1411636,Q300
Manuscripts,fast,http://id.worldcat.org/fast/fst01424060,,,,Manuscripts,http://id.worldcat.org/fast/1424060,Q331
Annotations,rbmscv,,,,,Annotations,http://id.loc.gov/vocabulary/rbmscv/cv00102,Q2982
Pigskin bindings,rbmscv,,,,,Pigskin bindings,http://id.loc.gov/vocabulary/rbmscv/cv00624,Q12678
Blind tooled bindings,rbmscv,,,,,Blind tooled bindings,http://id.loc.gov/vocabulary/rbmscv/cv00632,Q5877
Manuscript waste,rbmscv,,,,,Manuscript waste,http://id.loc.gov/vocabulary/rbmscv/cv01568,Q5892
Calf bindings (Binding),rbbin,,,,,Calf bindings,http://id.loc.gov/vocabulary/rbmscv/cv00454,Q12556
Prayers and devotions,fast,http://id.worldcat.org/fast/fst01423909,,,,Prayers and devotions,http://id.worldcat.org/fast/1423909,Q3052
Sonnets,lcgft,,,,,Sonnets,http://id.worldcat.org/fast/1922554,Q38545
Bevelled edge boards (Binding),rbbin,,Bevelled edge boards,http://id.loc.gov/vocabulary/rbmscv/cv00211,Q16274,,,
Wooden boards (Binding),rbbin,,,,,Wooden boards,http://id.loc.gov/vocabulary/rbmscv/cv00601,Q5870
Blind tooled bindings (Binding),rbbin,,,,,Blind tooled bindings,http://id.loc.gov/vocabulary/rbmscv/cv00632,Q5877
Lettering pieces (Binding),rbbin,,Lettering pieces,http://id.loc.gov/vocabulary/rbmscv/cv00586,Q67916,,,
Stained edges (Binding),rbbin,,Stained edges,http://id.loc.gov/vocabulary/rbmscv/cv00751,Q67917,,,
Brass clasps (Binding),rbbin,,Brass clasps,http://id.loc.gov/vocabulary/rbmscv/cv00447,Q66707,,,
Booksellers' labels (Provenance),rbprov,,,,,Booksellers' labels,http://id.loc.gov/vocabulary/rbmscv/cv00228,Q5899
Books of hours,rbmscv,,,,,Books of hours,http://id.loc.gov/vocabulary/rbmscv/cv01037,Q38439
Monograms,rbmscv,,Monograms,http://id.loc.gov/vocabulary/rbmscv/cv00256,Q67918,,,
Morocco bindings,rbmscv,,,,,Morocco bindings,http://id.loc.gov/vocabulary/rbmscv/cv00548,Q12652
Cornerpieces (Furniture),rbmscv,,Cornerpieces (Furniture),http://id.loc.gov/vocabulary/rbmscv/cv00466,Q67919,,,
Wooden boards,rbmscv,,,,,Wooden boards,http://id.loc.gov/vocabulary/rbmscv/cv00601,Q5870
Early works.--Illinois--Chicago,fast,"(OCoLC)fst01411636650 0Manuscripts, Latin",Early works;Illinois--Chicago,http://id.worldcat.org/fast/1411636;http://id.worldcat.org/fast/1204048,Q300;Q67920,,,
bastarda,aat,,,,,bastarda,http://vocab.getty.edu/aat/300210195,Q66697
Manicules,rbmscv,,,,,Manicules,http://id.loc.gov/vocabulary/rbmscv/cv00248,Q5909
Bookplates,rbmscv,,,,,Bookplates,http://id.loc.gov/vocabulary/rbmscv/cv00138,Q5847
Charters and articles of incorporation,fast,http://id.worldcat.org/fast/fst01774239,,,,Charters and articles of incorporation,http://id.worldcat.org/fast/1774239,Q27098
Early works,fast,http://id.worldcat.org/fast/fst01411636http://id.worldcat.org/fast/1411636,,,,Early works,http://id.worldcat.org/fast/1411636,Q300
Goatskin bindings,rbmscv,,,,,Goatskin bindings,http://id.loc.gov/vocabulary/rbmscv/cv00547,Q12526
Biography,fast,http://id.worldcat.org/fast/fst01423686,,,,Biographies,http://id.worldcat.org/fast/1919896,Q3051
Gothic scripts,aat,,,,,Gothic scripts,http://vocab.getty.edu/aat/300195226,Q16360
Marginalia,rbmscv,,,,,Marginalia,http://id.loc.gov/vocabulary/rbmscv/cv00255,Q16344
Armorial bookplates,rbmscv,,,,,Armorial bookplates,http://id.loc.gov/vocabulary/rbmscv/cv00136,Q16277
Binders' tickets,rbmscv,,Binders' tickets,http://id.loc.gov/vocabulary/rbmscv/cv00702,Q5842,,,
Limp bindings,rbmscv,,,,,Limp bindings,http://id.loc.gov/vocabulary/rbmscv/cv00590,Q16312
fragments (object portions),aat,,,,,fragments (object portions),http://vocab.getty.edu/aat/300117130,Q222
Presentation leaves,rbmscv,,Presentation leaves,http://id.loc.gov/vocabulary/rbmscv/cv00262,Q67921,,,
Japanese sewing,aat,,Japanese sewing,http://vocab.getty.edu/aat/300234836,Q67922,,,
Initials (Provenance),rbprov,,Initials (Abbreviations),http://id.loc.gov/vocabulary/rbmscv/cv00244,Q16368,,,
Stamps (Provenance),rbprov,,,,,Stamps,http://id.loc.gov/vocabulary/rbmscv/cv00142,Q3075
Inscriptions (Provenance),rbprov,,,,,Inscriptions,http://id.loc.gov/vocabulary/rbmscv/cv00180,Q5875
Leather bindings (Binding),rbbin,,,,,Leather bindings,http://id.loc.gov/vocabulary/rbmscv/cv00455,Q5843
Raised bands (Binding),rbbin,,,,,Raised bands,http://id.loc.gov/vocabulary/rbmscv/cv00665,Q5936
Sermons,lcgft,,,,,Sermons,http://id.worldcat.org/fast/1423904,Q180
Calf bindings,rbmscv,,,,,Calf bindings,http://id.loc.gov/vocabulary/rbmscv/cv00454,Q12556
Armorial bindings,rbmscv,,,,,Armorial bindings,http://id.loc.gov/vocabulary/rbmscv/cv00132,Q12580
Rebacking,rbmscv,,Rebacking,http://id.loc.gov/vocabulary/rbmscv/cv01807,Q67923,,,
Texts,fast,(OCoLC)fst01423705,,,,Texts,http://id.worldcat.org/fast/1423705,Q3066
Illuminated manuscripts,aat,,,,,illuminated manuscripts,http://vocab.getty.edu/aat/300265483,Q4268
Prayer books,aat,,,,,prayer books,http://vocab.getty.edu/aat/300026476,Q6896
Receipts (financial records),aat,,,,,receipts (financial records),http://vocab.getty.edu/aat/300027573,Q219
Administrative records,aat,,administrative records,http://vocab.getty.edu/aat/300027425,Q67924,,,
Records and correspondence,fast,http://id.worldcat.org/fast/fst01423917,Records and correspondence,http://id.worldcat.org/fast/1423917,Q67925,,,
Specimens,fast,http://id.worldcat.org/fast/fst01423861,,,,Specimens,http://id.worldcat.org/fast/1423861,Q239
Letters (correspondence),aat,,,,,letters (correspondence),http://vocab.getty.edu/aat/300026879,Q7110
Poetry,fast,http://id.worldcat.org/fast/fst01423828http://id.worldcat.org/fast/1423828,,,,Poetry,http://id.worldcat.org/fast/1423828,Q247
Annotations (Provenance),rbprov,,,,,Annotations,http://id.loc.gov/vocabulary/rbmscv/cv00102,Q2982
Autographs (Provenance),rbprov,,,,,Autographs,http://id.loc.gov/vocabulary/rbmscv/cv00177,Q38431
Underscoring (Provenance),rbprov,,Underscoring,http://id.loc.gov/vocabulary/rbmscv/cv00274,Q66689,,,
Sealskin bindings (Binding),rbbin,,Sealskin bindings,http://id.loc.gov/vocabulary/rbmscv/cv00694,Q67926,,,
Signed bindings (Binding),rbbin,,,,,Signed bindings,http://id.loc.gov/vocabulary/rbmscv/cv00701,Q16282
History,fast,(OCoLC)fst01411628,,,,History,http://id.worldcat.org/fast/1411628,Q279
Art,fast,http://id.worldcat.org/fast/fst01423702,,,,Art,http://id.worldcat.org/fast/1423702,Q38573
illuminations (paintings),aat,,,,,illuminations (paintings),http://vocab.getty.edu/aat/300264522,Q225
Bastarda,aat,,,,,bastarda,http://vocab.getty.edu/aat/300210195,Q66697
Book hands,aat,,,,,book hands,http://vocab.getty.edu/aat/300200668,Q48502
Illegible markings,rbmscv,,,,,Illegible markings,http://id.loc.gov/vocabulary/rbmscv/cv00159,Q16287
Metal clasps,rbmscv,,,,,Metal clasps,http://id.loc.gov/vocabulary/rbmscv/cv00602,Q16297
Bevelled edges boards,rbmscv,,Bevelled edge boards,http://id.loc.gov/vocabulary/rbmscv/cv00211,Q16274,,,
Sprinkled edges,rbmscv,,Sprinkled edges,http://id.loc.gov/vocabulary/rbmscv/cv00753,Q5828,,,
Leather bindings,rbmscv,,,,,Leather bindings,http://id.loc.gov/vocabulary/rbmscv/cv00455,Q5843
Local history,fast,http://id.worldcat.org/fast/fst01411631,Local history,http://id.worldcat.org/fast/1411631,Q67927,,,
Armorial bindings (Binding),rbbin,,,,,Armorial bindings,http://id.loc.gov/vocabulary/rbmscv/cv00132,Q12580
Pigskin bindings (Binding),rbbin,,Pigskin bindings,http://id.loc.gov/vocabulary/rbmscv/cv00624,Q12678,,,
Painted leather bindings (Binding),rbbin,,Painted leather bindings,http://id.loc.gov/vocabulary/rbmscv/cv00616,Q66690,,,
Presentation inscriptions (Provenance),rbprov,,,,,Presentation inscriptions,http://id.loc.gov/vocabulary/rbmscv/cv00182,Q26691
Illuminations,gmgpc,,,,,illuminations (paintings),http://vocab.getty.edu/aat/300264522,Q225
historiated initials,aat,,,,,historiated initials,http://vocab.getty.edu/aat/300194390,Q10800
Painted bindings,rbmscv,,,,,Painted bindings,http://id.loc.gov/vocabulary/rbmscv/cv00579,Q38514
Fragments (object portions),aat,,,,,fragments (object portions),http://vocab.getty.edu/aat/300117130,Q222
