language_as_recorded,language_code,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Text in Sinhala,,Sinhala,Q13267,Q27509,,,
Text in Latin,,,,,Latin,Q397,Q113
Text in Latin and German,,Latin;German,Q397;Q188,Q113;Q112,,,
Text in Greek and Latin,,Greek;Latin,Q9129;Q397,Q1318;Q113,,,
Text in Ancient Greek,,Ancient Greek,Q35497,Q3103,,,
In Spanish,,,,,Spanish,Q1321,Q114
Text in Italian,,Italian,Q652,Q116,,,
arm,,,,,Armenian,Q8785,Q792
sin,,,,,Sinhala,Q13267,Q27509
Text in Greek,,,,,Greek,Q9129,Q1318
ger,,,,,German,Q188,Q112
lat,,,,,Latin,Q397,Q113
Modern Javanese,,Javanese,Q33549,Q38105,,,
Text in Spanish,,,,,Spanish,Q1321,Q114
Text in Armenian,,Armenian,Q8785,Q792,,,
Text in Dutch,,Dutch,Q7411,Q793,,,
In Latin,,,,,Latin,Q397,Q113
In Pali,,,,,Pali,Q36727,Q27511
Text in English and Latin,,English;Latin,Q1860;Q397,Q109;Q113,,,
In Geez,,Ge'ez,Q35667,Q3664,,,
"In Batak (Poda, Toba script). The script uses the southern ta. Two variants of the letter na occur; next to the standard form the ancient na (as Voorhoeve called it) is also occasionally used. The ancient na is typically found in Mandailing manuscripts, but this manuscript is clearly not Mandailing, but was probably written in the Toba district",,Batak,Q1998595,Q42449,,,
In Ge'ez,,Ge'ez,Q35667,Q3664,,,
Text in Church Slavic,,Church Slavonic,Q33251,Q16427,,,
"In Batak (Poda, Toba script)",,Batak,Q1998595,Q42449,,,
Text in Ge'ez,,Ge'ez,Q35667,Q3664,,,
In French,,,,,French,Q150,Q111
Text written in Sanskrit,,Sanskrit,Q11059,Q27494,,,
eng,,,,,English,Q1860,Q109
In Latin and French,,,,,Latin;French,Q397;Q150,Q113;Q111
Text written in Tibetan,,Tibetan,Q34271,Q67912,,,
Text in Latin and Spanish,,Latin;Spanish,Q397;Q1321,Q113;Q114,,,
In Latin and Spanish,,,,,Latin;Spanish,Q397;Q1321,Q113;Q114
syr,,,,,Syriac,Q33538,Q12713
In Chinese and Japanese,,Chinese;Japanese,Q7850;Q5287,Q12715;Q12711,,,
jpn,,,,,Japanese,Q5287,Q12711
In Arabic with rubrics and marginal text in Persian,,Arabic;Persian,Q13955;Q9168,Q118;Q120,,,
Text in Arabic,,,,,Arabic,Q13955,Q118
Text in Pali and Sinhala,,Pali;Sinhala,Q36727;Q13267,Q27511;Q27509,,,
Text in Latin and Italian,,Latin;Italian,Q397;Q652,Q113;Q116,,,
Text in German,,German,Q188,Q112,,,
In Batak (Poda),,Batak,Q1998595,Q42449,,,
Text in Latin and English,,,,,Latin;English,Q397;Q1860,Q113;Q109
Text in French,,,,,French,Q150,Q111
In Italian,,,,,Italian,Q652,Q116
Low-German dialect,,Low German,Q25433,Q5013,,,
fre,,,,,French,Q150,Q111
"In Dutch, three documents in French",,Dutch;French,Q7411;Q150,Q793;Q111,,,
Text in English,,,,,English,Q1860,Q109
ita,,,,,Italian,Q652,Q116
Hebrew,,,,,Hebrew,Q9288,Q117
Text in Syriac,,,,,Syriac,Q33538,Q12713
In Middle French,,,,,Middle French,Q1473289,Q110
"In Latin, with some Italian in epistolary formulas",,Italian,Q652,Q116,,,
In Japanese,,,,,Japanese,Q5287,Q12711
san,,,,,Sanskrit,Q11059,Q27494
Written in Pali,,Pali,Q36727,Q27511,,,
"In Persian, Tajik script",,Persian;Tajik,Q9168;Q9260,Q120;Q67913,,,
Text in Pali,,Pali,Q36727,Q27511,,,
Latin words,,,,,Latin,Q397,Q113
Text in French and Latin,,,,,French;Latin,Q150;Q397,Q111;Q113
Text in Italian and Latin,,Italian;Latin,Q652;Q397,Q116;Q113,,,
Text in Latin with notes in Italian in the margins,,Latin;Italian,Q397;Q652,Q113;Q116,,,
In Persian,,,,,Persian,Q9168,Q120
tib,,Tibetan,Q34271,Q67912,,,
In Greek,,,,,Greek,Q9129,Q1318
"In Kanbun, without typical Japanese reading marks",,Kanbun,Q7901319,Q67914,,,
In Syriac,,,,,Syriac,Q33538,Q12713
