File,name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
names-chicago.csv,"Melanchthon, Philipp, 1497-1560",author,,,human,Philipp Melanchthon,Q76325,DSNAME2108,Q12916,,,,
names-chicago.csv,"Lippomano, Giralamo, active 1575-1591",author,,,human,Giralamo Lippomano,Q131856722,DSNAME7944,Q68554,,,,
names-chicago.csv,"Symmachus, Quintus Aurelius, approximately 340-402",author,,,human,Quintus Aurelius Symmachus,Q355720,DSNAME7945,Q68555,,,,
names-chicago.csv,"Constantine, the Reader",scribe,,,human,Constantine the Reader,Q131822031,DSNAME7946,Q68556,,,,
names-chicago.csv,"Mathesius, Johann, 1504-1565",author,,,human,Johannes Mathesius,Q89904,DSNAME7947,Q68557,,,,
names-chicago.csv,Catholic Church,author,,http://viaf.org/viaf/130782063,,,,,,organization,Catholic Church,Q9592,Q425
names-chicago.csv,"Ariosto, Lodovico, 1474-1533",author,,,human,Ludovico Ariosto,Q48900,DSNAME7948,Q68558,,,,
names-chicago.csv,"Bernays, Michael, 1834-1897",former owner,,,human,Michael Bernays,Q73892,DSNAME7949,Q68559,,,,
names-chicago.csv,Catholic Church,author,,http://viaf.org/viaf/130782063,,,,,,organization,Catholic Church,Q9592,Q425
names-chicago.csv,"Piccolomini, Francesco, 1520-1604",author,,,human,Francesco Piccolomini,Q21051990,DSNAME7950,Q68560,,,,
names-chicago.csv,"McKeon, Richard 1900-1985",former owner,,,human,Richard McKeon,Q7327746,DSNAME7951,Q68561,,,,
names-chicago.csv,"Salutati, Coluccio, 1331-1406",author,,,,,,,,human,Coluccio Salutati,Q93113,Q40456
names-chicago.csv,"Thureyo, Petrus de, -1410",former owner,,,human,Petrus de Thureyo,Q131856723,DSNAME7952,Q68562,,,,
names-chicago.csv,"Salgado Correa, Alejo, active 1550-1585",author,,,human,Alejo Salgado Correa,Q131856724,DSNAME7953,Q68563,,,,
names-chicago.csv,"Blinov, Ivan Gavrilovich, 1872-1944",scribe,,,human,Ivan Blinov,Q18907954,DSNAME7954,Q68564,,,,
names-chicago.csv,"Chaucer, Geoffrey, -1400",author,,,,,,,,human,Geoffrey Chaucer,Q5683,Q12798
names-chicago.csv,"Kay, Arthur, 1861-1939",former owner,,,human,Arthur Kay,Q56825771,DSNAME7955,Q68565,,,,
names-chicago.csv,"Villena, Enrique de, 1384-1434",author,,,human,Enrique de Villena,Q281456,DSNAME7956,Q68566,,,,
names-chicago.csv,"Hengstenberg, Ernst Wilhelm, 1802-1869",former owner,,,human,Ernst Wilhelm Hengstenberg,Q653677,DSNAME7957,Q68567,,,,
names-chicago.csv,"Baptist Union Theological Seminary (Morgan Park, Ill.)",former owner,,,organization,Baptist Union Theological Seminary,Q131822036,DSNAME8052,Q68662,,,,
names-chicago.csv,"Isidore, of Seville, Saint, -636",author,,http://id.loc.gov/authorities/names/n80139470,,,,,,human,Isidore of Seville,Q166876,Q428
names-chicago.csv,"Roger, of Waltham, -1336",author,,,human,Roger Waltham,Q18527594,DSNAME7958,Q68568,,,,
names-chicago.csv,"Betham, William, Sir, 1779-1853",former owner,,,,,,,,human,William Betham,Q8005506,Q7293
