subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Buddha (The concept),0,a,http://id.loc.gov/authorities/subjects/sh85017451,Buddha (The concept),http://id.worldcat.org/fast/840022,Q68034,,,
"Manuscripts, Sinhalese",0,a,http://id.loc.gov/authorities/subjects/sh85080766,"Manuscripts, Sinhalese",http://id.worldcat.org/fast/1008495,Q26879,,,
Sinhalese literature,0,a,http://id.loc.gov/authorities/subjects/sh85122877,Sinhalese literature,http://id.worldcat.org/fast/1119529,Q68035,,,
Buddha (The concept),fast,a,http://id.worldcat.org/fast/fst00840022,Buddha (The concept),http://id.worldcat.org/fast/840022,Q68034,,,
"Manuscripts, Sinhalese",fast,a,http://id.worldcat.org/fast/fst01008495,,,,"Manuscripts, Sinhalese",http://id.worldcat.org/fast/1008495,Q26879
Sinhalese literature,fast,a,http://id.worldcat.org/fast/fst01119529,Sinhalese literature,http://id.worldcat.org/fast/1119529,Q68035,,,
Theology--Poetry--Early works to 1800,0,a--v--v,,Theology;Poetry;Early works,http://id.worldcat.org/fast/1149559;http://id.worldcat.org/fast/1423828;http://id.worldcat.org/fast/1411636,Q4290;Q247;Q300,,,
Theology--Early works to 1800,0,a--v,,,,,Theology;Early works,http://id.worldcat.org/fast/1149559;http://id.worldcat.org/fast/1411636,Q4290;Q300
Salvation--Early works to 1800,0,a--v,,,,,Salvation;Early works,http://id.worldcat.org/fast/1104418;http://id.worldcat.org/fast/1411636,Q39076;Q300
"Manuscripts, Latin (Medieval and modern)--Great Britain",0,a--z,,"Manuscripts, Latin (Medieval and modern);Great Britain",http://id.worldcat.org/fast/1008399;http://id.worldcat.org/fast/1204623,Q10783;Q179,,,
Typology (Theology)--Early works to 1800,0,a--v,,,,,Typology (Theology);Early works,http://id.worldcat.org/fast/1160087;http://id.worldcat.org/fast/1411636,Q67086;Q300
Théologie--Poésie--Ouvrages avant 1800,6,a--v--v,,Theology;Poetry;Early works,http://id.worldcat.org/fast/1149559;http://id.worldcat.org/fast/1423828;http://id.worldcat.org/fast/1411636,Q4290;Q247;Q300,,,
Théologie--Ouvrages avant 1800,6,a--v,,,,,Theology;Early works,http://id.worldcat.org/fast/1149559;http://id.worldcat.org/fast/1411636,Q4290;Q300
