subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Catholic Church--Texts--Early works to 1800,0,a--v--v,,Catholic Church;Texts;Early works,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1423705;http://id.worldcat.org/fast/1411636,Q310;Q3066;Q300,,,
Wellesley College Library. Plimpton Collection.--Manuscript.--896,0,a;b--k--n,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331,,,
"Dante Alighieri, 1265-1321--Biography--Early works to 1800",0,a;d--v--v,,"Dante Alighieri, 1265-1321;Biographies;Early works",http://id.worldcat.org/fast/29097;http://id.worldcat.org/fast/1919896;http://id.worldcat.org/fast/1411636,Q38639;Q3051;Q300,,,
Wellesley College Library. Plimpton Collection.--Manuscript.--861,0,a;b--k--n,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331,,,
Wellesley College Library. Plimpton Collection.--Manuscript.--895,0,a;b--k--n,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331,,,
Catholic Church--Liturgy--Texts,0,a--x--x,,Catholic Church;Liturgics;Texts,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1000579;http://id.worldcat.org/fast/1423705,Q310;Q207;Q3066,,,
Wellesley College Library. Plimpton Collection.--Manuscript.--899,0,a;b--k--n,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331,,,
Wellesley College Library. Plimpton Collection.--Manuscript.--491,0,a;b--k--n,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331,,,
"Bible. Maccabees, 1st",0,a;p,,"Bible. Maccabees, 1st",http://id.worldcat.org/fast/1808017,Q63905,,,
Wellesley College Library. Plimpton Collection.--Manuscript.--485,0,a;b--k--n,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331,,,
"Peter Lombard, Bishop of Paris, approximately 1100-1160. Sententiarum libri IV.--Liber 2",0,a;c;d;t--n,,"Sententiarum libri IV (Peter Lombard, Bishop of Paris)",http://id.worldcat.org/fast/1356925,Q4783,,,
Wellesley College Library. Plimpton Collection.--Manuscript.--808,0,a;b--k--n,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331,,,
Franciscans--Prayers and devotions,0,a--v,,,,,Franciscans;Prayers and devotions,http://id.worldcat.org/fast/530004;http://id.worldcat.org/fast/1423909,Q5840;Q3052
Catholic Church. Officium pro defunctis--Texts,0,a;t--v,,,,,Officium pro defunctis (Catholic Church);Texts,http://id.worldcat.org/fast/1373569;http://id.worldcat.org/fast/1423705,Q12666;Q3066
Little office of the Immaculate Conception--Texts,0,a--v,,,,,Little office of the Immaculate Conception;Texts,http://id.worldcat.org/fast/1363954;http://id.worldcat.org/fast/1423705,Q12596;Q3066
Wellesley College Library. Plimpton Collection.--Manuscript.--901,0,a;b--k--n,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331,,,
Catholic Church--Prayers and devotions,0,a--v,,,,,Catholic Church;Prayers and devotions,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1423909,Q310;Q3052
Catholic Church--Liturgy--Texts--Early works to 1800,0,a--x--v--v,,,,,Catholic Church;Liturgics;Texts;Early works,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1000579;http://id.worldcat.org/fast/1423705;http://id.worldcat.org/fast/1411636,Q310;Q207;Q3066;Q300
Wellesley College Library. Plimpton Collection.--Manuscript.--897,0,a;b--k--n,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331,,,
Wellesley College Library. Plimpton Collection.--Manuscript.--108,0,a;b--k--n,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331,,,
Orthodox Eastern Church--Liturgy--Manuscripts,0,a--x--x,,,,,Orthodox Eastern Church;Liturgics;Manuscripts,http://id.worldcat.org/fast/510210;http://id.worldcat.org/fast/1000579;http://id.worldcat.org/fast/1008230,Q4266;Q207;Q38609
Orthodox Eastern Church,fast,a,https://id.worldcat.org/fast/510210,,,,Orthodox Eastern Church,http://id.worldcat.org/fast/510210,Q4266
Wellesley College Library. Plimpton Collection.--Manuscript.--1187,0,a;b--k--n,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331,,,
Augustinians--Prayers and devotions,0,a--v,,,,,Augustinians;Prayers and devotions,http://id.worldcat.org/fast/549127;http://id.worldcat.org/fast/1423909,Q7391;Q3052
Catholic Church--Prayers and devotions--Early works to 1800,0,a--v--v,,,,,Catholic Church;Prayers and devotions;Early works,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1423909;http://id.worldcat.org/fast/1411636,Q310;Q3052;Q300
Catholic Church--Liturgy--Early works to 1800,0,a--x--v,,,,,Catholic Church;Liturgics;Early works,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1000579;http://id.worldcat.org/fast/1411636,Q310;Q207;Q300
Catholic Church,fast,a,https://id.worldcat.org/fast/531720,,,,Catholic Church,http://id.worldcat.org/fast/531720,Q310
Virgil. Aeneis,0,a;t,,,,,Aeneis (Virgil),http://id.worldcat.org/fast/1356034,Q48123
Wellesley College Library. Plimpton Collection.--Manuscript.--101,,a;b--k--n,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331,,,
"Bible. Chronicles, 2nd",0,a;p,,,,,"Bible. Chronicles, 2nd",http://id.worldcat.org/fast/1911925,Q27301
"Mary, Queen of Scots, 1542-1587",0,a;c;d,,,,,"Mary, Queen of Scots, 1542-1587",http://id.worldcat.org/fast/53298,Q38730
Wellesley College Library. Plimpton Collection.--Manuscript.--440,0,a;b--k--n,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331,,,
Wellesley College Library. Plimpton Collection.--Manuscript.--492,0,a;b--k--n,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331,,,
Wellesley College Library. Plimpton Collection.--Manuscript.--1035,0,a;b--k--n,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331,,,
Wellesley College Library. Plimpton Collection.--Manuscript.--858,0,a;b--k--n,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331,,,
"Dante Alighieri, 1265-1321. Paradiso",0,a;d;t,,Paradiso (Dante Alighieri),http://id.worldcat.org/fast/1356628,Q68000,,,
Wellesley College Library. Plimpton Collection.--Manuscript.--1036A,0,a;b--k--n,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331,,,
Wellesley College Library. Plimpton Collection.--Manuscript.--860,0,a;b--k--n,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331,,,
"Ovid, 43 B.C.-17 A.D. or 18 A.D. Heroides",0,a;d;t,,,,,Heroides (Ovid),http://id.worldcat.org/fast/1357087,Q48124
Wellesley College Library. Plimpton Collection.--Manuscript.--747,0,a;b--k--n,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331,,,
"Petrarca, Francesco, 1304-1374--Biography--Early works to 1800",0,a;d--v--v,,"Petrarca, Francesco, 1304-1374;Biographies;Early works",http://id.worldcat.org/fast/41151;http://id.worldcat.org/fast/1919896;http://id.worldcat.org/fast/1411636,Q39933;Q3051;Q300,,,
Wellesley College Library. Plimpton Collection.--Manuscript.--751,0,a;b--k--n,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331,,,
Wellesley College Library. Plimpton Collection.--Manuscript.--752,0,a;b--k--n,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331,,,
Wellesley College Library. Plimpton Collection.--Manuscript.--898,0,a;b--k--n,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331,,,
"Qāʼit Bāy, Sultan of Egypt and Syria, -1496",0,a;c;d,https://id.loc.gov/authorities/names/nr92012101,,,,"Qāʼit Bāy, Sultan of Egypt and Syria, -1496",http://id.worldcat.org/fast/1842649,Q7771
"Qāʼit Bāy, Sultan of Egypt and Syria, -1496",fast,a;c;d,https://id.worldcat.org/fast/1842649,,,,"Qāʼit Bāy, Sultan of Egypt and Syria, -1496",http://id.worldcat.org/fast/1842649,Q7771
Bible. Matthew,0,a;p,,,,,Bible. Matthew,http://id.worldcat.org/fast/1808086,Q5898
Wellesley College Library. Plimpton Collection.--Manuscript.--900,0,a;b--k--n,,Wellesley College Library;Manuscripts,http://id.worldcat.org/fast/510859;http://id.worldcat.org/fast/1424060,Q67999;Q331,,,
