genre_as_recorded,vocab,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Sermons,openn-form/genre,https://lccn.loc.gov/sh85120261,Sermons,http://id.worldcat.org/fast/1423904,Q180,,,
Books of hours,openn-form/genre,https://lccn.loc.gov/sh85062530,,,,books of hours,http://vocab.getty.edu/aat/300026457,Q3618
Psalters,openn-form/genre,http://id.loc.gov/authorities/subjects/sh85108218.html,Psalters,http://id.worldcat.org/fast/1922512,Q38533,,,
Breviaries,openn-form/genre,http://id.loc.gov/authorities/subjects/sh85016762.html,Breviaries,http://id.worldcat.org/fast/1922430,Q38440,,,
Breviaries,openn-form/genre,https://lccn.loc.gov/sh85016762,Breviaries,http://id.worldcat.org/fast/1922430,Q38440,,,
Missals,openn-form/genre,https://lccn.loc.gov/sh85086006,Missals,http://id.worldcat.org/fast/1920241,Q8363,,,
Psalters,openn-form/genre,https://lccn.loc.gov/gf2015026080,Psalters,http://id.worldcat.org/fast/1922512,Q38533,,,
Processionals (Liturgical books),openn-form/genre,https://lccn.loc.gov/sh85107144,Processionals (Liturgical books),http://id.worldcat.org/fast/1078060,Q4850,,,
"Manuscripts, Arabic",openn-form/genre,,,,,"Manuscripts, Arabic",http://id.worldcat.org/fast/1008278,Q256
"Manuscripts, 10th century",openn-form/genre,,Manuscripts;Tenth century,http://id.worldcat.org/fast/1424060;http://id.worldcat.org/fast/1147737,Q331;Q12530,,,
Codices (bound manuscripts),openn-form/genre,,,,,codices (bound manuscripts),http://vocab.getty.edu/aat/300224200,Q168
Manuscripts (documents),openn-form/genre,,,,,manuscripts (documents),http://vocab.getty.edu/aat/300028569,Q10789
Psalters (books),openn-form/genre,,psalters (books),http://vocab.getty.edu/aat/300026477,Q4134,,,
"Manuscripts, 18th century",openn-form/genre,,,,,Manuscripts;Eighteenth century,http://id.worldcat.org/fast/1424060;http://id.worldcat.org/fast/904058,Q331;Q3024
Illuminations (painting),openn-form/genre,,,,,illuminations (paintings),http://vocab.getty.edu/aat/300264522,Q225
Onlays (decorative components),openn-form/genre,,,,,onlays (decorative components),http://w3id.org/lob/concept/1462,Q3046
"Manuscripts, Persian",openn-form/genre,,,,,"Manuscripts, Persian",http://id.worldcat.org/fast/1008462,Q255
"Manuscripts, 16th century",openn-form/genre,,,,,Manuscripts;Sixteenth century,http://id.worldcat.org/fast/1424060;http://id.worldcat.org/fast/1119851,Q331;Q335
Miniatures (paintings),openn-form/genre,,,,,miniatures (paintings),http://vocab.getty.edu/aat/300033936,Q262
Blind-tooled (decoration),openn-form/genre,,Blind tooled bindings,http://id.loc.gov/vocabulary/rbmscv/cv00632,Q5877,,,
"Manuscripts, 15th century",openn-form/genre,,Manuscripts;Fifteenth century,http://id.worldcat.org/fast/1424060;http://id.worldcat.org/fast/923962,Q331;Q154,,,
Envelope flaps (features),openn-form/genre,,,,,envelope flaps (features),http://w3id.org/lob/concept/1343,Q3541
"Manuscripts, Turkish",openn-form/genre,,,,,"Manuscripts, Turkish",http://id.worldcat.org/fast/1008521,Q3068
"Manuscripts, 19th century",openn-form/genre,,,,,Manuscripts;Nineteenth century,http://id.worldcat.org/fast/1424060;http://id.worldcat.org/fast/1037841,Q331;Q3538
Dictionaries,openn-form/genre,,,,,dictionaries,http://vocab.getty.edu/aat/300026186,Q2970
"Manuscripts, Tashelhit",openn-form/genre,,"Manuscripts, Tashelhit",http://id.worldcat.org/fast/1008493,Q38499,,,
Blind tooled (decoration),openn-form/genre,,,,,blind-tooled (decoration),http://w3id.org/lob/concept/2288,Q27291
Tables (documents),openn-form/genre,,,,,tables (documents),http://vocab.getty.edu/aat/300027364,Q252
