place_as_recorded,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
France,,,,France,http://vocab.getty.edu/tgn/1000070,Q122
Germany,,,,Germany,http://vocab.getty.edu/tgn/7000084,Q131
Spain,,,,Spain,http://vocab.getty.edu/tgn/1000095,Q129
Eastern Germany or Poland,Germany;Poland,http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/7006366,Q131;Q19890,,,
"Ferrara, Italy",,,,Ferrara;Italy,http://vocab.getty.edu/tgn/7004264;http://vocab.getty.edu/tgn/1000080,Q1299;Q134
"Venice, Italy",,,,Venice;Italy,http://vocab.getty.edu/tgn/7018159;http://vocab.getty.edu/tgn/1000080,Q2823;Q134
Castro Massignani,,,,,,
"Avignon?, Southern France",Avignon;Southern France,http://vocab.getty.edu/tgn/7008799;http://vocab.getty.edu/tgn/4004037,Q4328;Q19904,,,
England,,,,England,http://vocab.getty.edu/tgn/7002445,Q133
Italy,,,,Italy,http://vocab.getty.edu/tgn/1000080,Q134
"Verona?, Northern Italy",Verona;Northern Italy,http://vocab.getty.edu/tgn/7003262;http://vocab.getty.edu/tgn/4005363,Q124;Q7507,,,
"Tournai, Belgium",Tournai;Belgium,http://vocab.getty.edu/tgn/7008002;http://vocab.getty.edu/tgn/1000063,Q16426;Q1243,,,
"Rome, Italy",,,,Rome;Italy,http://vocab.getty.edu/tgn/7000874;http://vocab.getty.edu/tgn/1000080,Q123;Q134
"Rouen, France",,,,Rouen;France,http://vocab.getty.edu/tgn/7008929;http://vocab.getty.edu/tgn/1000070,Q1244;Q122
England?,,,,England,http://vocab.getty.edu/tgn/7002445,Q133
Northern France,,,,Northern France,http://vocab.getty.edu/tgn/4004036,Q1114
"French Flanders region of Valenciennes-Mons, France",Westhoek;Valenciennes;Mons;France,http://vocab.getty.edu/tgn/8060287;http://vocab.getty.edu/tgn/7008471;http://vocab.getty.edu/tgn/7007961;http://vocab.getty.edu/tgn/1000070,Q54678;Q68672;Q19891;Q122,,,
"Piedmont, Italy",Piedmont;Italy,http://vocab.getty.edu/tgn/7003120;http://vocab.getty.edu/tgn/1000080,Q1287;Q134,,,
"Northern Flanders (Brussels?), Belgium",Northern Flanders;Brussels;Belgium,http://vocab.getty.edu/tgn/7024097;http://vocab.getty.edu/tgn/7007868;http://vocab.getty.edu/tgn/1000063,Q126;Q19905;Q1243,,,
"Illustrations, produced separately, from Utrecht, Netherlands?",Utrecht;Netherlands,http://vocab.getty.edu/tgn/7006926;http://vocab.getty.edu/tgn/7016845,Q10829;Q651,,,
"Flanders, Belgium",,,,Flanders;Belgium,http://vocab.getty.edu/tgn/7024097;http://vocab.getty.edu/tgn/1000063,Q126;Q1243
Northern Europe,,,,Northern Europe,http://vocab.getty.edu/tgn/4003757,Q38266
Bruges,,,,Bruges,http://vocab.getty.edu/tgn/7007867,Q16418
Southern Germany,Southern Germany,,,,,
Northern Italy,,,,Northern Italy,http://vocab.getty.edu/tgn/4005363,Q7507
"Tuscany?, Italy",,,,Tuscany;Italy,http://vocab.getty.edu/tgn/7009760;http://vocab.getty.edu/tgn/1000080,Q860;Q134
"Florence?, Italy",,,,Florence;Italy,http://vocab.getty.edu/tgn/7000457;http://vocab.getty.edu/tgn/1000080,Q3084;Q134
"Poissy, Northern France",,,,,,
"Paris?, France",,,,Paris;France,http://vocab.getty.edu/tgn/7008038;http://vocab.getty.edu/tgn/1000070,Q136;Q122
"Venice?, Northeastern Italy",,,,,,
"Poissy?, France",,,,,,
"Southern Germany, perhaps Regensburg",,,,,,
Netherlands,,,,Netherlands,http://vocab.getty.edu/tgn/7016845,Q651
Italy?,,,,Italy,http://vocab.getty.edu/tgn/1000080,Q134
Levant,,,,,,
Turkey?,,,,Turkey,http://vocab.getty.edu/tgn/1000144,Q3079
"Shiraz, Iran",,,,,,
Turkey,,,,Turkey,http://vocab.getty.edu/tgn/1000144,Q3079
Iran?,,,,Iran,http://vocab.getty.edu/tgn/7000231,Q2822
India?,,,,India,http://vocab.getty.edu/tgn/7000198,Q138
Morocco,,,,Morocco,http://vocab.getty.edu/tgn/1000179,Q3657
"Sinai, Egypt",,,,,,
North Africa?,,,,North Africa,http://vocab.getty.edu/tgn/7016886,Q3652
