subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
14th century,openn-keywords,,,,,,Fourteenth century,http://id.worldcat.org/fast/933420,Q295
France,openn-keywords,,,,,,France,http://id.worldcat.org/fast/1204289,Q152
French,openn-keywords,,,,,,French (culture or style),http://vocab.getty.edu/aat/300111188,Q19844
Liturgy,openn-keywords,,,,,,Liturgics,http://id.worldcat.org/fast/1000579,Q207
Treatise,openn-keywords,,,,,,treatises,http://vocab.getty.edu/aat/300026681,Q160
Historiated initial,openn-keywords,,,,,,Historiated initials,http://id.worldcat.org/fast/957716,Q19864
15th century,openn-keywords,,,,,,Fifteenth century,http://id.worldcat.org/fast/923962,Q154
German,openn-keywords,,,,,,"German (culture, style, period)",http://vocab.getty.edu/aat/300111192,Q19867
Germany,openn-keywords,,,,,,Germany,http://id.worldcat.org/fast/1210272,Q3032
Devotion,openn-keywords,,,,,,Prayers and devotions,http://id.worldcat.org/fast/1423909,Q3052
Spain,openn-keywords,,,,,,Spain,http://id.worldcat.org/fast/1204303,Q343
Science--Medicine,openn-keywords,,,Science;Medicine,http://id.worldcat.org/fast/1108176;http://id.worldcat.org/fast/1014893,Q7409;Q234,,,
Spanish,openn-keywords,,,,,,Spanish (culture or style),http://vocab.getty.edu/aat/300111215,Q19880
Paper,openn-keywords,,,,,,Paper,http://id.worldcat.org/fast/1052348,Q19842
Poland,openn-keywords,,,,,,Poland,http://id.worldcat.org/fast/1206891,Q4840
Theology,openn-keywords,,,,,,Theology,http://id.worldcat.org/fast/1149559,Q4290
Italy,openn-keywords,,,,,,Italy,http://id.worldcat.org/fast/1204565,Q249
Italian,openn-keywords,,,,,,Italian (culture or style),http://vocab.getty.edu/aat/300111198,Q19876
Legal,openn-keywords,,,,,,Law,http://id.worldcat.org/fast/993678,Q4186
Accounts,openn-keywords,,,,,,Accounts,http://id.worldcat.org/fast/795510,Q6895
Document,openn-keywords,,,,,,documents (object genre),http://vocab.getty.edu/aat/300026030,Q19859
English,openn-keywords,,,,,,English (culture or style),http://vocab.getty.edu/aat/300111178,Q19855
Scroll,openn-keywords,,,,,,scrolls (information artifacts),http://vocab.getty.edu/aat/300028629,Q8246
England,openn-keywords,,,,,,England,http://id.worldcat.org/fast/1219920,Q320
Financial records,openn-keywords,,,,,,financial records,http://vocab.getty.edu/aat/300027473,Q4167
Humanistic,openn-keywords,,,,,,humanistic scripts,http://vocab.getty.edu/aat/300210204,Q10824
Illumination,openn-keywords,,,,,,illuminations (paintings),http://vocab.getty.edu/aat/300264522,Q225
Biography,openn-keywords,,,,,,Biography,http://id.worldcat.org/fast/832149,Q27365
Christian,openn-keywords,,,,,,Christianity,http://id.worldcat.org/fast/859599,Q5915
Original binding,openn-keywords,,,,,,binding (textile material),http://vocab.getty.edu/aat/300421867,Q19879
History,openn-keywords,,,,,,History,http://id.worldcat.org/fast/958235,Q6879
11th century,openn-keywords,,,,,,Eleventh century,http://id.worldcat.org/fast/908096,Q306
Belgium,openn-keywords,,,,,,Belgium,http://id.worldcat.org/fast/1210278,Q16301
Homilary,openn-keywords,,,,,,Homiliaries,http://id.worldcat.org/fast/959694,Q16286
Collection of Sermons,openn-keywords,,,,,,Sermons,http://id.worldcat.org/fast/1113216,Q38598
Biblical,openn-keywords,,,,,,biblical,http://vocab.getty.edu/aat/300263186,Q19856
Colophon,openn-keywords,,,,,,Colophons,http://id.worldcat.org/fast/868495,Q19850
16th century,openn-keywords,,,,,,Sixteenth century,http://id.worldcat.org/fast/1119851,Q335
Geography,openn-keywords,,,Geography,http://id.worldcat.org/fast/940469,Q191,,,
Recipe book,openn-keywords,,,Cookbooks,http://id.worldcat.org/fast/1754965,Q42381,,,
Science -- Medicine,openn-keywords,,,,,,Science;Medicine,http://id.worldcat.org/fast/1108176;http://id.worldcat.org/fast/1014893,Q7409;Q234
Commentary,openn-keywords,,,,,,Commentaries,http://id.worldcat.org/fast/1423723,Q2812
12th century,openn-keywords,,,,,,Twelfth century,http://id.worldcat.org/fast/1159791,Q304
13th century,openn-keywords,,,,,,Thirteenth century,http://id.worldcat.org/fast/1150138,Q245
Miscellany,openn-keywords,,,,,,Miscellanea,http://id.worldcat.org/fast/1353832,Q11293
Damage,openn-keywords,,,,,,damage (condition),http://vocab.getty.edu/aat/300068940,Q19870
Fragment,openn-keywords,,,,,,fragments (object portions),http://vocab.getty.edu/aat/300117130,Q222
Gloss,openn-keywords,,,,,,glosses (annotations),http://vocab.getty.edu/aat/300211708,Q4260
Musical notation,openn-keywords,,,,,,Musical notation,http://id.worldcat.org/fast/1030779,Q12609
Book of Hours,openn-keywords,,,,,,Books of hours,http://id.worldcat.org/fast/836484,Q5889
Illustration,openn-keywords,,,,,,illustrations (layout features),http://vocab.getty.edu/aat/300015578,Q19873
Miniature,openn-keywords,,,,,,miniatures (paintings),http://vocab.getty.edu/aat/300033936,Q262
Missing leaves,openn-keywords,,,,,,,,
Flanders,openn-keywords,,,,,,Europe--Flanders,http://id.worldcat.org/fast/1245991,Q4193
Flemish,openn-keywords,,,,,,Flemish (culture or style),http://vocab.getty.edu/aat/300111184,Q19846
Psalter,openn-keywords,,,,,,Psalters,http://id.worldcat.org/fast/1080778,Q4323
Grisaille,openn-keywords,,,Grisaille painting,http://id.worldcat.org/fast/947999,Q68673,,,
Grotesques,openn-keywords,,,grotesques,http://vocab.getty.edu/aat/300010211,Q10799,,,
Breviary,openn-keywords,,,,,,Breviaries,http://id.worldcat.org/fast/838495,Q3593
Missal,openn-keywords,,,,,,Missals,http://id.worldcat.org/fast/1023680,Q4233
Church Fathers,openn-keywords,,,,,,Fathers of the church,http://id.worldcat.org/fast/921916,Q19847
White-vine lettering,openn-keywords,,,Lettering,http://id.worldcat.org/fast/996769,Q67060,,,
"Nicholas V, Pope, 1397-1455",openn-subjects,,,"Nicholas V, Pope, 1397-1455",http://id.worldcat.org/fast/167078,Q68674,,,
Epistolary,openn-keywords,,,Epistolaries,http://id.worldcat.org/fast/914316,Q5933,,,
Manicules,openn-keywords,,,,,,manicules,http://vocab.getty.edu/aat/300312372,Q19881
Pontifical,openn-keywords,,,,,,Pontificals,http://id.worldcat.org/fast/1071000,Q39044
Penwork initial,openn-keywords,,,,,,decorated initials,http://vocab.getty.edu/aat/300417548,Q10807
18th century,openn-keywords,,,,,,Eighteenth century,http://id.worldcat.org/fast/904058,Q3024
Prayer book,openn-keywords,,,,,,Prayer books,http://id.worldcat.org/fast/1074734,Q12535
Processional,openn-keywords,,,,,,Processionals (Liturgical books),http://id.worldcat.org/fast/1078060,Q4850
Poissy (France),openn-subjects,,,France--Poissy,http://id.worldcat.org/fast/1227943,Q55352,,,
Puzzle initial,openn-keywords,,,,,,decorated initials,http://vocab.getty.edu/aat/300417548,Q10807
Dutch,openn-keywords,,,,,,Dutch (culture or style),http://vocab.getty.edu/aat/300111175,Q19858
Netherlands,openn-keywords,,,,,,Netherlands,http://id.worldcat.org/fast/1204034,Q12555
"Christian literature, Arabic--Early works to 1800",openn-subjects,,,"Christian literature, Arabic;Early works",http://id.worldcat.org/fast/859244;http://id.worldcat.org/fast/1411636,Q68675;Q300,,,
Christians--Middle East--Prayers and devotions--Early works to 1800,openn-subjects,,,Christians;Middle East;Prayers and devotions;Early works,http://id.worldcat.org/fast/859760;http://id.worldcat.org/fast/1241586;http://id.worldcat.org/fast/1935484;http://id.worldcat.org/fast/1411636,Q12575;Q7412;Q48394;Q300,,,
Islam--Prayers and devotions--Early works to 1800,openn-subjects,,,,,,Islam--Prayers and devotions;Early works,http://id.worldcat.org/fast/979821;http://id.worldcat.org/fast/1411636,Q3036;Q300
Persian literature--747-1500,openn-subjects,,,,,,Persian literature,http://id.worldcat.org/fast/1058528,Q3612
"Masnavis, Persian--Early works to 1800",openn-subjects,,,"Masnavis, Persian;Early works",http://id.worldcat.org/fast/1011127;http://id.worldcat.org/fast/1411636,Q7480;Q300,,,
"Manuscripts, 16th century",openn-subjects,,,Manuscripts;Sixteenth century,http://id.worldcat.org/fast/1008230;http://id.worldcat.org/fast/1119851,Q38609;Q335,,,
Persian poetry--747-1500,openn-subjects,,,,,,Persian poetry,http://id.worldcat.org/fast/1058542,Q3582
Islam--Prayers and devotions,openn-subjects,,,,,,Islam--Prayers and devotions,http://id.worldcat.org/fast/979821,Q3036
"Ṣaghānī, al-Ḥasan ibn Muḥammad,--1181-1252--Mashāriq al-anwār",openn-subjects,,,"Mashāriq al-anwār (Ṣaghānī, al-Ḥasan ibn Muḥammad)",http://id.worldcat.org/fast/1393374,Q11346,,,
"Hadith--Criticism, interpretation, etc--Early works to 1800",openn-subjects,,,"Hadith;Criticism, interpretation, etc.;Early works",http://id.worldcat.org/fast/950112;http://id.worldcat.org/fast/1411635;http://id.worldcat.org/fast/1411636,Q3581;Q177;Q300,,,
Religious life--Islam,openn-subjects,,,,,,Religious life--Islam,http://id.worldcat.org/fast/1094119,Q3634
Islam--Doctrines,openn-subjects,,,,,,Islam--Doctrines,http://id.worldcat.org/fast/979787,Q11301
Muslims--Conduct of life,openn-subjects,,,Muslims--Conduct of life,http://id.worldcat.org/fast/1031037,Q11347,,,
Islamic ethics,openn-subjects,,,Islamic ethics,http://id.worldcat.org/fast/979936,Q11320,,,
Islamic magic,openn-subjects,,,Islamic magic,http://id.worldcat.org/fast/1730344,Q2807,,,
Talismans,openn-subjects,,,Talismans,http://id.worldcat.org/fast/1142279,Q4822,,,
"Manuscripts, 20th century",openn-subjects,,,Manuscripts;Twentieth century,http://id.worldcat.org/fast/1008230;http://id.worldcat.org/fast/1159810,Q38609;Q5942,,,
"Quotations, Arabic",openn-subjects,,,"Quotations, Arabic",http://id.worldcat.org/fast/1086142,Q11232,,,
"Calligraphy, Ottoman",openn-subjects,,,"Calligraphy, Ottoman",http://id.worldcat.org/fast/844443,Q68676,,,
"Epic poetry, Persian--Early works to 1800",openn-subjects,,,,,,"Epic poetry, Persian;Early works",http://id.worldcat.org/fast/1741636;http://id.worldcat.org/fast/1411636,Q18334;Q300
"Manuscripts, 19th century",openn-subjects,,,Manuscripts;Nineteenth century,http://id.worldcat.org/fast/1008230;http://id.worldcat.org/fast/1037841,Q38609;Q3538,,,
Syriac language--Dictionaries--English,openn-subjects,,,Syriac language;Encyclopedias and dictionaries;English language,http://id.worldcat.org/fast/1141324;http://id.worldcat.org/fast/909533;http://id.worldcat.org/fast/910920,Q18313;Q175;Q12536,,,
Islam--Customs and practices--Early works to 1800,openn-subjects,,,Islam--Customs and practices;Early works,http://id.worldcat.org/fast/979785;http://id.worldcat.org/fast/1411636,Q11380;Q300,,,
Islam--Doctrines--Early works to 1800,openn-subjects,,,,,,Islam--Doctrines;Early works,http://id.worldcat.org/fast/979787;http://id.worldcat.org/fast/1411636,Q11301;Q300
Islamic law--Early works to 1800,openn-subjects,,,,,,Islamic law;Early works,http://id.worldcat.org/fast/979949;http://id.worldcat.org/fast/1411636,Q3605;Q300
Tamazight poetry--Morocco--Texts,openn-subjects,,,Tamazight poetry;Morocco;Texts,http://id.worldcat.org/fast/1142403;http://id.worldcat.org/fast/1205592;http://id.worldcat.org/fast/1423705,Q68677;Q3567;Q3066,,,
Berber poetry--Morocco--Texts,openn-subjects,,,Berber poetry;Morocco;Texts,http://id.worldcat.org/fast/830649;http://id.worldcat.org/fast/1205592;http://id.worldcat.org/fast/1423705,Q68678;Q3567;Q3066,,,
Christianity,openn-subjects,,,,,,Christianity,http://id.worldcat.org/fast/859599,Q5915
Saints--Legends,openn-subjects,,,Saints;Legends,http://id.worldcat.org/fast/1103658;http://id.worldcat.org/fast/995592,Q5891;Q7416,,,
Martyrs--Legends,openn-subjects,,,Martyrs;Legends,http://id.worldcat.org/fast/1010918;http://id.worldcat.org/fast/995592,Q48266;Q7416,,,
Martyrologies--Early works to 1800,openn-subjects,,,Martyrologies;Early works,http://id.worldcat.org/fast/1010916;http://id.worldcat.org/fast/1411636,Q39002;Q300,,,
"Manuscripts, 18th century",openn-subjects,,,,,,Manuscripts;Eighteenth century,http://id.worldcat.org/fast/1008230;http://id.worldcat.org/fast/904058,Q38609;Q3024
"Astronomy, Arab",openn-subjects,,,"Astronomy, Arab",http://id.worldcat.org/fast/819764,Q3035,,,
