title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Jernegan family book of hours,,,,,,Book of hours,Q795
Liber ruralium commodorum,,Ruralia commoda,,,,Ruralia commoda,Q367
Horoscope for Sultan Amir Zadeh Rustam,,,,,,Horoscope,Q39436
Commentarii in Libros VIII Aristotelis de Physica,,,,,,Commentary on Aristotle,Q3120
Natural y General Hystoria de las Indias,,,,,,Historia general y natural de las Indias,Q39635
Relación del descubrimiento y conquista Delos Reinos del Piru...,,,,,,Relación del descubrimiento y conquista de los reinos del Perú,Q39724
Almanac,,,,,,Almanac,Q39186
Medical treatise,,,,,,Medical text,Q20372
Poems,,,,,,Poetry,Q1330
Heroica eulogia,,,,,,Heroica eulogia,Q39427
Didactic pieces,,,,,,Didactic,Q39339
Prose and poetry,,,,,,Prose;Poetry,Q39703;Q1330
Regiment of princes,,,,,,De regimine principum,Q39992
Religious prose and verse,,,,,,Religious texts,Q5037
Fall of princes; manuscript,,,,,,Fall of Princes,Q39388
Canterbury tales; manuscript,,,,,,Canterbury Tales,Q12793
Portable calendar,,,,,,Calendar,Q1122
Register Brevium,,,,,,Register brevium,Q40022
Cosmography; astrological medicine,,,,,,Cosmographia;Astrological medicine,Q39151;Q39152
Astrological and medical compilation,,,,,,Astrological texts;Medical texts,Q3123;Q817
"Alchemical, medical and technical compilation",,,,,,Alchemical texts;Medical texts,Q3132;Q817
Portolan atlas; cartographic material,,,,,,Portolan atlas,Q2828
Portolan chart; cartographic material; manuscript,,,,,,Portolan chart,Q38411
"Book of Hours, use of Rome",,Book of hours,,,,Book of hours,Q795
"Ripley (?), alchemical scroll",,,,,,Alchemical text,Q17585
"Book of Hours, use of Paris",,Book of hours,,,,Book of hours,Q795
Brut chronicle,,Chronicles of England,,Brut Chronicle,Q39915,,
Piers Plowman; Mandeville; Troilus; etc.,,Piers Plowman,,,,Piers Plowman;Travels of Sir John Mandeville,Q40016;Q39846
Portolan chart; cartographic material,,,,,,Portolan chart,Q38411
"Gradual, leaf",,,,,,Gradual,Q1121
"Antiphonal, leaf",,,,,,Antiphonary,Q654
Gradual leaf,,,,,,Gradual,Q1121
"Decorated initials, cuttings",,,,,,Decorated initial,Q19949
"Folio Bible, fragment",,,,,,Bible,Q661
Meditationes Vitae Christi,,,,,,Meditationes vitae Christi,Q40003
"Portiforium, use of Sarum",,,,,,Portiforium,Q39685
Constitutiones provinciales,,,,,,Constitutiones provinciales,Q39268
Glossed Gospel of Mark,,Bible,,,,Bible,Q661
"Psalter-Hours, use of Sarum",,,,,,Psalter-Hours,Q39705
"Book of Hours, Sarum and Utrecht uses, adapted for York use",,,,,,Book of hours,Q795
"Breviary, use of Sarum",,,,,,Breviary,Q657
Sermons,,,,,,Sermons,Q1400
Sermones,,,,,,Sermons,Q1400
"Book of Hours, use of Sarum, in Latin, English, and Czech (the ""Felbrigg Hours"")",,Book of hours,,,,Book of hours,Q795
"Portolan atlas, Italian",,,,,,Portolan atlas,Q2828
"Astrological treatises, in English (composite volume, fragment)",,,,,,Astrological texts,Q3123
"Registrum brevium, in Latin and French",,,,,,Register brevium,Q40022
"Treatises on civil and canon law, etc.",,,,,,Legal texts,Q6030
"Book of Hours, use of Sarum, in Latin with English additions",,,,,,Book of hours,Q795
"Legal formulary, etc., in Latin, French and English",,,,,,Legal formulary,Q39534
"Nova statuta, 1-50 Edward III and 1-12 Richard II",,,,,,Nova statuta,Q20023
Lectern Bible leaf from Ezekiel 47:19-48:7,,Bible,,,,Bible,Q661
Compendium theologicae veritatis,,,,,,Compendium theologicae veritatis,Q1426
Cartulary of Battle Abbey,,,,,,Cartulary,Q3686
Cartulary of the office of sacristan of Battle Abbey,,,,,,Cartulary,Q3686
"Roman law, fragments",,,,,,Roman law,Q1329
Historical miscellany,,,,,,Historical texts,Q7021
King Johan,,,,,,King Johan,Q39471
Scale of perfection,,Scale of perfection,,,,Scale of perfection,Q7028
Psalter ; English Psalter Commentary ; Holy Boke Gracia Dei ; and other works,,,,,,Psalter,Q660
Collection of pastoral works,,,,,,Pastoral texts,Q38403
"Missal, Sarum use, and selections from votive masses and sequences",,,,,,Missal,Q662
"Collection of theological works by Robert Holcot, William Woodford, Franciscus de Mayronis and others",,,,,,Theological texts,Q822
"Selections by Bede, including his Historia ecclesiastica",,,,,,Works of Bede,Q39763
"Book of hours, use of Sarum",,,,,,Book of hours,Q795
"Book of Hours, Sarum use",,"Book of hours (Diocese of Salisbury, England)",,,,Book of hours,Q795
"Book of Hours, use of Paris",,,,,,Book of hours,Q795
"Book of Hours, use of Rome",,Book of hours (Usus Romanus),,Book of hours,Q795,,
"Book of Hours, use of Rome, and a Prayerbook",,Book of hours (Usus Romanus),,,,Book of hours,Q795
"Book of Hours, use of Amiens",,,,,,Book of hours,Q795
"Book of Hours, in Dutch",,,,,,Book of hours,Q795
"Book of hours, use of Paris, in French",,,,,,Book of hours,Q795
"Book of Hours, use of the congregation of Windesheim",,,,,,Book of hours,Q795
"Book of Hours, use of Besançon[?",,,,,,Book of hours,Q795
"Book of hours, use of Paris[?",,,,,,Book of hours,Q795
"Devotions, in Dutch",,,,,,Devotional texts,Q5966
"Book of Hours, use of Bescançon",,,,,,Book of hours,Q795
Mass and Office of Lawrence and of the Dead,,,,,,Massbook;Office;Office of the Dead,Q1386;Q1467;Q17604
Hymnal for vespers,,,,,,Hymnal,Q666
Antiphonal,,,,,,Antiphonary,Q654
Fragment from a Breviary,,,,,,Breviary,Q657
Lectionary,,,,,,Lectionary,Q663
Cistercian Breviary,,Breviary (Cistercian),,,,Breviary,Q657
"Processional, Sarum use",,Processional (Salisbury),,,,Processional,Q1336
Sarum manual,,,,,,Sarum manual,Q39757
Fragment from a Gradual,,,,,,Gradual,Q1121
Gradual,,,,,,Gradual,Q1121
Fragment from a choir book,,,,,,Choir book,Q1449
Fragment from a Sacramentary,,,,,,Sacramentary,Q653
"Book of Hours, use of Chartres",,,,,,Book of hours,Q795
"Book of Hours, use of Sens[?",,,,,,Book of hours,Q795
