genre_as_recorded,vocab,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
"Manuscripts, Hebrew--18th century",lcsh,,"Manuscripts, Hebrew;Eighteenth century",http://id.worldcat.org/fast/1008360;http://id.worldcat.org/fast/904058,Q150;Q3024,,,
Early works,fast,(OCoLC)fst01411636,,,,Early works,http://id.worldcat.org/fast/1411636,Q300
Manuscripts (documents),aat,,,,,manuscripts (documents),http://vocab.getty.edu/aat/300028569,Q10789
"Manuscripts, Hebrew--15th century",lcsh,,,,,"Manuscripts, Hebrew;Fifteenth century",http://id.worldcat.org/fast/1008360;http://id.worldcat.org/fast/923962,Q150;Q154
"Manuscripts, Hebrew--17th century",lcsh,,"Manuscripts, Hebrew;Seventeenth century",http://id.worldcat.org/fast/1008360;http://id.worldcat.org/fast/1113663,Q150;Q2771,,,
"Manuscripts, Hebrew--1830",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--16th century",lcsh,,,,,"Manuscripts, Hebrew;Sixteenth century",http://id.worldcat.org/fast/1008360;http://id.worldcat.org/fast/1119851,Q150;Q335
"Manuscripts, Hebrew--y1782",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1793",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--24th century",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1824",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1786",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1720",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1711",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1663",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1709",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1736",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1779",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--19th century",lcsh,,"Manuscripts, Hebrew;Nineteenth century",http://id.worldcat.org/fast/1008360;http://id.worldcat.org/fast/1037841,Q150;Q3538,,,
"Manuscripts, Hebrew--1850",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1686",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1789",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1758",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1782",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1751",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1863",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
Indexes,fast,(OCoLC)fst01423761,Indexes,http://id.worldcat.org/fast/1423761,Q11334,,,
Manuscripts,lcgft,http://id.loc.gov/authorities/genreForms/gf2022026088,,,,Manuscripts,http://id.worldcat.org/fast/1424060,Q331
Compilation manuscripts,aat,,,,,compilation manuscripts,http://vocab.getty.edu/aat/300403970,Q2790
Manuscripts (documents)--Spain--14th century,aat,,manuscripts (documents);Spain;Fourteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/933420,Q10789;Q343;Q295,,,
Sacred works,lcgft,http://id.loc.gov/authorities/genreForms/gf2015026045,,,,Sacred works,http://id.worldcat.org/fast/1923249,Q11490
Scrolls (information artifacts),aat,http://vocab.getty.edu/aat/300028629,,,,scrolls (information artifacts),http://vocab.getty.edu/aat/300028629,Q8246
Manuscripts (documents),aat,http://vocab.getty.edu/aat/300028569,,,,manuscripts (documents),http://vocab.getty.edu/aat/300028569,Q10789
"Manuscripts, Hebrew--1749",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1788",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1820",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1683",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1692",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1794",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--14th century",lcsh,,"Manuscripts, Hebrew;Fourteenth century",http://id.worldcat.org/fast/1008360;http://id.worldcat.org/fast/933420,Q150;Q295,,,
"Manuscripts, Hebrew--11th century",lcsh,,"Manuscripts, Hebrew;Eleventh century",http://id.worldcat.org/fast/1008360;http://id.worldcat.org/fast/908096,Q150;Q306,,,
"Manuscripts, Hebrew--10th century",lcsh,,"Manuscripts, Hebrew;Tenth century",http://id.worldcat.org/fast/1008360;http://id.worldcat.org/fast/1147737,Q150;Q12530,,,
"Manuscripts, Hebrew--1902",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew",lcsh,,,,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150
"Manuscripts, Hebrew--1884",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1803",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1801",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1735",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1636",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1559",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1776",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1724",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--between 1629 and 1704",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew and Italain--1715",lcsh,,"Manuscripts, Hebrew;Manuscripts, Italian",http://id.worldcat.org/fast/1008360;http://id.worldcat.org/fast/1008378,Q150;Q269,,,
"Manuscripts, Hebrew--1896",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew and Italain--1645",lcsh,,"Manuscripts, Hebrew;Manuscripts, Italian",http://id.worldcat.org/fast/1008360;http://id.worldcat.org/fast/1008378,Q150;Q269,,,
"Manuscripts, Hebrew--1866",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1615",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1657",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1693",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1734",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1875",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--19h century",lcsh,,"Manuscripts, Hebrew;Nineteenth century",http://id.worldcat.org/fast/1008360;http://id.worldcat.org/fast/1037841,Q150;Q3538,,,
"Manuscripts, Hebrew--1696",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1675",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1690",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1859",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1654",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1738",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Portuguese--1685",lcsh,,"Manuscripts, Portuguese",http://id.worldcat.org/fast/1008467,Q48239,,,
"Manuscripts, Hebrew--12th century",lcsh,,"Manuscripts, Hebrew;Twelfth century",http://id.worldcat.org/fast/1008360;http://id.worldcat.org/fast/1159791,Q150;Q304,,,
"Manuscripts, Hebrew and Ladino--19th century",lcsh,,"Manuscripts, Hebrew;Nineteenth century",http://id.worldcat.org/fast/1008360;http://id.worldcat.org/fast/1037841,Q150;Q3538,,,
"Manuscripts, Hebrew--1815",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1821",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1870",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1799",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1722",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1781",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
"Manuscripts, Hebrew--1405",lcsh,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150,,,
