language_as_recorded,language_code,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Armenian,,,,,Armenian,Q8785,Q792
Persian,,,,,Persian,Q9168,Q120
Arabic,,,,,Arabic,Q13955,Q118
Arabic with Persian translation and marginal notes,,,,,Arabic;Persian,Q13955;Q9168,Q118;Q120
Arabic with a few pages in Ottoman Turkish,,,,,Arabic;Ottoman Turkish,Q13955;Q36730,Q118;Q3104
Arabic with some notes in Persian,,,,,Arabic;Persian,Q13955;Q9168,Q118;Q120
Persian with two leaves in Sanskrit; colophon in Urdu,,,,,Persian;Sanskrit;Urdu,Q9168;Q11059;Q1617,Q120;Q27494;Q27496
Ottoman Turkish,,,,,Ottoman Turkish,Q36730,Q3104
ara,,,,,Arabic,Q13955,Q118
English and Romanized Assyrian (Akkadian),,English;Akkadian,Q1860;Q35518,Q109;Q74792,,,
Arabic and Persian,,,,,Arabic;Persian,Q13955;Q9168,Q118;Q120
Spanish,,,,,Spanish,Q1321,Q114
Arabic and Ottoman Turkish,,,,,Arabic;Ottoman Turkish,Q13955;Q36730,Q118;Q3104
"Coptic, Bohairic dialect, with a few notations in Arabic",,,,,Coptic;Bohairic;Arabic,Q36155;Q890733;Q13955,Q4335;Q27517;Q118
Ottoman Turkish and Persian with some Arabic quotations and headings,,,,,Ottoman Turkish;Persian;Arabic,Q36730;Q9168;Q13955,Q3104;Q120;Q118
Ottoman Turkish and Persian,,,,,Ottoman Turkish;Persian,Q36730;Q9168,Q3104;Q120
Persian and Arabic,,,,,Persian;Arabic,Q9168;Q13955,Q120;Q118
Chiefly Arabic with some Samaritan Aramaic,,,,,Arabic;Samaritan Aramaic,Q13955;Q56612,Q118;Q6995
Ottoman Turkish with two pages in Arabic,,,,,Ottoman Turkish;Arabic,Q36730;Q13955,Q3104;Q118
Pahlavi and Persian,,,,,Middle Persian;Persian,Q32063;Q9168,Q27493;Q120
Arabic with translation in Persian,,,,,Arabic;Persian,Q13955;Q9168,Q118;Q120
Arabic with interlinear Persian translation,,,,,Arabic;Persian,Q13955;Q9168,Q118;Q120
ave,,,,,Avestan,Q29572,Q27501
san,,,,,Sanskrit,Q11059,Q27494
Arabic with one line in Ottoman Turkish,,,,,Arabic;Ottoman Turkish,Q13955;Q36730,Q118;Q3104
Arabic text with Persian marginalia,,,,,Arabic;Persian,Q13955;Q9168,Q118;Q120
Persian with some Arabic quotations,,Persian;Arabic,Q9168,Q120,,,
Chiefly Ottoman Turkish with Persian and Arabic vocabulary and headings in Arabic,,,,,Persian;Arabic;Ottoman Turkish,Q9168;Q13955;Q36730,Q120;Q118;Q3104
Persian with Arabic source-text,,,,,Persian;Arabic,Q9168;Q13955,Q120;Q118
Persian with two pages in Arabic (f. 23r/v),,,,,Persian;Arabic,Q9168;Q13955,Q120;Q118
Avestan (in Pahlavi script) and Pahlavi with one line in Gujarati,,,,,Avestan;Middle Persian;Gujarati,Q29572;Q32063;Q5137,Q27501;Q27493;Q27495
Arabic and Turkish,,,,,Arabic;Turkish,Q13955;Q256,Q118;Q4337
Layout: 5 lines per page,,,,,,,
Layout: 5 long lines,,,,,,,
Arabic and Coptic,,,,,Arabic;Coptic,Q13955;Q36155,Q118;Q4335
Arabic with some Persian annotations,,,,,Arabic;Persian,Q13955;Q9168,Q118;Q120
Ottoman with translations from Arabic; inserts in Persian laid in,,,,,Ottoman Turkish;Arabic;Persian,Q36730;Q13955;Q9168,Q3104;Q118;Q120
Arabic with some Persian marginalia,,,,,Arabic;Persian,Q13955;Q9168,Q118;Q120
Arabic with one work in Persian (number 8),,,,,Arabic;Persian,Q13955;Q9168,Q118;Q120
Ottoman Turkish with titles and vocabulary in Persian,,,,,Ottoman Turkish;Persian,Q36730;Q9168,Q3104;Q120
Arabic with one page in Ottoman Turkish,,,,,Arabic;Ottoman Turkish,Q13955;Q36730,Q118;Q3104
Avestan and Persian with some Pahlavi,,,,,Avestan;Persian;Middle Persian,Q29572;Q9168;Q32063,Q27501;Q120;Q27493
Persian with source-text in Arabic,,,,,Persian;Arabic,Q9168;Q13955,Q120;Q118
"In Avestan. Colophons in Pahlavi, Persian and Gujarati",,,,,Avestan;Middle Persian;Persian;Gujarati,Q29572;Q32063;Q9168;Q5137,Q27501;Q27493;Q120;Q27495
Arabic with Persian heading and marginalia,,,,,Arabic;Persian,Q13955;Q9168,Q118;Q120
Persian with some English glosses,,,,,Persian,Q9168,Q120
Persian translations and commentary with Arabic source-text,,,,,Persian;Arabic,Q9168;Q13955,Q120;Q118
Chiefly Arabic with some Persian,,,,,Arabic;Persian,Q13955;Q9168,Q118;Q120
Arabic with a short introduction in Persian,,,,,Arabic;Persian,Q13955;Q9168,Q118;Q120
Persian with titles in Arabic,,,,,Persian;Arabic,Q9168;Q13955,Q120;Q118
Turkish with source text in Arabic,,,,,Turkish;Arabic,Q256;Q13955,Q4337;Q118
Persian with some phrases in Arabic,,,,,Persian;Arabic,Q9168;Q13955,Q120;Q118
Arabic with a few statements in Persian,,,,,Arabic;Persian,Q13955;Q9168,Q118;Q120
Persian with two pages in Arabic (f. 1v-2r),,,,,Persian;Arabic,Q9168;Q13955,Q120;Q118
Arabic with 13 pages in Ottoman Turkish,,,,,Arabic;Ottoman Turkish,Q13955;Q36730,Q118;Q3104
Arabic with some Ottoman Turkish,,,,,Arabic;Ottoman Turkish,Q13955;Q36730,Q118;Q3104
Arabic with one page translated into Persian,,,,,Arabic;Persian,Q13955;Q9168,Q118;Q120
