subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Bible. Esther--Early works to 1800,0,a;p--v,,Bible. Esther;Early works,http://id.worldcat.org/fast/1892901;http://id.worldcat.org/fast/1411636,Q16347;Q300,,,
Österreichische Nationalbibliothek.--Manuscript.--Cod. hebr. 24,0,a--k--n,,Österreichische Nationalbibliothek;Manuscripts,http://id.worldcat.org/fast/534120;http://id.worldcat.org/fast/1424060,Q75328;Q331,,,
Bible. Old Testament--Commentaries--Early works to 1800,0,a;p--v--v,,,,,Bible. Old Testament;Commentaries;Early works,http://id.worldcat.org/fast/1808092;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411636,Q4202;Q2812;Q300
Talmud. Nashim--Early works to 1800,0,a;p--v,,Talmud. Nashim;Early works,http://id.worldcat.org/fast/1364580;http://id.worldcat.org/fast/1411636,Q75329;Q300,,,
Ein Yaʻakov,0,a,http://id.loc.gov/authorities/names/n83184381,Ein Yaʻakov,http://id.worldcat.org/fast/1370915,Q74875,,,
Talmud. Nezikin--Early works to 1800,0,a;p--v,,Talmud. Nezikin;Early works,http://id.worldcat.org/fast/1370870;http://id.worldcat.org/fast/1411636,Q75330;Q300,,,
Tosafot,0,a,http://id.loc.gov/authorities/names/n84033364,Tosafot,http://id.worldcat.org/fast/1357420,Q74876,,,
"Karo, Joseph ben Ephraim, 1488-1575. Oraḥ ḥayim",0,a;d;t,http://id.loc.gov/authorities/names/n82086022,"Oraḥ ḥayim (Karo, Joseph ben Ephraim)",http://id.worldcat.org/fast/1367427,Q74877,,,
Grace after meals--Early works to 1800,0,a--v,,Grace after meals;Early works,http://id.worldcat.org/fast/1359877;http://id.worldcat.org/fast/1411636,Q75084;Q300,,,
Astrolabe--Early works to 1800,0,a--v,,Astrolabes;Early works,http://id.worldcat.org/fast/819392;http://id.worldcat.org/fast/1411636,Q314;Q300,,,
