name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
Armenian Church,author,,,,,,,,organization,Armenian Catholic Church,Q64842,Q41936
Saʻdī,author,سعدي,,,,,,,human,Saadi,Q170302,Q3799
"Dāʼim, Muḥammad, active 1757",scribe,دائم، محمد، active 1757،,,,,,,,human,Muḥammad Dāʼim,Q124130452,Q28055
"Jackson, A. V. Williams 1862-1937",former owner,,,,,,,,human,A. V. Williams Jackson,Q4648478,Q27958
"Iṣfahānī, Muḥammad Muḥsin",scribe,اصفهاني، محمد محسن،,,,,,,,human,Muḥammad Muḥsin Iṣfahānī,Q124130476,Q27917
"Smith, David Eugene, 1860-1944",former owner,,,,,,,,human,David Eugene Smith,Q1174369,Q27891
"Jazūlī, Muḥammad ibn Sulaymān, 1404-1465",author,جزولي، محمد بن سليمان، 1404-1465,,,,,,,human,Muhammad al-Jazuli,Q1775944,Q18651
Ḥasan Niyāzī Afandīʹzādah Muḥammad Amīn Ḥilmī,scribe,حسن نيازي افندي‌زاده محمد امين حلمي,,,,,,,human,Ḥasan Niyāzī Afandīʹzādah Muḥammad Amīn Ḥilmī,Q124130550,Q27918
"ʻIyāḍ ibn Mūsá, 1083-1149",author,عياض بن موسى، 1083-1149,http://id.loc.gov/authorities/names/n83017679,,,,,,human,Qadi Ayyad,Q3101035,Q3786
"Khawāfī, Burhān ibn Waḥīd, active 1537",scribe,خوافي، برهان بن وحيد، active 1537،,,,,,,,human,Burhān ibn Waḥīd Khawāfī,Q124130485,Q28020
"Sharīf al-Ḥusaynī, active 1698",scribe,شريف الحسيني، active 1698،,,,,,,,human,Sharīf al-Ḥusaynī,Q124130526,Q28023
"Plimpton, George A. 1855-1936",former owner,,,,,,,,human,George Arthur Plimpton,Q5536449,Q16572
"Sayyid Muṣṭafá, active 1849",scribe,سيد مصطفى، active 1849،,,,,,,,human,Sayyid Muṣṭafá,Q114242502,Q28029
"Gulāb Rāʼī, Fadwá, active 19th century",author,گلاب رائي، فدوى، active 19th century،,,,,,,,human,Fadwá Gulāb Rāʼī,Q124130457,Q28028
"Cotheal, Alexander Isaac, 1804-1894",former owner,,,,,,,,human,Alexander Isaac Cotheal,Q15627277,Q27972
"ʻAbd al-Raḥmān al-Tawfīq, active 1848",scribe,عبد الرحمن التوفيق، active 1848،,,human,ʻAbd al-Raḥmān al-Tawfīq,Q132799253,DSNAME8136,Q75554,,,,
"Fuhrmann, Otto W.",former owner,,,,,,,,human,Otto Walter Fuhrmann,Q110215361,Q40694
"ʻAbd al-Ghanī ibn ʻAbd al-Qādir Qāyinī, active 1619",scribe,عبد الغني بن عبد القادر قايني، active 1619،,,,,,,,human,ʻAbd al-Ghanī ibn ʻAbd al-Qādir Qāyinī,Q124130538,Q28042
"Muḥammad Riḍā ibn ʻAbd Allāh, active 1782",former owner,محمد رضا بن عبد الله، active 1782،,,,,,,,human,Muḥammad Riḍā ibn ʻAbd Allāh,Q124130500,Q28043
"Schaefler, Sam",former owner,,,,,,,,human,Sam Schaefler,Q124130525,Q27999
"Alisher Navoiĭ, 1441-1501",author,عليشر نوايى، 1441-1501,,human,Ali-Shir Nava'i,Q503340,DSNAME8137,Q75555,,,,
"Yohannan, Abraham, 1853-1925",former owner,,,,,,,,human,Abraham Yohannan,Q109854399,Q28027
"Vāʻiẓ Qazvīnī, Muḥammad Rafīʻ, 1617 or 1618-1678 or 1679",author,"واعظ قزوىنى، محمد رفىع،, 1617 or 1618-1678 or 1679",,,,,,,human,Muḥammad Rafīʻ Vāʻiẓ Qazvīnī,Q129453087,Q49015
"Ibn Qāḍī ʻAjlūn, Muḥammad ibn ʻAbd Allāh, 1427 or 1428-1471 or 1472",author,ابن قاضي عجلون، محمد بن عبد الله، 1427 or 1428-1471 or 1472,,,,,,,human,Muḥammad ibn ʻAbd Allāh ibn Qāḍī ʻAjlūn,Q124130465,Q27964
"Muʻaẓẓam, Sultan of Damascus, 1180-1227",author,معظم، سلطان دمشق، 1180-1227,,,,,,,human,Al-Mu'azzam Isa,Q286553,Q28017
"ʻAlī ibn Abī Ṭālib ibn ʻAlī ibn ʻAlī ibn ʻAlī ibn al-Ḥusayn, active 1226",scribe,علي بن ابي طالب بن علي بن علي بن علي بن الحسين، active 1226,,,,,,,human,ʻAlī ibn Abī Ṭālib ibn ʻAlī ibn ʻAlī ibn ʻAlī ibn al-Ḥusayn,Q124130543,Q28018
"Kāshifī, Ḥusayn Vāʻiẓ, -1504 or 1505",author,كاشفي، حسين واعظ، 1504 أو 1505,,,,,,,human,Ḥusain Wāʿiẓ Kāšifī,Q4502475,Q18688
"Iṣfahānī, Ṣādiq ibn Muḥammad Jaʻfar, active 1816",scribe,اصفهاني، صادق بن محمد جعفر، active 1816,,,,,,,human,Ṣādiq ibn Muḥammad Jaʻfar Iṣfahānī,Q124130478,Q28007
"Cochran, Alexander Smith, 1874-1929",former owner,,,,,,,,human,Alexander Smith Cochran,Q4720109,Q28004
"Maḥallī, Jalāl al-Dīn Muḥammad ibn Aḥmad, 1389-1459",author,محلي، جلال الدين محمد بن احمد، 1389-1459,,,,,,,human,Jalaluddin al-Mahalli,Q6758211,Q27965
"Prince, John Dyneley, 1868-1945",author,,,human,John Dyneley Prince,Q15451730,DSNAME8138,Q75556,,,,
"Vanderburgh, Frederick Augustus, 1847-1923",author,,,human,Frederick Augustus Vanderburgh,Q107266968,DSNAME8139,Q75557,,,,
"Prince, John Dyneley, 1868-1945",former owner,,,human,John Dyneley Prince,Q15451730,DSNAME8138,Q75556,,,,
Saʻdī,author,سعدى,,,,,,,human,Saadi,Q170302,Q3799
"Bayḍāwī, ʻAbd Allāh ibn ʻUmar, -1286?",author,بيضاوي، عبد الله بن عمر، -1286؟,,human,Al-Baydawi,Q287573,DSNAME1896,Q12426,,,,
"Manesca, John, approximately 1780-1838",author,,,,,,,,human,Jean Manesca,Q108641807,Q28050
"Baháʼuʼlláh, 1817-1892",author,بهاء الله، 1817-1892,,,,,,,human,Baháʼu'lláh,Q101054,Q28054
"Dahīʹzādah, active 1797",former owner,دهى‌ز‌اده، active 1797،,,,,,,,human,Dahīʹzādah,Q124130450,Q28048
"Ibrāhīmʹzādah Ismāʻīl Z̲ihnī, active 1830",former owner,ابراهىم‌ز‌اده اسماعىل ذهنى، active 1830،,,,,,,,human,Ibrāhīmʹzādah Ismāʻīl Z̲ihnī,Q124130471,Q28049
