place_as_recorded,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
S.l.,undetermined,http://vocab.getty.edu/tgn/7544559,Q650,,,
Germany?,,,,Germany,http://vocab.getty.edu/tgn/7000084,Q131
Italy,,,,Italy,http://vocab.getty.edu/tgn/1000080,Q134
Constantinople,,,,Istanbul,http://vocab.getty.edu/tgn/7002473,Q11605
France,,,,France,http://vocab.getty.edu/tgn/1000070,Q122
Spain?,,,,Spain,http://vocab.getty.edu/tgn/1000095,Q129
New York,,,,New York,http://vocab.getty.edu/tgn/7007567,Q27486
Ukraine,Ukraine,http://vocab.getty.edu/tgn/7006660,Q74798,,,
Corfu,Corfu,http://vocab.getty.edu/tgn/7010883,Q74795,,,
Tsefat,Safad,http://vocab.getty.edu/tgn/7032018,Q74799,,,
Florence,,,,Florence,http://vocab.getty.edu/tgn/7000457,Q3084
Damascus,,,,Damascus,http://vocab.getty.edu/tgn/7002261,Q11626
Venice,,,,Venice,http://vocab.getty.edu/tgn/7018159,Q2823
Germany,,,,Germany,http://vocab.getty.edu/tgn/7000084,Q131
s.l.,undetermined,http://vocab.getty.edu/tgn/7544559,Q650,,,
Morocco,,,,Morocco,http://vocab.getty.edu/tgn/1000179,Q3657
Turkey,,,,Turkey,http://vocab.getty.edu/tgn/1000144,Q3079
Croatia,,,,Croatia,http://vocab.getty.edu/tgn/7006663,Q137
Croatia?,Croatia,http://vocab.getty.edu/tgn/7006663,Q137,,,
Greece,,,,Greece,http://vocab.getty.edu/tgn/1000074,Q16421
Israel,Israel,http://vocab.getty.edu/tgn/1000119,Q74800,,,
Hungary,,,,Hungary,http://vocab.getty.edu/tgn/7006278,Q19897
Italy?,,,,Italy,http://vocab.getty.edu/tgn/1000080,Q134
Morocco?,Morocco,http://vocab.getty.edu/tgn/1000179,Q3657,,,
Kurdistan?,Kurdistan,http://vocab.getty.edu/tgn/1003770,Q74796,,,
Iran?,,,,Iran,http://vocab.getty.edu/tgn/7000231,Q2822
Iraq,Iraq,http://vocab.getty.edu/tgn/1000118,Q3090,,,
Amsterdam,Amsterdam,http://vocab.getty.edu/tgn/7006952,Q74801,,,
"Basse-Alsace, France",Alsace;France,http://vocab.getty.edu/tgn/7024265;http://vocab.getty.edu/tgn/1000070,Q38135;Q122,,,
S.l,undetermined,http://vocab.getty.edu/tgn/7544559,Q650,,,
Tunis,,,,Tunis,http://vocab.getty.edu/tgn/7001016,Q11609
Kurdistan,Kurdistan,http://vocab.getty.edu/tgn/1003770,Q74796,,,
Greece?,,,,Greece,http://vocab.getty.edu/tgn/1000074,Q16421
Poland,,,,Poland,http://vocab.getty.edu/tgn/7006366,Q19890
Syria,,,,Syria,http://vocab.getty.edu/tgn/1000140,Q3096
"Thessalonikē, Greece?",Salonika;Greece,http://vocab.getty.edu/tgn/7011182;http://vocab.getty.edu/tgn/1000074,Q3085;Q16421,,,
Czech Republic,,,,Czech Republic,http://vocab.getty.edu/tgn/1001780,Q38180
Jerusalem,,,,Jerusalem,http://vocab.getty.edu/tgn/7001371,Q11620
,,,,,,
Ṿenetsiʼah,Venice,http://vocab.getty.edu/tgn/7018159,Q2823,,,
"Mantua, Italy",Mantua;Italy,http://vocab.getty.edu/tgn/7005879;http://vocab.getty.edu/tgn/1000080,Q2824;Q134,,,
Tunisia,Tunisia,http://vocab.getty.edu/tgn/1000205,Q74797,,,
Ukraine?,Ukraine,http://vocab.getty.edu/tgn/7006660,Q74798,,,
Sulcht [Crimea,Crimea,http://vocab.getty.edu/tgn/7010345,Q42494,,,
Yemen,,,,Yemen,http://vocab.getty.edu/tgn/7000261,Q2825
Alexandria,Alexandria,http://vocab.getty.edu/tgn/7001188,Q74802,,,
"Padua, Italy",,,,Padua;Italy,http://vocab.getty.edu/tgn/7003085;http://vocab.getty.edu/tgn/1000080,Q3091;Q134
"Fulda, Germany",,,,Fulda;Germany,http://vocab.getty.edu/tgn/7005294;http://vocab.getty.edu/tgn/7000084,Q12704;Q131
Turkey?,,,,Turkey,http://vocab.getty.edu/tgn/1000144,Q3079
Utrecht,,,,Utrecht,http://vocab.getty.edu/tgn/7006926,Q10829
]S.l.,undetermined,http://vocab.getty.edu/tgn/7544559,Q650,,,
U.S.A?,United States,http://vocab.getty.edu/tgn/7012149,Q17532,,,
s.l,undetermined,http://vocab.getty.edu/tgn/7544559,Q650,,,
Syria?,Syria,http://vocab.getty.edu/tgn/1000140,Q3096,,,
Padua,,,,Padua,http://vocab.getty.edu/tgn/7003085,Q3091
Suriname,Suriname,http://vocab.getty.edu/tgn/7015386,Q74803,,,
Netherlands,,,,Netherlands,http://vocab.getty.edu/tgn/7016845,Q651
Spain,,,,Spain,http://vocab.getty.edu/tgn/1000095,Q129
]Italy,Italy,http://vocab.getty.edu/tgn/1000080,Q134,,,
]France,France,http://vocab.getty.edu/tgn/1000070,Q122,,,
"Witzenhausen-Barchfeld, Hessen, Germany",Witzenhausen;Barchfeld;Hesse;Germany,http://vocab.getty.edu/tgn/1041864;http://vocab.getty.edu/tgn/7210088;http://vocab.getty.edu/tgn/7003678;http://vocab.getty.edu/tgn/7000084,Q74804;Q74805;Q38210;Q131,,,
"Altona, Germany",Altona;Germany,http://vocab.getty.edu/tgn/7060796;http://vocab.getty.edu/tgn/7000084,Q74806;Q131,,,
"Livorno, Italy",Livorno;Italy,http://vocab.getty.edu/tgn/7006074;http://vocab.getty.edu/tgn/1000080,Q7213;Q134,,,
