subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
"Jewish sermons, Hebrew--Early works to 1800",0,a--v,http://id.loc.gov/authorities/subjects/sh2008106079,"Jewish sermons, Hebrew;Early works",http://id.worldcat.org/fast/982992;http://id.worldcat.org/fast/1411636,Q48307;Q300,,,
Jewish ethics--Early works to 1800,0,a--v,http://id.loc.gov/authorities/subjects/sh2008106068,Jewish ethics;Early works,http://id.worldcat.org/fast/1199497;http://id.worldcat.org/fast/1411636,Q74856;Q300,,,
"Manuscripts, Hebrew",0,a,http://id.loc.gov/authorities/subjects/sh85080722,,,,"Manuscripts, Hebrew",http://id.worldcat.org/fast/1008360,Q150
Questions and answers,0,a,http://id.loc.gov/authorities/subjects/sh85109826,,,,Questions and answers,http://id.worldcat.org/fast/1085701,Q48881
Responsa,0,a,http://id.loc.gov/authorities/subjects/sh85113223,Responsa,http://id.worldcat.org/fast/1095848,Q74824,,,
Philosophy--Early works to 1800,0,a--v,http://id.loc.gov/authorities/subjects/sh2008109238,,,,Philosophy;Early works,http://id.worldcat.org/fast/1060777;http://id.worldcat.org/fast/1411636,Q5883;Q300
Philosophy and religion--Early works to 1800,0,a--v,http://id.loc.gov/authorities/subjects/sh2010106087,,,,Philosophy and religion;Early works,http://id.worldcat.org/fast/1060826;http://id.worldcat.org/fast/1411636,Q2806;Q300
Christianity--Controversial literature--Early works to 1800,0,a--v--v,http://id.loc.gov/authorities/subjects/sh2009119483,Christianity;Controversial literature;Early works,http://id.worldcat.org/fast/859599;http://id.worldcat.org/fast/1423907;http://id.worldcat.org/fast/1411636,Q5915;Q2992;Q300,,,
Judaism--Apologetic works--Early works to 1800,0,a--v--v,http://id.loc.gov/authorities/subjects/sh2008122497,Judaism;Apologetic writings;Early works,http://id.worldcat.org/fast/984280;http://id.worldcat.org/fast/1423698;http://id.worldcat.org/fast/1411636,Q4197;Q6975;Q300,,,
Apologetics--Jews--Early works to 1800,0,a--x--v,,Apologetics;Jews;Early works,http://id.worldcat.org/fast/811449;http://id.worldcat.org/fast/983135;http://id.worldcat.org/fast/1411636,Q5940;Q323;Q300,,,
Jewish calendar--Early works to 1800,0,a--v,,,,,Jewish calendar;Early works,http://id.worldcat.org/fast/1730485;http://id.worldcat.org/fast/1411636,Q55289;Q300
Fasts and feasts--Judaism--Early works to 1800,0,a--x--v,http://id.loc.gov/authorities/subjects/sh2008120293,Fasts and feasts--Judaism;Early works,http://id.worldcat.org/fast/921759;http://id.worldcat.org/fast/1411636,Q75434;Q300,,,
Jews--Germany--Schweinfurt--17th century,0,a--z--z--y,,Jews;Germany--Schweinfurt;Seventeenth century,http://id.worldcat.org/fast/983135;http://id.worldcat.org/fast/1214711;http://id.worldcat.org/fast/1113663,Q323;Q75193;Q2771,,,
Jews--Czech Republic--Roudnice nad Labem--17th century,0,a--z--z--y,,Jews;Czech Republic--Roudnice nad Labem;Seventeenth century,http://id.worldcat.org/fast/983135;http://id.worldcat.org/fast/1217018;http://id.worldcat.org/fast/1113663,Q323;Q75194;Q2771,,,
Jews--Germany--Frankfurt am Main--17th century,0,a--z--z--y,,Jews;Germany--Frankfurt am Main;Seventeenth century,http://id.worldcat.org/fast/983135;http://id.worldcat.org/fast/1207215;http://id.worldcat.org/fast/1113663,Q323;Q75285;Q2771,,,
"Manuscripts, Hebrew--Illustrations--Early works to 1800",0,a--v--v,,"Manuscripts, Hebrew;Illustrated works;Early works",http://id.worldcat.org/fast/1008360;http://id.worldcat.org/fast/1423873;http://id.worldcat.org/fast/1411636,Q150;Q294;Q300,,,
Legal documents--Early works to 1800,0,a--v,,Legal documents;Early works,http://id.worldcat.org/fast/995459;http://id.worldcat.org/fast/1411636,Q4864;Q300,,,
Legal instruments (Jewish law)--Early works to 1800,0,a--v,,Legal instruments (Jewish law);Early works,http://id.worldcat.org/fast/995497;http://id.worldcat.org/fast/1411636,Q74873;Q300,,,
Forms (Jewish law)--Early works to 1800,0,a--v,,Forms (Jewish law);Early works,http://id.worldcat.org/fast/932970;http://id.worldcat.org/fast/1411636,Q74944;Q300,,,
Jews--Austria--Vienna--Early works to 1800,0,a--z--z--v,,Jews;Austria--Vienna;Early works,http://id.worldcat.org/fast/983135;http://id.worldcat.org/fast/1204516;http://id.worldcat.org/fast/1411636,Q323;Q4891;Q300,,,
"Letter writing, Hebrew--Early works to 1800",0,a--v,,"Letter writing, Hebrew;Early works",http://id.worldcat.org/fast/996728;http://id.worldcat.org/fast/1411636,Q74852;Q300,,,
Jews--Germany--Bingen--Early works to 1800,0,a--z--z--v,,Jews;Germany--Bingen;Early works,http://id.worldcat.org/fast/983135;http://id.worldcat.org/fast/1301064;http://id.worldcat.org/fast/1411636,Q323;Q75195;Q300,,,
Jews--Germany--Friedberg (Bavaria)--Early works to 1800,0,a--z--z--v,,Jews;Germany--Friedberg (Bavaria);Early works,http://id.worldcat.org/fast/983135;http://id.worldcat.org/fast/1319356;http://id.worldcat.org/fast/1411636,Q323;Q75196;Q300,,,
Color in clothing--Early works to 1800,0,a--v,,Color in clothing;Early works,http://id.worldcat.org/fast/868568;http://id.worldcat.org/fast/1411636,Q74945;Q300,,,
Color guides--Early works to 1800,0,a--v,,Color guides;Early works,http://id.worldcat.org/fast/868557;http://id.worldcat.org/fast/1411636,Q74946;Q300,,,
Masorah--Early works to 1800,0,a--v,,Masorah;Early works,http://id.worldcat.org/fast/1011180;http://id.worldcat.org/fast/1411636,Q3645;Q300,,,
Hebrew poetry--Early works to 1800,0,a--v,,Hebrew poetry;Early works,http://id.worldcat.org/fast/954398;http://id.worldcat.org/fast/1411636,Q74934;Q300,,,
"Syriac language, Palestinian--Early works to 1800",0,a--v,,"Syriac language, Palestinian;Early works",http://id.worldcat.org/fast/1141337;http://id.worldcat.org/fast/1411636,Q74947;Q300,,,
"Religious poetry, Syriac--Early works to 1800",0,a--v,,"Religious poetry, Syriac;Early works",http://id.worldcat.org/fast/1738273;http://id.worldcat.org/fast/1411636,Q74948;Q300,,,
"Hymns, Syriac--Early works to 1800",0,a--v,,"Hymns, Syriac;Early works",http://id.worldcat.org/fast/965649;http://id.worldcat.org/fast/1411636,Q18318;Q300,,,
Prayer books--Early works to 1800,0,a--v,,,,,Prayer books;Early works,http://id.worldcat.org/fast/1074734;http://id.worldcat.org/fast/1411636,Q12535;Q300
"Manuscripts, Syriac--Early works to 1800",0,a--v,,"Manuscripts, Syriac;Early works",http://id.worldcat.org/fast/1008506;http://id.worldcat.org/fast/1411636,Q12691;Q300,,,
Aggada--Early works to 1800,0,a--v,http://id.loc.gov/authorities/subjects/sh2009114101,Aggada;Early works,http://id.worldcat.org/fast/800216;http://id.worldcat.org/fast/1411636,Q38804;Q300,,,
Talmud Torah (Judaism)--Early works to 1800,0,a--v,,,,,Talmud Torah (Judaism);Early works,http://id.worldcat.org/fast/1142354;http://id.worldcat.org/fast/1411636,Q39111;Q300
Grace at meals--Judaism--Early works to 1800,0,a--x--v,,Grace at meals--Judaism;Early works,http://id.worldcat.org/fast/1751238;http://id.worldcat.org/fast/1411636,Q75435;Q300,,,
