subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
"Hymns, Armenian--Early works to 1800",0,a--v,,,,,"Hymns, Armenian;Early works",http://id.worldcat.org/fast/965511;http://id.worldcat.org/fast/1411636,Q16372;Q300
"Manuscripts, Armenian",0,a,http://id.loc.gov/authorities/subjects/sh85080690,,,,"Manuscripts, Armenian",http://id.worldcat.org/fast/1008290,Q2964
"Manuscripts, Persian",0,a,http://id.loc.gov/authorities/subjects/sh85080754,,,,"Manuscripts, Persian",http://id.worldcat.org/fast/1008462,Q255
Persian literature--747-1500,0,a--y,http://id.loc.gov/authorities/subjects/sh85100076,,,,Persian literature,http://id.worldcat.org/fast/1058528,Q3612
Persian poetry--747-1500,0,a--y,http://id.loc.gov/authorities/subjects/sh85100085,,,,Persian poetry,http://id.worldcat.org/fast/1058542,Q3582
Arabic language--Grammar,0,a--x,http://id.loc.gov/authorities/subjects/sh86000279,,,,Arabic language--Grammar,http://id.worldcat.org/fast/812341,Q3523
"Manuscripts, Arabic",0,a,http://id.loc.gov/authorities/subjects/sh85080687,,,,"Manuscripts, Arabic",http://id.worldcat.org/fast/1008278,Q256
Islam--Prayers and devotions--Early works to 1800,0,a--v--v,,,,,Islam;Prayers and devotions;Early works,http://id.worldcat.org/fast/979776;http://id.worldcat.org/fast/1423909;http://id.worldcat.org/fast/1411636,Q3549;Q3052;Q300
Prayer--Islam--Early works to 1800,0,a--x--v,http://id.loc.gov/authorities/subjects/sh2010108002,,,,Prayer--Islam;Early works,http://id.worldcat.org/fast/1074698;http://id.worldcat.org/fast/1411636,Q11135;Q300
Mecca (Saudi Arabia)--Pictorial works,0,a--v,,,,,Saudi Arabia--Mecca;Pictorial works,http://id.worldcat.org/fast/1204780;http://id.worldcat.org/fast/1423874,Q11321;Q240
Medina (Saudi Arabia)--Pictorial works,0,a--v,,,,,Saudi Arabia--Medina;Pictorial works,http://id.worldcat.org/fast/1213531;http://id.worldcat.org/fast/1423874,Q18323;Q240
Astronomy--Tables--Early works to 1800,0,a--v--v,,,,,Astronomy;Tables;Early works,http://id.worldcat.org/fast/819673;http://id.worldcat.org/fast/1423914;http://id.worldcat.org/fast/1411636,Q166;Q18329;Q300
