title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Megilat Ester; ḳeṭʻa,מגילת אסתר,Bible,מגלת אסתר,Megillot;Book of Esther,Q44122;Q39133,,
Perush ʻal pi musar u-filosofyah,פירוש על פי מוסר ופילוסופיה,Malmad ha-talmidim,מלמד התלמידים,Sermons;Ethical treatise,Q1400;Q12100,,
Reshimah bibliografit al kitvei yad sheʼelot u-teshuvot,רשימה ביבליוגרפית על כתב יד שאלות ותשובות,,,List;Hebrew text,Q3116;Q75984,,
Biur emtsaʻi ʻal sifre ha-higayon shel Arisṭo,באור אמצעי על ספרי ההגיון של אריסטו,,,Commentary on Aristotle,Q3120,,
Maʼamar be-mithapkhot,מאמר במתהפכות,Philosophy,פילוסופיה,Philosophical text;Hebrew text,Q5996;Q75984,,
Petiḥat biʼur sefer ha-melitsah /,פתיחת באור ס' המליצה,Petiḥah le-biʼur sefer ha-melitsah shel Arisṭo,פתיחה לביאור ספר המליצה של אריסטו,Commentary on Aristotle;Hebrew texts,Q3120;Q44123,,
Sefer ha-nitsaḥon /,ספר הנצחון,,,Hebrew texts,Q44123,,
Sefer ʻevronot,ספר עברונות,Calendar,לוח שנה,Sefer ʻevronot;Astronomical text;Calendar,Q75985;Q38381;Q1122,,
Sheṭar ʻal ḳeniyat ḥazaḳah; be-yidish ube-ʻIvrit,שטר על קנית חזקה,Documents,שטרות,Deed,Q1319,,
Igron,אגרון,Collection of letters,אגרון,Lexicographical text,Q75986,,
ʻAsʹiyat tsevaʻim,עשית צבעים,,,Hebrew texts,Q44123,,
Kalul,כלול,,,Hebrew texts,Q44123,,
sefer Birkhat yosef; ʻinyane mesorah ve-hagahat sefer Torah /,ספר ברכת יוסף,,,Hebrew texts,Q44123,,
Prayer book; Syriac,,Prayer book (Syriac),,Prayer book;Syriac texts,Q1486;Q18424,,
"ʻEn Yaʻaḳov; Nashim, Neziḳin",עין יעקב,,,Hebrew texts,Q44123,,
Tefilot; ʻal derekh ha-ḳabalah,תפילות,,,Tefilot,Q75987,,
Perush Aderet Eliyahu] /,פרוש אדרת אליהו,,,Hebrew commentary,Q75988,,
Ḥokhmat ha-kokhavim /,חכמת הככבים,,,Astronomical text,Q38381,,
Torat ha-minḥah,תורת המנחה,,,Hebrew texts,Q44123,,
Sheʼelot u-teshuvot /,שאלות ותשובות,,,Responsa,Q75989,,
Ot ha-berit,אות הברית,Circumcision,ברית מילה,Text on circumcision,Q75990,,
Ḥizuḳ ha-emunah /,חזוק האמונה,,,Ḥizuḳ ha-emunah,Q75991,,
Sheveṭ Yehudah /,שבט יהודה,,,Hebrew texts,Q44123,,
