title_as_recorded,titles-cluster,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Sharakan,Sharakan,Շարական,Sharaknotsʻ,,Sharakan,Q39851,,
Būstān. Pandnāmah,,بوستان. پندنامه,,,,,Būstān,Q18625
Fragment of an Arabic grammar,,,,,,,Arabic grammatical text,Q27591
al-Qurʼān,,القرآن,Qurʼan,,,,Qurʼan,Q3697
Dalāʼil al-khayrāt wa shawāriq al-anwār fī dhikr al-ṣalāh ʻalá al-nabī al-mukhtār,,دلائل الخيرات و شوارق الانوار في ذكر الصلوة على النبي المختار,Dalāʼil al-khayrāt,دلائل الخيرات,,,Dala'il al-Khayrat,Q18568
al-Qurʼān,,القرآن,Qurʼan,قرآن,,,Qurʼan,Q3697
al-Juzʼ al-thālith ʻashar,,الجزء الثالث عشر,Qurʼan,قرآن,,,Qurʼan,Q3697
al-Juzʼ al-thānī wa-al-ʻishrūn,,الجزء الثاني والعشرون,Qurʼan,قرآن,,,Qurʼan,Q3697
al-Shifāʼ fī taʻrīf ḥuqūq al-Muṣṭafá,,الشفاء في تعريف حقوق المصطفى,,,,,Al-Shifa bi Ta'rif Huquq al-Mustafa,Q3687
Astronomical tables,,,,,,,Astronomical texts,Q3129
Calligraphy samples in Persian,,,,,,,Persian calligraphy,Q18587
Collection of treatises on Sufism and Islam,,,,,,,Sufi texts,Q27797
Șerh-i Hizbü'n-Nevevî,,شرح حزب النووى,,,,,Șerh-i Hizbü'n-Nevevî,Q27672
Three treatises on astronomy and arithmetic,,,,,,,Astronomical texts,Q3129
Navādir al-Shabāb,Navādir al-Shabāb,نوادر الشباب,,,Navādir al-Shabāb,Q39239,,
Abvāb al-jinān,,ابواب الجنان,,,,,Abvāb al-jinān,Q39178
