title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
"1&2 Philip and Mary, November 26; Copy of document 36 Henry VIII, February 10; 1. Henry VIII 2. Nicholas Cutler, Esq; £6-13-4 an. rent; Royal letters patent of Grant of office of General Woodward of Court of Augmentations in Suffolk & Norfolk for life (Paper, watermark)",,,,Document,Q8301,,
"2&3 Philip and Mary, 3, 5-11, 13-14, 16-17, 22-25, 28 Elizabeth 1555-1586",,,,Document,Q8301,,
Undated; Walter son of Richard de Polleye Bures,,,,Document,Q8301,,
The arrearages of Mr. Parker's Account,,,,Accounts,Q7851,,
10 John de Northwold Abbot (17 Ed I; Extent),,,,Document,Q8301,,
Circa 1 Richard II B1718 (Rental),,,,Rent;Document,Q5029;Q8031,,
10?Richard II (Gedynghall within Wortham only),,,,Document,Q8301,,
22 William Cratfeld?Abbot (13 Hen IV; Rental),,,,Rent;Document,Q5029;Q8031,,
26 William Cratfeld Abbot (3 Hen V; Rental),,,,Rent;Document,Q5029;Q8031,,
30 Henry VI (Wodehouse in Botisdale only; Rental),,,,Rent;Document,Q5029;Q8031,,
6 William Curtys Abbot (13 Hen VI; Rental),,,,Rent;Document,Q5029;Q8031,,
3 Henry VIII (Survey; Paper),,,,Property survey,Q8394,,
3 Henry VIII ?(Survey; Paper),,,,Property survey,Q8394,,
18 Henry VIII (Horssemere in Botoluesdale only; Rental),,,,Rent;Document,Q5029;Q8031,,
Undated (Rental),,,,Rent;Document,Q5029;Q8031,,
15 Henry VI; Subschedule of account (Allowances),,,,Accounts,Q7851,,
"7 Henry VIII, 29 September; Balyff's Account",,,,Accounts,Q7851,,
"8 Henry VIII, 29 September; Bayliff's Account",,,,Accounts,Q7851,,
38 Henry VIII; September 29; Account of Antony Waldegrave,,,,Accounts,Q7851,,
"7 Elizabeth, May 3; Particular Value",,,,Document,Q8301,,
Circa 7 Elizabeth?; Survey of Certaine Freehold lands lying in Redgrave,,,,Property survey,Q8394,,
"1587, September 29; Arrearages of Corn (With Burgate, Rickinghall and Wiverston), 1587",,,,Document,Q8301,,
Undated; Fragment of Steward's Account (Parchment),,,,Accounts,Q7851,,
12-13 Richard Draughton Abbot (17 Ed II),,,,Document,Q8301,,
13-14 Richard Draughton Abbot (18 Ed II),,,,Document,Q8301,,
19-20 Richard Draughton Abbot (4-5 Ed III),,,,Document,Q8301,,
2 William Bernham Abbot (10-11 Ed III),,,,Document,Q8301,,
5 William Bernham Abbot (13-14 Ed III),,,,Document,Q8301,,
7 William Bernham Abbot (15-16 Ed III),,,,Document,Q8301,,
8 William Bernham Abbot (16-17 Ed III),,,,Document,Q8301,,
11 William Bernham Abbot (19-20 Ed III),,,,Document,Q8301,,
13 William Bernham Abbot (21-22 Ed III),,,,Document,Q8301,,
14 William Bernham Abbot (22-23 Ed III),,,,Document,Q8301,,
15 William Bernham Abbot (23-24 Ed III),,,,Document,Q8301,,
16 William Bernham Abbot (24-25 Ed III),,,,Document,Q8301,,
17 William Bernham Abbot (25-26 Ed III),,,,Document,Q8301,,
19 William Bernham Abbot (27-28 Ed III),,,,Document,Q8301,,
21 William Bernham Abbot (29-30 Ed III),,,,Document,Q8301,,
22 William Bernham Abbot (30-31 Ed III),,,,Document,Q8301,,
24 William Bernham Abbot (32 - 33 Ed III),,,,Document,Q8301,,
25 William Bernham Abbot (33-34 Ed III),,,,Document,Q8301,,
26 William Bernham Abbot (34-35 Ed III),,,,Document,Q8301,,
1 John Brinkley Abbot (35-36 Ed III),,,,Document,Q8301,,
2 John Brinkley Abbot (36-37 Ed III),,,,Document,Q8301,,
3 John Brinkley Abbot (37-38 Ed III),,,,Document,Q8301,,
4 John Brinkley Abbot (38-39 Ed III),,,,Document,Q8301,,
5 John Brinkley Abbot (40 Ed III) ?(Visus),,,,Document,Q8301,,
7 John Brinkley Abbot (41-42 Ed III),,,,Document,Q8301,,
8 John Brinkley Abbot (42-43 Ed III),,,,Document,Q8301,,
9 John Brinkley Abbot (43-44 Ed III),,,,Document,Q8301,,
10 John Brinkley Abbot (44-45 Ed III),,,,Document,Q8301,,
12 John Brinkley Abbot (46-47 Ed III),,,,Document,Q8301,,
13 John Brinkley Abbot (47-48 Ed III),,,,Document,Q8301,,
15 John Brinkley Abbot (49-50 Ed III),,,,Document,Q8301,,
16 John Brinkley Abbot (50 Ed III - 1 Rich II),,,,Document,Q8301,,
Vacancy (2-3 Rich II),,,,Document,Q8301,,
2 Vacancy (3-4 Rich II),,,,Document,Q8301,,
3 Vacancy (4-5 Rich II),,,,Document,Q8301,,
4 Vacancy (5-6 Rich II),,,,Document,Q8301,,
1 John Tymworth Abbot (6-7 Rich II),,,,Document,Q8301,,
1 John Tymworth Abbot (7 Rich II) (Visus),,,,Document,Q8301,,
2 John Tymworth Abbot (7-8 Rich II),,,,Document,Q8301,,
3 John Tymworth Abbot (8-9 Rich II),,,,Document,Q8301,,
4 John Tymworth Abbot (9-10 Rich II),,,,Document,Q8301,,
5 John Tymworth Abbot (10-11 Rich II),,,,Document,Q8301,,
6 John Tymworth Abbot (11-12 Rich II),,,,Document,Q8301,,
Vacancy post mortem John Tymworth Abbot (12-13 Rich II),,,,Document,Q8301,,
2 William Cratfeld Abbot (14-15 Rich II),,,,Document,Q8301,,
3 William Cratfeld Abbot (15-16 Rich II),,,,Document,Q8301,,
4 William Cratfeld Abbot (16-17 Rich II),,,,Document,Q8301,,
6 William Cratfeld Abbot (18-19 Rich II),,,,Document,Q8301,,
