title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Lectionarium officii,,,,Lectionary,Q663,,
"Historia Scholastica, Liber Exodi cap. 8-14/15",,,,Historia scholastica,Q1372,,
Cod. Iustin c. app.,,,,Code of Justinian,Q39278,,
Missale (Ambrose ??),,,,Missal,Q662,,
Missale,,,,,,Missal,Q662
Homilarium,,,,,,Homiliary,Q1338
"Missale, Domenica infra octavam Nativitatus (Dec. 30) - Sexagesima",,,,Missal,Q662,,
"Peter the Lombard, Sententiae",,,,Sentences,Q1119,,
Comm. Psalmos,,,,Commentary on Psalms,Q20442,,
Historia Scholastica Liber IV Regum cap. 6-25,,,,Historia scholastica,Q1372,,
Translatio lb. Didymi de spiritu sancto 8 & 9,,,,De Spiritu Sancto,Q75968,,
Verbum Abberviatum,,,,Verbum abbreviatum,Q39863,,
Ascet. Moral,,,,,,,
Moralia in Job,,,,,,Moralia in Job,Q863
Genesis,,,,Book of Genesis,Q7274,,
Decretum,,,,,,Decretals,Q1447
Ennarratio in Ps. 94,,,,Enarrations on the Psalms,Q19979,,
Historia Scholastica,,,,,,Historia scholastica,Q1372
"Commentarii in epistolam ad Galatas, cap. 1-5",,,,Commentary on Galatians;Bible commentary,Q75967;Q1433,,
Can. law (Moral),,,,Canon law text,Q1415,,
Bibl. (Pacal),,,,,,,
Etymol.,,,,Etymologiae,Q359,,
"De consolatione philosophiae, 1b V prosa 4",,,,Consolation of Philosophy,Q2832,,
Acta S. Silvestri,,,,Acts of Sylvester,Q75974,,
Statuta monastica,,,,Statuta monastica,Q75983,,
Tract in Iohannen Evangelistam 102-06,,,,Tractates on the Gospel of John,Q1440,,
"Regola 13, 12-27",,,,Regula,Q5997,,
Rituale,,,,,,Ritual,Q17539
"Wolfhar of Rheins (d. 816), probable author, letter to unspecified princeps (Hrabanus Maurus or Dungal?)",,,,Letter,Q1454,,
Moralia in Job(?),,,,Moralia in Job,Q863,,
"Praeterium, prob. Grand Nacian.",,,,,,,
"Gregor. Nafiano., L. C. apologeticus",,,,,,,
Exeget.,,,,Exegesis,Q75978,,
Philos. Theol.,,,,Philosophical text;Theological text,Q5996;Q5950,,
Sacramentarium,,,,Sacramentary,Q653,,
"Bible, Old Testament, Apocrypha. L.G.I. I Maccabees 8; 32-9; 44",,,,Bible;Old Testament;Apocrypha;Book of Maccabees,Q661;Q664;Q6007;Q39138,,
Sententiae,,,,,,Sentences,Q1119
Breviarium,,,,Breviary,Q657,,
Commentary on Canon Law,,,,Commentary on canon law,Q20393,,
Sermones,,,,,,Sermons,Q1400
Exegetica (in part Peter Damian's Dialogue with a Jew.),,,,Exegesis,Q75978,,
"Alex de Villa, Dei Doctrinale",,,,Doctrinale,Q7573,,
Exeges,,,,Exegesis,Q75978,,
