place_as_recorded,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Southeast Asia,Southeast Asia,http://vocab.getty.edu/tgn/7016821,Q75955,,,
"Puebla de Zaragoza, Mexico",Pueblo de Zaragoza;Mexico,http://vocab.getty.edu/tgn/7007118;http://vocab.getty.edu/tgn/7005560,Q75951;Q1312,,,
Italy,,,,Italy,http://vocab.getty.edu/tgn/1000080,Q134
"France, probably Paris",France;Paris,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7008038,Q122;Q136,,,
"Maqṣūdābād, India",Murshidabad;India,http://vocab.getty.edu/tgn/1076286;http://vocab.getty.edu/tgn/7000198,Q48710;Q138,,,
India?,,,,India,http://vocab.getty.edu/tgn/7000198,Q138
Germany,,,,Germany,http://vocab.getty.edu/tgn/7000084,Q131
"Italy, Lombardy",,,,Italy;Lombardy,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7003237,Q134;Q809
France,,,,France,http://vocab.getty.edu/tgn/1000070,Q122
Turkey,,,,Turkey,http://vocab.getty.edu/tgn/1000144,Q3079
Istanbul or provinces,Istanbul;İstanbul,http://vocab.getty.edu/tgn/7002473;http://vocab.getty.edu/tgn/1001052,Q11605;Q75952,,,
Qajar Iran,Iran;Persia,http://vocab.getty.edu/tgn/7000231;http://vocab.getty.edu/tgn/7024079,Q2822;Q127,,,
Flanders,,,,Flanders,http://vocab.getty.edu/tgn/7024097,Q126
Likely Istanbul,Istanbul,http://vocab.getty.edu/tgn/7002473,Q11605,,,
