subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Jewish law,,ds-subject,,Jewish law,http://id.worldcat.org/fast/982801,Q3624,,,
Jewish law--interpretation and construction,,ds-subject,,Jewish law--Interpretation and construction,http://id.worldcat.org/fast/982806,Q75495,,,
Jewish doctrine,,ds-subject,,Judaism--Doctrines,http://id.worldcat.org/fast/984302,Q75496,,,
Accordian fold books,,ds-subject,,Accordion fold books,http://id.worldcat.org/fast/2070678,Q75959,,,
Liturgical books,,ds-subject,,Liturgical books,http://id.worldcat.org/fast/1922455,Q5822,,,
Antiphonaries,,ds-subject,,Antiphonaries,http://id.worldcat.org/fast/810657,Q4306,,,
Antiphonaries--Manuscripts,,ds-subject,,Antiphonaries--Manuscripts,http://id.worldcat.org/fast/810659,Q5844,,,
Antiphonaries (Service books),,ds-subject,,Antiphonaries (Service books),http://id.worldcat.org/fast/1920004,Q4297,,,
Medicine,,ds-subject,,,,,Medicine,http://id.worldcat.org/fast/1014893,Q234
Medical care,,ds-subject,,Medical care,http://id.worldcat.org/fast/1013753,Q75958,,,
Prayers and devotions,,ds-subject,,,,,Prayers and devotions,http://id.worldcat.org/fast/1935484,Q48394
Books of hours,,ds-subject,,,,,Books of hours,http://id.worldcat.org/fast/836484,Q5889
Islam--Prayers and devotions--early works to 1800,,ds-subject,,Islam--Prayers and devotions;Early works,http://id.worldcat.org/fast/979821;http://id.worldcat.org/fast/1411636,Q3036:Q300,,,
Sufism--Prayers and devotions--early works to 1800,,ds-subject,,Sufism--Prayers and devotions;Early works,http://id.worldcat.org/fast/2041298;http://id.worldcat.org/fast/1411636,Q26884:Q300,,,
Persian poetry--747 to 1500,,ds-subject,,Persian poetry,http://id.worldcat.org/fast/1058542,Q3582,,,
Islam--Prayers and devotions--Early works to 1800,,ds-subject,,Islam--Prayers and devotions;Early works,http://id.worldcat.org/fast/979821;http://id.worldcat.org/fast/1411636,Q3036:Q300,,,
"Calligraphy, Ottoman--Specimens",,ds-subject,,"Calligraphy, Ottoman;Specimens",http://id.worldcat.org/fast/844443;http://id.worldcat.org/fast/1423861,Q68676;Q239,,,
"Calligraphy, Arabic--Specimens",,ds-subject,,"Calligraphy, Arabic;Specimens",http://id.worldcat.org/fast/844384;http://id.worldcat.org/fast/1423861,Q11395;Q239,,,
"Writing, Arabic--Specimens",,ds-subject,,"Writing, Arabic;Specimens",http://id.worldcat.org/fast/1181678;http://id.worldcat.org/fast/1423861,Q75956;Q239,,,
Islamic calligraphy--Specimens.,,ds-subject,,Islamic calligraphy;Specimens,http://id.worldcat.org/fast/1430565;http://id.worldcat.org/fast/1423861,Q75957;Q239,,,
