material_as_recorded,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
"consecutive(?: folio 1 = Halper 142, folio 2 = Halper 138) ; losses from bottom edges, and internal edge of Halper 138",,,,,,
complete,,,,,,
restored; bifolia and fascicles erroneously reconstructed,,,,,,
"consecutive, complete; inserted half folio (15a) between 15v and 16r; faded, particularly from folio 18 verso and onwards",,,,,,
paper,,,,paper,http://vocab.getty.edu/aat/300014109,Q31
"folio 1 nearly complete; folio 2 damaged, losses at center of exterior edge",,,,,,
"non-consecutive; damaged, stained ; Halper 157 folio 1 lacking lower half",,,,,,
"2 fragments, non-consecutive(?)",,,,,,
"non-consecutive, complete",,,,,,
"consecutive, complete",,,,,,
"non-consecutive, complete; damaged; faded and erased in a few places",,,,,,
"superscription partially torn, losses; faded; widthwise, mail format folded; verso in different hand",,,,,,
"badly damaged; rough, non-professional hand, perhaps that of a child",,,,,,
parchment,,,,parchment,http://vocab.getty.edu/aat/300011851,Q33
complete; addressed on verso,,,,,,
"consecutive, lacuna between fols. [2]-[3]; nearly complete; folio 3 damaged with losses from external edge",,,,,,
"fragment, cropped; verso is blank",,,,,,
"complete, fading ; folio 2r is empty",,,,,,
"fragments, remainders of single columns",,,,,,
"complete; losses, faded; folded in mail format; verso is blank",,,,,,
"non-consecutive (between 2 and 3), complete",,,,,,
orn. dev.; lacking right edge; losses along left edge; occasional Arabic words on verso in blank area,,,,,,
consecutive,,,,,,
recto only,,,,,,
complete; lengthwise folded; different hands,,,,,,
"incomplete; damaged, losses in upper exterior corner; verso is blank",,,,,,
nearly complete; verso is blurred,,,,,,
damaged on all edges; written area complete but slightly faded,,,,,,
"attached, non-consecutive; damage at lower edge; written area intact",,,,,,
"complete, non-consecutive",,,,,,
"non-consecutive (Halper: ""forming outer sheet of fascicle); losses to lower external column",,,,,,
"consecutive, nearly complete",,,,,,
complete; some places faded and stained,,,,,,
consecutive; folio 1: loss of nearly a quarter of text block,,,,,,
losses,,,,,,
"2 complete, consecutive folio, followed by two blank fols",,,,,,
