File,subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
20250313-named-subjects-penn-marcxml-combined.csv,"Spini, Giacomo",0,a,,,,,,,
20250313-named-subjects-penn-marcxml-combined.csv,"Pazzi, Antonio de'",0,a,,,,,,,
20250313-named-subjects-penn-marcxml-combined.csv,"Pazzi, Piero de'",0,a,,,,,,,
20250313-named-subjects-penn-marcxml-combined.csv,"Baroncelli, Francesco",0,a,,,,,,,
20250313-named-subjects-penn-marcxml-combined.csv,"Rucellai, Guglielmo de'",0,a,,,,,,,
20250313-named-subjects-penn-marcxml-combined.csv,"Catherine, of Alexandria, Saint",0,a;c,http://id.loc.gov/authorities/names/n50072219,,,,"Catherine, of Alexandria, Saint",http://id.worldcat.org/fast/19217,Q4790
20250313-named-subjects-penn-marcxml-combined.csv,"Catherine, of Alexandria, Saint",fast,a;c,http://id.worldcat.org/fast/19217,,,,"Catherine, of Alexandria, Saint",http://id.worldcat.org/fast/19217,Q4790
20250313-named-subjects-penn-marcxml-combined.csv,"Alexius, Saint",0,a;c,http://id.loc.gov/authorities/names/n50072216,,,,"Alexius, Saint",http://id.worldcat.org/fast/19214,Q7705
20250313-named-subjects-penn-marcxml-combined.csv,"Alexius, Saint",fast,a;c,http://id.worldcat.org/fast/19214,,,,"Alexius, Saint",http://id.worldcat.org/fast/19214,Q7705
20250313-named-subjects-penn-marcxml-combined.csv,"Mary, Blessed Virgin, Saint",0,a;c,http://id.loc.gov/authorities/names/n81018544,,,,"Mary, Blessed Virgin, Saint",http://id.worldcat.org/fast/68107,Q244
20250313-named-subjects-penn-marcxml-combined.csv,"Mary, Blessed Virgin, Saint",fast,a;c,http://id.worldcat.org/fast/68107,,,,"Mary, Blessed Virgin, Saint",http://id.worldcat.org/fast/68107,Q244
20250313-named-subjects-penn-marcxml-combined.csv,Amadori family,0,a,,,,,,,
20250313-named-subjects-penn-marcxml-combined.csv,"Amadori, Bartolomeo",0,a,,,,,,,
