subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Talmud. Bava batra 49b-50a--Commentaries--Early works to 1800,0,a;p--v--v,,Talmud. Bava batra;Commentaries;Early works,http://id.worldcat.org/fast/1365311;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411636,Q75369;Q2812;Q300,,,
Talmud. Gittin 44--Commentaries--Early works to 1800,0,a;p--v--v,,Talmud. Gittin;Commentaries;Early works,http://id.worldcat.org/fast/1366869;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411636,Q75350;Q2812;Q300,,,
"Mishnah. Ketubbot VIII, 1--Commentaries--Early works to 1800",0,a;p--v--v,,Mishnah. Ketubbot;Commentaries;Early works,http://id.worldcat.org/fast/1367535;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411636,Q75403;Q2812;Q300,,,
Mishnah,fast,a,,Mishnah,http://id.worldcat.org/fast/1357191,Q75523,,,
Talmud,fast,a,,Talmud,http://id.worldcat.org/fast/1356431,Q48130,,,
"Samuel ben Judah, of Marseilles, 1294---Correspondence",0,a;c;d--v,,Correspondence,http://id.worldcat.org/fast/2003288,Q5829,,,
Yoẓerot,0,a,http://id.loc.gov/authorities/names/n84042984,,,,Yoẓerot,http://id.worldcat.org/fast/1368623,Q3625
Yoẓerot,fast,a,http://id.worldcat.org/fast/1368623,,,,Yoẓerot,http://id.worldcat.org/fast/1368623,Q3625
Siddur,0,a,http://id.loc.gov/authorities/names/n79090052,,,,Siddur,http://id.worldcat.org/fast/1356532,Q74939
Siddur,fast,a,http://id.worldcat.org/fast/1356532,,,,Siddur,http://id.worldcat.org/fast/1356532,Q74939
Seliḥot,0,a,http://id.loc.gov/authorities/names/n50000518,,,,Seliḥot,http://id.worldcat.org/fast/1368880,Q3598
Seliḥot,fast,a,http://id.worldcat.org/fast/1368880,,,,Seliḥot,http://id.worldcat.org/fast/1368880,Q3598
Mishnah--Introductions--Early works to 1800,0,a--v--v,,Mishnah;Introductions;Early works,http://id.worldcat.org/fast/1357191;http://id.worldcat.org/fast/1423833;http://id.worldcat.org/fast/1411636,Q75523;Q66871;Q300,,,
Mishnah,fast,a,http://id.worldcat.org/fast/1357191,Mishnah,http://id.worldcat.org/fast/1357191,Q75523,,,
"Sheʼerit, ha-Ḥazzan, active 12th century",0,a;c;d,http://id.loc.gov/authorities/names/nr2003031668,,,,,,
Aristotle--Criticism and interpretation--Early works to 1800,0,a--x--v,,,,,Aristotle;Criticism and interpretation;Early works,http://id.worldcat.org/fast/29885;http://id.worldcat.org/fast/1198648;http://id.worldcat.org/fast/1411636,Q296;Q292;Q300
Aristotle. De caelo--Early works to 1800,0,a;t--v,,,,,De caelo (Aristotle);Early works,http://id.worldcat.org/fast/1357825;http://id.worldcat.org/fast/1411636,Q3060;Q300
Aristotle. De mundo--Early works to 1800,0,a;t--v,,,,,De mundo (Aristotle);Early works,http://id.worldcat.org/fast/1358012;http://id.worldcat.org/fast/1411636,Q2997;Q300
Aristotle. De generatione et corruptione--Early works to 1800,0,a;t--v,,,,,De generatione et corruptione (Aristotle);Early works,http://id.worldcat.org/fast/1357327;http://id.worldcat.org/fast/1411636,Q2987;Q300
Aristotle. Meteorologica--Early works to 1800,0,a;t--v,,,,,Meteorologica (Aristotle);Early works,http://id.worldcat.org/fast/1359294;http://id.worldcat.org/fast/1411636,Q2971;Q300
Aristotle,fast,a,http://id.worldcat.org/fast/29885,,,,Aristotle,http://id.worldcat.org/fast/29885,Q296
Bible. Song of Solomon--Early works to 1800,0,a;p--v,,,,,Bible. Song of Solomon;Early works,http://id.worldcat.org/fast/1892948;http://id.worldcat.org/fast/1411636,Q2980;Q300
Bible. Song of Solomon,fast,a;p,http://id.worldcat.org/fast/1892948,,,,Bible. Song of Solomon,http://id.worldcat.org/fast/1892948,Q2980
