name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Vincent, of Beauvais, -1264",author,,,,,,,,human,Vincent of Beauvais,Q455162,Q381
"Libri, Guillaume, 1803-1869",former owner,,http://id.loc.gov/authorities/names/n91076026,,,,,,human,Guglielmo Libri Carucci dalla Sommaja,Q1251586,Q382
"Phillipps, Thomas, Sir, 1792-1872",former owner,,http://id.loc.gov/authorities/names/n50078542,,,,,,human,Thomas Phillipps,Q2147709,Q385
"Creswick, H. R., 1902-1988",former owner,,,,,,,,human,Harry Creswick,Q5668143,Q384
"Masson, Irvine, 1887-1962",former owner,,,,,,,,human,Irvine Masson,Q15441871,Q388
"Schoenberg, Lawrence J",former owner,,,,,,,,human,Lawrence J. Schoenberg,Q107542788,Q383
Daṿid ben Benayah ben Seʻadyah ben Zekharyah,scribe,דוד בן בניה בן זכריה,,,,,,,human,Daṿid ben Benayah ben Seʻadyah ben Zekharyah,Q116324054,Q3805
"Altsaʻadi, Seʻadyah ben Yehudah",former owner,"אלצעבי, סדעיה בן יהודה",,,,,,,human,Seʻadyah ben Yehudah Altsaʻadi,Q116235831,Q3806
Dropsie College for Hebrew and Cognate Learning,former owner,,,,,,,,organization,Dropsie College for Hebrew and Cognate Learning,Q65088719,Q3785
Siena (Italy). Tribunal,author,,,,,,,,organization,Siena,Q2751,Q8111
"North, Frederick, Earl of Guilford, 1766-1827",former owner,,,,,,,,human,"Frederick North, 5th Earl of Guilford",Q333623,Q405
"Clement VII, Pope, 1478-1534",author,,,,,,,,human,Clement VII,Q83159,Q4359
Catholic Church,author,,http://viaf.org/viaf/130782063,,,,,,organization,Catholic Church,Q9592,Q425
"Chastellar, Gregory de",author,,,,,,,,human,Gregory de Chastellar,Q116272265,Q8413
"Stafileo, Giovanni, 1472-1528",author,,,,,,,,human,Giovanni Stafileo,Q12633264,Q8223
"Lea, Henry Charles, 1825-1909",former owner,,http://id.loc.gov/authorities/names/n50041341,,,,,,human,Henry Charles Lea,Q325867,Q3816
"Sylvester II, Pope, approximately 945-1003",author,,,,,,,,human,Sylvester II,Q172383,Q450
"Haimmiller, M",former owner,,,,,,,,human,M. Haimmiller,Q114242440,Q451
"Ebner von Eschenbach, Hieronymus Wilhelm, 1673-1752",former owner,,,,,,,,human,Hieronymus Wilhelm Ebner von Eschenbach,Q15452636,Q453
"Bohn, John, 1757-1843",former owner,,,,,,,,human,John Bohn,Q113817588,Q452
"Horblit, Harrison D",former owner,,,,,,,,human,Harrison Horblit,Q18206500,Q429
"Stanitz, John D",former owner,,http://id.loc.gov/authorities/names/no89002502,,,,,,human,John D. Stanitz,Q114242546,Q377
"Johann Friedrich II, Herzog von Sachsen, 1529-1595",author,,,,,,,,human,John Frederick II of Saxony,Q563316,Q5098
"Portinari, Pier Francesco",author,,,,,,,,human,Pier Francesco Portinari,Q116570744,Q7344
"Piccolomini, Alessandro, 1508-1578",author,,http://id.loc.gov/authorities/names/n83150548,,,,,,human,Alessandro Piccolomini,Q250089,Q7340
"Pius III, Pope, approximately 1440-1503",author,,,,,,,,human,Pius III,Q160030,Q5141
Catholic Church. Pope,author,,http://id.loc.gov/authorities/names/n80009898,,,,,,organization;organization,Catholic Church;Pope,Q9592;Q19546,Q425;Q7336
"Sneyd, Walter, 1809-1888",former owner,,http://id.loc.gov/authorities/names/n90636281,,,,,,human,Walter Sneyd,Q62619661,Q891
"Amram, David Werner, 1866-1939",former owner,,http://id.loc.gov/authorities/names/n85197110,,,,,,human,David Werner Amram,Q5240973,Q3791
Rapolano Terme (Italy). Consilium,author,,,,,,,,organization,Rapolano Terme,Q91395,Q8197
"Averroës, 1126-1198",author,,,,,,,,human,Averroes,Q39837,Q3262
"Judah ben Jacob, 15th century",scribe,,,,,,,,human,Judah ben Jacob,Q116446930,Q3263
"Itzig, Daniel, 1723-1799",former owner,,,human,Daniel Itzig,Q72600,DSNAME8528,Q76645,,,,
"Hirschel, Solomon, 1761-1842",former owner,,,,,,,,human,Solomon Hirschell,Q2299213,Q2855
"Jews' College (London, England)",former owner,,http://id.loc.gov/authorities/names/n50043083,,,,,,organization,London School of Jewish Studies,Q6670742,Q2856
Bet din tsedeḳ London ṿeha-medinah (Great Britain),former owner,,,,,,,,organization,Bet din tsedeḳ London ṿeha-medinah,Q116694897,Q2857
"Almosnino, Moses ben Baruch, approximately 1515-approximately 1580",author,,,,,,,,human,Moses Almosnino,Q6915684,Q3221
"Luzio, Chaim",scribe,,,,,,,,human,Chaim Luzio,Q116486393,Q3222
"Ashkenazi, Peretz ben Yehuda Mintz",former owner,,,,,,,,human,Peretz ben Yehuda Mintz Ashkenazi,Q116250351,Q3224
"Kuzi, Yitzhak Nahum",former owner,,,,,,,,human,Yitzhak Nahum Kuzi,Q116452995,Q3223
"Morbio, Carlo",former owner,,http://id.loc.gov/authorities/names/n85175861,,,,,,human,Carlo Morbio,Q21000836,Q3817
"Di Nanni, Francesco",author,,,,,,,,human,Francesco di Domenico di Nanni,Q116172247,Q5494
"Dominici, Adam Luce",author,,,,,,,,human,Adam Luce Dominici,Q116325045,Q8205
Siena (Italy). Camera della Biccherna,author,,,,,,,,organization,Biccherna,Q2901610,Q8097
"Schindler, Sebastian, 16th century",author,,,,,,,,human,Sebastian Schindler,Q116579344,Q8426
"Regiomontanus, Joannes, 1436-1476",author,,http://id.loc.gov/authorities/names/n81002844,,,,,,human,Regiomontanus,Q76365,Q470
"Festetics von Tolna, Gabor, Graf",former owner,,,,,,,,human,Gabor Fastetics von Tolna,Q116041262,Q2852
"Ludwig, Peter, 1925-1996",former owner,,,,,,,,human,Peter Ludwig,Q73991,Q454
"Ludwig, Irene",former owner,,,,,,,,human,Irene Ludwig,Q1672539,Q455
Benediktinerstift Lambach,former owner,,http://id.loc.gov/authorities/names/n91000117,,,,,,organization,Lambach Abbey,Q315889,Q2853
J. Paul Getty Museum,former owner,,http://id.loc.gov/authorities/names/n79046211,,,,,,organization,J. Paul Getty Museum,Q731126,Q456
"Appleby, Thomas, 16th century",former owner,,,,,,,,human,Thomas Appleby,Q116235879,Q4432
"Newman, Edmund, 17th century",former owner,,,,,,,,human,Edmund Newman,Q116486792,Q4433
"Maskell, William, 1814?-1890",former owner,,,,,,,,human,William Maskell,Q18735927,Q4434
"Bartholomew, Bishop of Vicenza, approximately 1200-1270",author,,,,,,,,human,Bartholomew of Braganca,Q4865302,Q7598
Siena (Italy). Balia,author,,,,,,,,organization,Balia of Siena,Q116707517,Q8192
"Ibn al-Wardī, Sirāj al-Dīn Abū Ḥafṣ ʻUmar, -1457",author,ابن الوردي، سراج الدين ابو حفص عمر، -1457,,,,,,,human,Sirāj al-Dīn Abū Ḥafṣ ʻUmar Ibn al-Wardī,Q116418351,Q3759
"Avicenna, 980-1037",author,,,,,,,,human,Avicenna,Q8011,Q2845
"Halberstam, S. J. 1832-1900",former owner,,,,,,,,human,Solomon Joachim Halberstam,Q2895410,Q3728
"Judith Montefiore College (Ramsgate, England)",former owner,,,,,,,,organization,Judith Lady Montefiore College,Q63149357,Q3730
"Nicholas, of Dinkelsbühl, approximately 1360-1433",author,,,,,,,,human,Nikolaus von Dinkelsbühl,Q95506,Q5119
"Catholic Church. Archdiocese of Mainz (Rhineland-Palatinate, Germany)",author,,,,,,,,organization,Roman Catholic Archdiocese of Mainz,Q47194649,Q7921
"Trivet, Nicholas, 1258?-1328",author,,http://id.loc.gov/authorities/names/n85238888,,,,,,human,Nicholas Trivet,Q1751724,Q7643
"Ibn al-Bahāʼ, Abu ʻAbd Allāh Muḥammad",author,ابن البهاء، ابو عبد الله محمد,,,,,,,human,Abu ʻAbd Allāh Muḥammad ibn al-Bahāʼ,Q116418950,Q3264
