place_as_recorded,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
"Paris?, France",,,,Paris;France,http://vocab.getty.edu/tgn/7008038;http://vocab.getty.edu/tgn/1000070,Q136;Q122
Cologne?,,,,Cologne,http://vocab.getty.edu/tgn/7004446,Q4329
Florence?,,,,Florence,http://vocab.getty.edu/tgn/7000457,Q3084
Italy,,,,Italy,http://vocab.getty.edu/tgn/1000080,Q134
Florence,,,,Florence,http://vocab.getty.edu/tgn/7000457,Q3084
Cologne,,,,Cologne,http://vocab.getty.edu/tgn/7004446,Q4329
Austria?,,,,Austria,http://vocab.getty.edu/tgn/1000062,Q132
"Triptis (Thuringia, Germany)",,,,Triptis;Thuringia;Germany,http://vocab.getty.edu/tgn/1037866;http://vocab.getty.edu/tgn/7024274;http://vocab.getty.edu/tgn/7000084,Q5001;Q1314;Q131
Siena,,,,Siena,http://vocab.getty.edu/tgn/7011179,Q3651
Aachen,,,,Aachen,http://vocab.getty.edu/tgn/7004799,Q4990
Germany?,,,,Germany,http://vocab.getty.edu/tgn/7000084,Q131
Thessalonikē,,,,Salonika,http://vocab.getty.edu/tgn/7011182,Q3085
Germany,,,,Germany,http://vocab.getty.edu/tgn/7000084,Q131
Venice?,,,,Venice,http://vocab.getty.edu/tgn/7018159,Q2823
Switzerland,,,,Switzerland,http://vocab.getty.edu/tgn/7011731,Q652
"Lambach?, Austria",,,,Lambach;Austria,http://vocab.getty.edu/tgn/7003278;http://vocab.getty.edu/tgn/1000062,Q26524;Q132
London?,,,,London,http://vocab.getty.edu/tgn/7011781,Q3660
Salzburg,,,,Salzburg,http://vocab.getty.edu/tgn/7003256,Q7509
Montedoglio,,,,Montedoglio,http://vocab.getty.edu/tgn/4007415,Q7795
Germany? or Netherlands?,Germany;Netherlands,http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/7016845,Q131;Q651,,,
Egypt?,,,,Egypt,http://vocab.getty.edu/tgn/7016833,Q3086
Rome,,,,Rome,http://vocab.getty.edu/tgn/7000874,Q123
"Crema?, Italy",,,,Crema;Italy,http://vocab.getty.edu/tgn/7005874;http://vocab.getty.edu/tgn/1000080,Q7798;Q134
England,,,,England,http://vocab.getty.edu/tgn/7002445,Q133
Northern France,,,,Northern France,http://vocab.getty.edu/tgn/4004036,Q1114
"Ferrara?, Italy",,,,Ferrara;Italy,http://vocab.getty.edu/tgn/7004264;http://vocab.getty.edu/tgn/1000080,Q1299;Q134
"Tuscany?, Italy",,,,Tuscany;Italy,http://vocab.getty.edu/tgn/7009760;http://vocab.getty.edu/tgn/1000080,Q860;Q134
Spain,,,,Spain,http://vocab.getty.edu/tgn/1000095,Q129
"Padua?, Italy",,,,Padua;Italy,http://vocab.getty.edu/tgn/7003085;http://vocab.getty.edu/tgn/1000080,Q3091;Q134
"Andenne, Belgium",,,,Andenne;Belgium,http://vocab.getty.edu/tgn/7007854;http://vocab.getty.edu/tgn/1000063,Q7500;Q1243
"Paris, France",,,,Paris;France,http://vocab.getty.edu/tgn/7008038;http://vocab.getty.edu/tgn/1000070,Q136;Q122
Iran?,,,,Iran,http://vocab.getty.edu/tgn/7000231,Q2822
Italy?,,,,Italy,http://vocab.getty.edu/tgn/1000080,Q134
France,,,,France,http://vocab.getty.edu/tgn/1000070,Q122
"Kestenholtz [that is, Châtenois, France",Châtenois,http://vocab.getty.edu/tgn/1032520,Q4996,,,
Persia?,Persia,http://vocab.getty.edu/tgn/7024079,Q127,,,
Valladolid,,,,Valladolid,http://vocab.getty.edu/tgn/7008771,Q6979
"Rouen, France",,,,Rouen;France,http://vocab.getty.edu/tgn/7008929;http://vocab.getty.edu/tgn/1000070,Q1244;Q122
"Venice, Italy",,,,Venice;Italy,http://vocab.getty.edu/tgn/7018159;http://vocab.getty.edu/tgn/1000080,Q2823;Q134
Vienna,,,,Vienna,http://vocab.getty.edu/tgn/7003321,Q3078
Catalonia,,,,Catalonia,http://vocab.getty.edu/tgn/7030216,Q125
"Metz, France",,,,Metz;France,http://vocab.getty.edu/tgn/7008418;http://vocab.getty.edu/tgn/1000070,Q6981;Q122
Venice,,,,Venice,http://vocab.getty.edu/tgn/7018159,Q2823
