place_as_recorded,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Orient,,,,,,
Spain,,,,Spain,http://vocab.getty.edu/tgn/1000095,Q129
Germany?,,,,Germany,http://vocab.getty.edu/tgn/7000084,Q131
Jerusalem.,,,,Jerusalem,http://vocab.getty.edu/tgn/7001371,Q11620
Thessalonikē,,,,Salonika,http://vocab.getty.edu/tgn/7011182,Q3085
Morocco? North Africa,Morocco;North Africa,http://vocab.getty.edu/tgn/1000179;http://vocab.getty.edu/tgn/7016886,Q3657;Q3652,,,
Fustat,Old Cairo,http://vocab.getty.edu/tgn/7024441,Q76258,,,
Byzantium or Italy,Istanbul;Italy,http://vocab.getty.edu/tgn/7002473;http://vocab.getty.edu/tgn/1000080,Q11605;Q134,,,
Europe,,,,Europe,http://vocab.getty.edu/tgn/1000003,Q1290
Italy,,,,Italy,http://vocab.getty.edu/tgn/1000080,Q134
Italy?,,,,Italy,http://vocab.getty.edu/tgn/1000080,Q134
Sefarad,,,,,,
Leipzig,,,,Leipzig,http://vocab.getty.edu/tgn/7017167,Q6988
Egypt?,,,,Egypt,http://vocab.getty.edu/tgn/7016833,Q3086
Byzantium,,,,Istanbul,http://vocab.getty.edu/tgn/7002473,Q11605
Casale Monferrato,Casale Monferrato,http://vocab.getty.edu/tgn/7003924,Q76322,,,
Oriental,,,,,,
Nablus?,Nablus,http://vocab.getty.edu/tgn/1083909,Q76323,,,
Cairo,,,,Cairo,http://vocab.getty.edu/tgn/7001215,Q3093
Rhineland,,,,Rhineland,http://vocab.getty.edu/tgn/7003683,Q1305
Alexandria,,,,Alexandria,http://vocab.getty.edu/tgn/7001188,Q74802
Spain or Italy,,,,Spain;Italy,http://vocab.getty.edu/tgn/1000095;http://vocab.getty.edu/tgn/1000080,Q129;Q134
Carpentras?,Carpentras,http://vocab.getty.edu/tgn/7008801,Q74813,,,
Metz?,Metz,http://vocab.getty.edu/tgn/7008418,Q6981,,,
Castello,,,,,,
Liśloa,,,,,,
1906,,,,,,
Undated,,,,,,
Provence,Provence,http://vocab.getty.edu/tgn/7012209,Q128,,,
"Siena, Italy",,,,Siena;Italy,http://vocab.getty.edu/tgn/7011179;http://vocab.getty.edu/tgn/1000080,Q3651;Q134
Catalonia,,,,Catalonia,http://vocab.getty.edu/tgn/7030216,Q125
"Modena?, Italy",,,,Modena;Italy,http://vocab.getty.edu/tgn/7009565;http://vocab.getty.edu/tgn/1000080,Q4327;Q134
Gorizia,Gorizia,http://vocab.getty.edu/tgn/7005526,Q76324,,,
Gazzuolo,Gazzuolo,http://vocab.getty.edu/tgn/1044782,Q76325,,,
1928,,,,,,
Mediterrenean Region,Mediterranean region,http://vocab.getty.edu/tgn/7018452,Q76257,,,
"Fustat, 1098-1114?",Old Cairo,http://vocab.getty.edu/tgn/7024441,Q76258,,,
"Orient, 12th century-14th century?",,,,,,
Fustat.,Old Cairo,http://vocab.getty.edu/tgn/7024441,Q76258,,,
al-Maḥalla,,,,,,
Cochin,Cochin,http://vocab.getty.edu/tgn/1075032,Q76326,,,
Jerusalem,,,,Jerusalem,http://vocab.getty.edu/tgn/7001371,Q11620
Egypt? Iraq?,Egypt;Iraq,http://vocab.getty.edu/tgn/7016833;http://vocab.getty.edu/tgn/1000118,Q3086;Q3090,,,
"Almuḥbasha, Yemen",Yemen,http://vocab.getty.edu/tgn/7000261,Q2825,,,
Provence?,Provence,http://vocab.getty.edu/tgn/7012209,Q128,,,
Morocco,,,,Morocco,http://vocab.getty.edu/tgn/1000179,Q3657
Fustat. 1066-1108?,Old Cairo,http://vocab.getty.edu/tgn/7024441,Q76258,,,
New York?,New York,http://vocab.getty.edu/tgn/7007567,Q27486,,,
France,,,,France,http://vocab.getty.edu/tgn/1000070,Q122
"Qalyub, Egypt",Qalyūb;Egypt,http://vocab.getty.edu/tgn/1095655;http://vocab.getty.edu/tgn/7016833,Q76327;Q3086,,,
Mediterranean,Mediterranean region,http://vocab.getty.edu/tgn/7018452,Q76257,,,
1896,,,,,,
Yemen,,,,Yemen,http://vocab.getty.edu/tgn/7000261,Q2825
Berlin,,,,Berlin,http://vocab.getty.edu/tgn/7003712,Q54973
"Hartmannswiller, France",Hartmannswiller;France,http://vocab.getty.edu/tgn/7643144;http://vocab.getty.edu/tgn/1000070,Q76328;Q122,,,
Spain?,,,,Spain,http://vocab.getty.edu/tgn/1000095,Q129
Danzig,Danzig,http://vocab.getty.edu/tgn/7007660,Q76329,,,
