File,subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
20250313-subjects-penn-marcxml-combined.csv,Early works to 1800,fast,a,,Early works,http://id.worldcat.org/fast/1411636,Q300,,,
20250313-subjects-penn-marcxml-combined.csv,Finance--Italy--Early works to 1800,0,a--z--v,,,,,Finance;Italy;Early works,http://id.worldcat.org/fast/924349;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1411636,Q5469;Q249;Q300
20250313-subjects-penn-marcxml-combined.csv,Finance,fast,a,http://id.worldcat.org/fast/924349,,,,Finance,http://id.worldcat.org/fast/924349,Q5469
20250313-subjects-penn-marcxml-combined.csv,Florence (Italy)--History--15th century,0,a--x--y,,,,,Italy--Florence;History;Fifteenth century,http://id.worldcat.org/fast/1204699;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/923962,Q3604;Q6879;Q154
20250313-subjects-penn-marcxml-combined.csv,Lucca (Italy)--History--15th century,0,a--x--y,,,,,Italy--Lucca;History;Fifteenth century,http://id.worldcat.org/fast/1204336;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/923962,Q7954;Q6879;Q154
20250313-subjects-penn-marcxml-combined.csv,Pescia (Italy)--History,0,a--x,,,,,Italy--Pescia;History,http://id.worldcat.org/fast/1208453;http://id.worldcat.org/fast/958235,Q8272;Q6879
20250313-subjects-penn-marcxml-combined.csv,Italy,fast,a,http://id.worldcat.org/fast/1204565,,,,Italy,http://id.worldcat.org/fast/1204565,Q249
20250313-subjects-penn-marcxml-combined.csv,Abbots--Early works to 1800,0,a--v,,,,,Abbots;Early works,http://id.worldcat.org/fast/794221;http://id.worldcat.org/fast/1411636,Q190;Q300
20250313-subjects-penn-marcxml-combined.csv,Bishops--Early works to 1800,0,a--v,,,,,Bishops;Early works,http://id.worldcat.org/fast/833378;http://id.worldcat.org/fast/1411636,Q307;Q300
20250313-subjects-penn-marcxml-combined.csv,Bishops,fast,a,http://id.worldcat.org/fast/833378,,,,Bishops,http://id.worldcat.org/fast/833378,Q307
20250313-subjects-penn-marcxml-combined.csv,Abbots,fast,a,http://id.worldcat.org/fast/794221,,,,Abbots,http://id.worldcat.org/fast/794221,Q190
20250313-subjects-penn-marcxml-combined.csv,Christian saints--Prayers and devotions--Early works to 1800,0,a--v--v,,,,,Christian saints;Prayers and devotions;Early works,http://id.worldcat.org/fast/859491;http://id.worldcat.org/fast/1423909;http://id.worldcat.org/fast/1411636,Q10812;Q3052;Q300
20250313-subjects-penn-marcxml-combined.csv,Christian hagiography--Early works to 1800,0,a--v,,,,,Christian hagiography;Early works,http://id.worldcat.org/fast/859164;http://id.worldcat.org/fast/1411636,Q5913;Q300
20250313-subjects-penn-marcxml-combined.csv,Confession--Catholic Church--Early works to 1800,0,a--x--v,,,,,Confession--Catholic Church;Early works,http://id.worldcat.org/fast/1750863;http://id.worldcat.org/fast/1411636,Q280;Q300
20250313-subjects-penn-marcxml-combined.csv,"German poetry--Middle High German, 1050-1500",0,a--y,http://id.loc.gov/authorities/subjects/sh85054414,,,,German poetry;1050-1500;German poetry--Middle High German,http://id.worldcat.org/fast/941930;http://id.worldcat.org/fast/1355360;http://id.worldcat.org/fast/1710979,Q4944;Q39084;Q7669
20250313-subjects-penn-marcxml-combined.csv,German poetry,fast,a,http://id.worldcat.org/fast/941930,,,,German poetry,http://id.worldcat.org/fast/941930,Q4944
20250313-subjects-penn-marcxml-combined.csv,"Middle High German, 1050-1500",fast,a,,1050-1500,http://id.worldcat.org/fast/1355360,Q39084,,,
