File,subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
20250313-subjects-penn-marcxml-indic.csv,Hindu philosophy,0,a,http://id.loc.gov/authorities/subjects/sh85100926,,,,Hindu philosophy,http://id.worldcat.org/fast/1729923,Q27269
20250313-subjects-penn-marcxml-indic.csv,Hindu philosophy,fast,a,http://id.worldcat.org/fast/1729923,,,,Hindu philosophy,http://id.worldcat.org/fast/1729923,Q27269
20250313-subjects-penn-marcxml-indic.csv,"Philosophy, Indic",0,a,http://id.loc.gov/authorities/subjects/sh85100930,,,,"Philosophy, Indic",http://id.worldcat.org/fast/1060996,Q26693
20250313-subjects-penn-marcxml-indic.csv,"Philosophy, Indic",fast,a,http://id.worldcat.org/fast/1060996,,,,"Philosophy, Indic",http://id.worldcat.org/fast/1060996,Q26693
20250313-subjects-penn-marcxml-indic.csv,Garuḍa (Mythical bird),0,a,http://id.loc.gov/authorities/subjects/sh90000830,,,,Garuḍa (Mythical bird),http://id.worldcat.org/fast/938102,Q26774
20250313-subjects-penn-marcxml-indic.csv,Garuḍa (Mythical bird),fast,a,http://id.worldcat.org/fast/938102,,,,Garuḍa (Mythical bird),http://id.worldcat.org/fast/938102,Q26774
20250313-subjects-penn-marcxml-indic.csv,Vaishnavism,0,a,http://id.loc.gov/authorities/subjects/sh85141792,,,,Vaishnavism,http://id.worldcat.org/fast/1163740,Q26664
20250313-subjects-penn-marcxml-indic.csv,Vaishnavism,fast,a,http://id.worldcat.org/fast/1163740,,,,Vaishnavism,http://id.worldcat.org/fast/1163740,Q26664
20250313-subjects-penn-marcxml-indic.csv,Funeral rites and ceremonies,fast,a,http://id.worldcat.org/fast/936223,,,,Funeral rites and ceremonies,http://id.worldcat.org/fast/936223,Q4930
20250313-subjects-penn-marcxml-indic.csv,India,fast,a,http://id.worldcat.org/fast/1210276,,,,India,http://id.worldcat.org/fast/1210276,Q26595
20250313-subjects-penn-marcxml-indic.csv,Dharma,0,a,http://id.loc.gov/authorities/subjects/sh85037434,,,,Dharma,http://id.worldcat.org/fast/892093,Q26837
20250313-subjects-penn-marcxml-indic.csv,Dharma,fast,a,http://id.worldcat.org/fast/892093,,,,Dharma,http://id.worldcat.org/fast/892093,Q26837
